Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.38,0.41,0.37,0.39,36700,7.80
2014-12-30,0.38,0.41,0.38,0.39,44000,7.80
2014-12-29,0.40,0.41,0.38,0.38,72000,7.60
2014-12-26,0.39,0.40,0.38,0.40,26400,8.00
2014-12-24,0.40,0.41,0.38,0.39,15900,7.80
2014-12-23,0.38,0.41,0.38,0.40,28900,8.00
2014-12-22,0.40,0.41,0.37,0.39,41200,7.80
2014-12-19,0.40,0.41,0.39,0.40,39800,8.00
2014-12-18,0.36,0.41,0.35,0.38,64100,7.60
2014-12-17,0.37,0.39,0.35,0.35,65000,7.00
2014-12-16,0.35,0.38,0.35,0.37,48500,7.40
2014-12-15,0.36,0.37,0.34,0.35,47500,7.00
2014-12-12,0.34,0.36,0.33,0.36,138400,7.20
2014-12-11,0.35,0.43,0.34,0.34,339900,6.80
2014-12-10,0.34,0.36,0.33,0.35,25000,7.00
2014-12-09,0.33,0.35,0.32,0.35,22000,7.00
2014-12-08,0.33,0.37,0.33,0.33,97200,6.60
2014-12-05,0.35,0.36,0.33,0.35,49000,7.00
2014-12-04,0.37,0.37,0.32,0.35,62600,7.00
2014-12-03,0.32,0.36,0.32,0.36,295400,7.20
2014-12-02,0.33,0.36,0.32,0.32,171700,6.40
2014-12-01,0.39,0.39,0.34,0.35,86900,7.00
2014-11-28,0.41,0.41,0.37,0.38,81100,7.60
2014-11-26,0.40,0.40,0.36,0.39,199000,7.80
2014-11-25,0.41,0.41,0.38,0.39,135300,7.80
2014-11-24,0.42,0.43,0.40,0.41,66000,8.20
2014-11-21,0.42,0.43,0.41,0.42,35200,8.40
2014-11-20,0.42,0.42,0.41,0.41,51000,8.20
2014-11-19,0.42,0.44,0.41,0.42,58700,8.40
2014-11-18,0.44,0.45,0.42,0.42,67100,8.40
2014-11-17,0.43,0.47,0.43,0.44,222800,8.80
2014-11-14,0.42,0.45,0.42,0.44,45600,8.80
2014-11-13,0.43,0.46,0.42,0.44,59100,8.80
2014-11-12,0.43,0.48,0.40,0.44,156200,8.80
2014-11-11,0.41,0.43,0.40,0.43,123300,8.600001
2014-11-10,0.43,0.43,0.40,0.42,115000,8.40
2014-11-07,0.44,0.44,0.42,0.42,71300,8.40
2014-11-06,0.46,0.46,0.41,0.45,93500,9.00
2014-11-05,0.43,0.46,0.41,0.44,74900,8.80
2014-11-04,0.44,0.45,0.41,0.43,62100,8.600001
2014-11-03,0.46,0.47,0.41,0.43,92900,8.600001
2014-10-31,0.46,0.47,0.43,0.44,102800,8.80
2014-10-30,0.44,0.50,0.43,0.44,268000,8.80
2014-10-29,0.49,0.49,0.40,0.44,136600,8.80
2014-10-28,0.50,0.50,0.47,0.48,68900,9.600001
2014-10-27,0.51,0.52,0.48,0.49,80500,9.80
2014-10-24,0.53,0.53,0.50,0.52,309900,10.40
2014-10-23,0.50,0.51,0.49,0.50,459300,10.00
2014-10-22,0.50,0.51,0.46,0.49,609200,9.80
2014-10-21,0.73,0.78,0.70,0.74,65400,14.80
2014-10-20,0.74,0.74,0.66,0.73,57100,14.600001
2014-10-17,0.77,0.79,0.70,0.73,54400,14.600001
2014-10-16,0.80,0.86,0.71,0.76,80500,15.20
2014-10-15,0.75,0.90,0.69,0.80,177100,16.00
2014-10-14,0.92,0.97,0.68,0.72,363400,14.40
2014-10-13,0.74,1.27,0.70,1.23,795000,24.600001
2014-10-10,0.52,0.70,0.52,0.65,145800,13.00
2014-10-09,0.55,0.56,0.51,0.52,16800,10.40
2014-10-08,0.52,0.58,0.50,0.54,40100,10.80
2014-10-07,0.50,0.55,0.49,0.52,25500,10.40
2014-10-06,0.51,0.56,0.51,0.53,8300,10.600001
2014-10-03,0.49,0.53,0.49,0.53,26200,10.600001
2014-10-02,0.54,0.55,0.49,0.49,50400,9.80
2014-10-01,0.56,0.57,0.54,0.54,13000,10.80
2014-09-30,0.60,0.60,0.57,0.57,29700,11.40
2014-09-29,0.60,0.60,0.59,0.59,6500,11.80
2014-09-26,0.62,0.63,0.60,0.60,12700,12.00
2014-09-25,0.62,0.63,0.60,0.61,9500,12.20
2014-09-24,0.61,0.65,0.60,0.61,34500,12.20
2014-09-23,0.60,0.62,0.60,0.61,11100,12.20
2014-09-22,0.61,0.63,0.60,0.60,8900,12.00
2014-09-19,0.66,0.66,0.60,0.63,17600,12.600001
2014-09-18,0.60,0.66,0.59,0.63,32700,12.600001
2014-09-17,0.61,0.62,0.59,0.61,13600,12.20
2014-09-16,0.61,0.62,0.59,0.60,18400,12.00
2014-09-15,0.64,0.64,0.59,0.61,24000,12.20
2014-09-12,0.60,0.65,0.59,0.65,46700,13.00
2014-09-11,0.59,0.61,0.57,0.59,23300,11.80
2014-09-10,0.61,0.62,0.56,0.59,49500,11.80
2014-09-09,0.64,0.65,0.61,0.61,19600,12.20
2014-09-08,0.56,0.63,0.56,0.62,165900,12.40
2014-09-05,0.65,0.70,0.54,0.56,169200,11.20
2014-09-04,0.77,0.77,0.65,0.65,143300,13.00
2014-09-03,0.80,0.80,0.76,0.76,31100,15.20
2014-09-02,0.85,0.86,0.78,0.79,53600,15.80
2014-08-29,0.84,0.85,0.83,0.84,14900,16.799999
2014-08-28,0.86,0.88,0.83,0.83,30000,16.600001
2014-08-27,0.86,0.89,0.86,0.87,11400,17.40
2014-08-26,0.88,0.89,0.86,0.86,12400,17.200001
