Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.6501,2.6501,2.6501,2.6501,200,2.6501
2014-12-30,2.615,2.615,2.615,2.615,1000,2.615
2014-12-29,2.70,3.00,2.005,2.535,9500,2.535
2014-12-26,3.003,3.003,3.003,3.003,000,3.003
2014-12-24,3.05,3.05,2.97,3.003,600,3.003
2014-12-23,2.48,3.02,2.48,3.02,2900,3.02
2014-12-22,3.032,3.05,3.01,3.05,4800,3.05
2014-12-19,3.046,3.046,3.046,3.046,000,3.046
2014-12-18,2.75,3.046,2.75,3.046,1400,3.046
2014-12-17,2.90,2.90,2.876,2.876,1400,2.876
2014-12-16,2.60,2.875,2.60,2.875,1200,2.875
2014-12-15,3.00,3.00,3.00,3.00,000,3.00
2014-12-12,3.00,3.00,3.00,3.00,000,3.00
2014-12-11,3.00,3.00,3.00,3.00,300,3.00
2014-12-10,2.70,2.70,2.70,2.70,300,2.70
2014-12-09,2.75,2.75,2.75,2.75,1400,2.75
2014-12-08,2.838,2.838,2.838,2.838,500,2.838
2014-12-05,2.80,2.80,2.80,2.80,000,2.80
2014-12-04,2.86,2.86,2.80,2.80,400,2.80
2014-12-03,2.80,2.80,2.80,2.80,000,2.80
2014-12-02,2.80,2.80,2.80,2.80,000,2.80
2014-12-01,2.80,2.80,2.80,2.80,200,2.80
2014-11-28,2.9685,2.9685,2.9685,2.9685,000,2.9685
2014-11-26,2.83,2.9685,2.82,2.9685,3300,2.9685
2014-11-25,3.10,3.10,3.02,3.02,3000,3.02
2014-11-24,2.85,3.15,2.85,3.15,2500,3.15
2014-11-21,3.14,3.14,3.14,3.14,200,3.14
2014-11-20,3.15,3.15,3.15,3.15,900,3.15
2014-11-19,2.8001,3.0896,2.8001,2.8102,2300,2.8102
2014-11-18,2.85,3.22,2.85,3.20,800,3.20
2014-11-17,3.20,3.20,3.20,3.20,400,3.20
2014-11-14,2.99,2.99,2.99,2.99,500,2.99
2014-11-13,3.44,3.44,3.25,3.25,2200,3.25
