Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.78,15.93,15.69,15.69,2476500,15.69
2014-12-30,15.60,15.86,15.53,15.77,2999700,15.77
2014-12-29,15.59,15.78,15.57,15.74,2359800,15.74
2014-12-26,15.55,15.61,15.51,15.57,1733300,15.57
2014-12-24,15.68,15.68,15.30,15.48,1496000,15.48
2014-12-23,15.41,15.67,15.34,15.61,2341300,15.61
2014-12-22,15.27,15.49,15.16,15.38,3942500,15.38
2014-12-19,15.06,15.28,15.06,15.22,6995400,15.22
2014-12-18,15.13,15.34,14.94,15.02,4005600,15.02
2014-12-17,14.63,14.93,14.59,14.89,3573300,14.89
2014-12-16,14.78,15.11,14.63,14.63,4151300,14.63
2014-12-15,15.09,15.18,14.74,14.76,3608400,14.76
2014-12-12,15.19,15.29,15.05,15.05,3817800,15.05
2014-12-11,15.60,15.60,15.23,15.33,3718800,15.33
2014-12-10,15.61,15.65,15.31,15.34,3756400,15.34
2014-12-09,15.37,15.70,15.36,15.69,3624100,15.69
2014-12-08,15.81,15.82,15.46,15.50,4257100,15.50
2014-12-05,15.71,15.84,15.63,15.82,3263700,15.82
2014-12-04,15.72,15.83,15.59,15.71,3567100,15.71
2014-12-03,15.72,15.81,15.62,15.79,4387400,15.79
2014-12-02,15.60,15.78,15.49,15.74,3290700,15.74
2014-12-01,15.67,15.69,15.41,15.56,3461000,15.56
2014-11-28,15.70,15.70,15.47,15.52,1813000,15.52
2014-11-26,15.45,15.69,15.41,15.68,3861900,15.68
2014-11-25,15.56,15.58,15.41,15.45,4557100,15.45
2014-11-24,15.33,15.53,15.07,15.46,7758000,15.46
2014-11-21,15.32,15.36,15.08,15.17,5263400,15.17
2014-11-20,14.69,15.21,14.68,15.14,7643600,15.14
2014-11-19,15.04,15.22,14.91,15.19,10770900,15.19
2014-11-18,14.98,15.12,14.96,15.01,6601000,15.01
2014-11-17,15.19,15.24,14.92,15.04,7164200,15.04
2014-11-14,14.95,15.20,14.93,15.20,2692400,15.20
2014-11-13,15.33,15.33,14.85,14.99,8896600,14.99
2014-11-12,15.18,15.43,15.18,15.27,3881000,15.27
2014-11-11,15.26,15.38,15.15,15.24,4077000,15.24
2014-11-10,15.13,15.30,15.08,15.24,4361500,15.24
2014-11-07,15.27,15.41,15.14,15.15,4958200,15.15
2014-11-06,15.84,15.91,15.32,15.33,9514200,15.33
2014-11-05,15.28,15.45,15.15,15.30,2763800,15.30
2014-11-04,15.49,15.65,15.07,15.15,4750700,15.15
2014-11-03,15.77,15.78,15.43,15.56,2643600,15.56
2014-10-31,15.74,15.80,15.29,15.48,4080400,15.48
2014-10-30,15.44,15.61,15.35,15.49,2491700,15.49
2014-10-29,15.48,15.65,15.42,15.53,1923200,15.53
2014-10-28,15.47,15.57,15.37,15.53,2926500,15.53
2014-10-27,15.71,15.71,15.38,15.46,2684400,15.46
2014-10-24,15.50,15.76,15.48,15.73,2193600,15.73
2014-10-23,15.54,15.63,15.39,15.51,2345900,15.51
2014-10-22,15.39,15.66,15.25,15.26,6159900,15.26
2014-10-21,15.00,15.47,15.00,15.41,4518900,15.41
2014-10-20,14.83,14.91,14.60,14.90,4289900,14.90
2014-10-17,14.77,14.94,14.58,14.71,4851300,14.71
2014-10-16,14.42,14.83,14.28,14.60,9051800,14.60
2014-10-15,14.51,14.96,14.47,14.70,5606900,14.70
2014-10-14,14.77,15.05,14.74,14.79,3988300,14.79
2014-10-13,15.03,15.10,14.63,14.64,4396100,14.64
