Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,5.81,5.90,5.81,5.83,215200,5.83
2015-09-03,6.02,6.08,5.90,5.90,391400,5.90
2015-09-02,5.99,6.05,5.90,6.04,276900,6.04
2015-09-01,5.94,6.03,5.88,5.89,343200,5.89
2015-08-31,5.97,6.10,5.89,6.09,674000,6.09
2015-08-28,5.85,6.07,5.84,5.96,494500,5.96
2015-08-27,5.82,5.90,5.73,5.90,422500,5.90
2015-08-26,5.67,5.81,5.64,5.81,328000,5.81
2015-08-25,5.75,5.75,5.56,5.63,301500,5.63
2015-08-24,5.55,5.76,5.44,5.60,344400,5.60
2015-08-21,5.78,5.99,5.75,5.77,321500,5.77
2015-08-20,5.95,6.00,5.85,5.91,368100,5.91
2015-08-19,5.81,6.08,5.81,6.00,1144000,6.00
2015-08-18,5.88,6.00,5.87,5.90,156000,5.90
2015-08-17,5.81,5.93,5.81,5.89,118600,5.89
2015-08-14,5.82,5.99,5.80,5.84,160000,5.84
2015-08-13,5.88,5.95,5.76,5.85,258800,5.85
2015-08-12,5.80,5.96,5.75,5.90,248600,5.90
2015-08-11,5.92,6.01,5.81,5.86,158700,5.86
2015-08-10,6.02,6.10,5.93,5.99,249400,5.99
2015-08-07,5.64,5.91,5.27,5.80,391900,5.80
2015-08-06,5.92,6.11,5.68,5.77,765000,5.77
2015-08-05,6.04,6.13,5.88,5.92,216900,5.92
2015-08-04,6.05,6.09,5.97,6.01,126900,6.01
2015-08-03,6.25,6.25,5.98,6.08,174600,6.08
2015-07-31,6.14,6.22,6.10,6.16,339400,6.16
2015-07-30,5.97,6.19,5.97,6.12,312900,6.12
2015-07-29,6.03,6.17,6.03,6.04,192600,6.04
2015-07-28,6.14,6.33,6.01,6.02,224200,6.02
2015-07-27,6.18,6.23,6.07,6.11,153300,6.11
2015-07-24,6.26,6.46,6.15,6.22,267100,6.22
2015-07-23,6.45,6.57,6.30,6.30,168400,6.30
2015-07-22,6.44,6.53,6.32,6.42,104000,6.42
2015-07-21,6.54,6.68,6.44,6.48,124500,6.48
2015-07-20,6.71,6.71,6.45,6.53,165100,6.53
2015-07-17,6.69,6.74,6.60,6.71,104600,6.71
2015-07-16,6.74,6.93,6.65,6.67,147100,6.67
2015-07-15,6.66,6.78,6.60,6.71,139000,6.71
2015-07-14,6.57,6.75,6.53,6.64,305900,6.64
2015-07-13,6.49,6.60,6.49,6.56,101000,6.56
2015-07-10,6.41,6.52,6.39,6.47,129400,6.47
2015-07-09,6.52,6.55,6.33,6.37,148600,6.37
2015-07-08,6.37,6.46,6.30,6.41,148300,6.41
2015-07-07,6.55,6.55,6.31,6.42,165800,6.42
2015-07-06,6.56,6.63,6.50,6.56,113900,6.56
2015-07-02,6.77,6.77,6.59,6.61,136000,6.61
2015-07-01,6.83,6.98,6.70,6.74,225800,6.74
2015-06-30,6.71,6.84,6.60,6.75,333100,6.75
2015-06-29,7.00,7.00,6.60,6.64,417600,6.64
2015-06-26,7.16,7.18,6.95,7.00,394500,7.00
2015-06-25,7.27,7.28,7.04,7.14,524700,7.14
2015-06-24,7.31,7.33,7.18,7.25,156600,7.25
2015-06-23,7.46,7.46,7.23,7.35,196700,7.35
2015-06-22,7.50,7.50,7.32,7.44,226600,7.44
2015-06-19,7.38,7.51,7.33,7.50,417100,7.50
2015-06-18,7.45,7.50,7.31,7.36,292800,7.36
2015-06-17,7.42,7.50,7.40,7.43,248100,7.43
2015-06-16,7.37,7.50,7.20,7.43,342900,7.43
2015-06-15,7.30,7.62,7.13,7.45,738400,7.45
2015-06-12,7.16,7.30,7.02,7.09,268100,7.09
2015-06-11,6.96,7.25,6.94,7.22,383400,7.22
2015-06-10,6.87,7.04,6.82,6.97,685600,6.97
2015-06-09,6.81,6.87,6.75,6.85,268400,6.85
2015-06-08,6.82,6.89,6.81,6.84,393800,6.84
2015-06-05,6.83,6.93,6.73,6.88,240500,6.88
2015-06-04,6.88,6.96,6.77,6.86,229500,6.86
2015-06-03,6.75,6.96,6.74,6.93,296500,6.93
2015-06-02,6.78,6.92,6.73,6.76,326600,6.76
2015-06-01,6.94,6.96,6.75,6.86,414200,6.86
2015-05-29,6.66,6.86,6.62,6.84,1596200,6.84
2015-05-28,6.20,6.66,6.13,6.65,784300,6.65
2015-05-27,6.09,6.26,6.03,6.26,142200,6.26
2015-05-26,6.10,6.17,6.01,6.06,110500,6.06
2015-05-22,6.20,6.23,6.11,6.17,88100,6.17
2015-05-21,6.26,6.29,6.14,6.19,107900,6.19
2015-05-20,6.23,6.29,6.13,6.20,119700,6.20
2015-05-19,6.26,6.32,6.11,6.23,256700,6.23
2015-05-18,6.20,6.32,6.12,6.24,161100,6.24
2015-05-15,6.16,6.30,6.09,6.24,208700,6.24
2015-05-14,6.11,6.25,6.09,6.20,251300,6.20
2015-05-13,6.21,6.26,6.07,6.10,167700,6.10
2015-05-12,6.21,6.35,6.04,6.22,156300,6.22
2015-05-11,6.30,6.36,6.19,6.26,212900,6.26
2015-05-08,6.47,6.56,6.27,6.33,342900,6.33
2015-05-07,5.92,6.50,5.92,6.40,453800,6.40
2015-05-06,6.33,6.45,6.19,6.40,243100,6.40
2015-05-05,6.23,6.59,6.20,6.32,388100,6.32
2015-05-04,6.22,6.38,6.15,6.22,181500,6.22
2015-05-01,6.07,6.23,5.99,6.19,171500,6.19
2015-04-30,6.28,6.29,5.99,6.02,166800,6.02
2015-04-29,6.27,6.40,6.21,6.23,107400,6.23
2015-04-28,6.09,6.30,6.05,6.28,184200,6.28
2015-04-27,6.08,6.32,6.00,6.07,160300,6.07
2015-04-24,6.12,6.23,6.06,6.09,74300,6.09
2015-04-23,6.04,6.17,5.99,6.14,193900,6.14
2015-04-22,6.09,6.15,6.00,6.03,156600,6.03
2015-04-21,6.01,6.13,6.00,6.10,396200,6.10
2015-04-20,6.01,6.10,5.95,6.01,234900,6.01
2015-04-17,6.05,6.12,6.00,6.00,184200,6.00
2015-04-16,6.15,6.28,6.02,6.09,189100,6.09
2015-04-15,6.25,6.38,6.14,6.20,372800,6.20
2015-04-14,6.13,6.29,6.05,6.19,193800,6.19
2015-04-13,6.02,6.14,5.94,6.11,412500,6.11
2015-04-10,6.09,6.13,5.95,6.03,144800,6.03
2015-04-09,6.06,6.19,5.98,6.03,139900,6.03
2015-04-08,6.02,6.13,6.00,6.09,118200,6.09
2015-04-07,5.96,6.04,5.95,6.00,177900,6.00
2015-04-06,5.86,5.98,5.86,5.96,237500,5.96
2015-04-02,6.00,6.00,5.75,5.88,249500,5.88
2015-04-01,6.00,6.00,5.80,5.96,1011800,5.96
2015-03-31,6.00,6.06,5.85,5.97,181600,5.97
2015-03-30,5.90,6.06,5.87,5.94,269500,5.94
2015-03-27,5.70,5.86,5.64,5.84,300500,5.84
