Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.17,10.20,10.15,10.16,1400,9.9544
2014-12-30,10.05,10.05,10.05,10.05,100,9.846626
2014-12-29,10.03,10.20,10.00,10.05,3100,9.846626
2014-12-26,10.04,10.08,9.97,10.08,4500,9.876018
2014-12-24,9.91,9.95,9.91,9.95,500,9.748649
2014-12-23,10.25,10.56,10.25,10.55,2200,10.336508
2014-12-22,10.02,10.70,9.92,10.68,12300,10.463877
2014-12-19,10.01,10.26,9.88,10.23,2200,10.022983
2014-12-18,9.98,10.06,9.85,10.00,7600,9.797637
2014-12-17,10.43,10.43,9.83,10.16,2000,9.9544
2014-12-16,10.28,10.28,9.90,9.90,2400,9.699661
2014-12-15,10.28,10.28,10.28,10.28,100,10.071971
2014-12-12,9.70,10.22,9.47,10.22,2300,10.013186
2014-12-11,10.22,10.27,10.22,10.25,1100,10.042578
2014-12-10,10.22,10.22,10.21,10.21,400,10.003388
2014-12-09,10.18,10.43,10.04,10.04,9100,9.836828
2014-12-08,9.94,10.40,9.68,10.40,17900,10.189543
2014-12-05,10.10,10.10,10.10,10.10,000,9.895614
2014-12-04,10.10,10.10,10.10,10.10,000,9.895614
2014-12-03,10.10,10.10,10.10,10.10,000,9.895614
2014-12-02,10.10,10.10,10.10,10.10,000,9.895614
2014-12-01,10.10,10.13,10.10,10.10,3900,9.895614
2014-11-28,10.25,10.25,10.25,10.25,000,10.042578
2014-11-26,10.25,10.25,10.25,10.25,000,10.042578
2014-11-25,10.45,10.45,10.25,10.25,600,10.042578
2014-11-24,10.10,10.10,10.10,10.10,000,9.895614
2014-11-21,10.10,10.10,10.10,10.10,900,9.895614
2014-11-20,10.20,10.45,10.10,10.21,8200,10.003388
2014-11-19,10.24,10.24,10.24,10.24,200,10.032781
2014-11-18,10.45,10.45,10.45,10.45,1000,10.238531
2014-11-17,10.38,10.75,10.36,10.45,10400,10.238531
2014-11-14,10.29,10.40,10.29,10.29,11300,10.081769
2014-11-13,10.10,10.10,10.10,10.10,000,9.895614
2014-11-12,10.10,10.10,10.10,10.10,100,9.895614
2014-11-11,10.10,10.10,10.10,10.10,200,9.895614
2014-11-10,10.10,10.10,10.10,10.10,100,9.895614
2014-11-07,10.10,10.28,10.10,10.11,2700,9.905411
2014-11-06,9.83,10.10,9.81,10.10,2400,9.895614
2014-11-05,10.00,10.00,10.00,10.00,6000,9.797637
2014-11-04,10.02,10.02,10.02,10.02,000,9.817233
2014-11-03,10.02,10.02,10.02,10.02,000,9.817233
2014-10-31,10.29,10.29,9.84,10.02,1800,9.817233
2014-10-30,10.25,10.25,10.25,10.25,100,10.042578
2014-10-29,10.29,10.29,10.29,10.29,100,10.081769
2014-10-28,10.27,10.27,10.27,10.27,000,10.062174
2014-10-27,10.34,10.38,9.75,10.27,2300,10.062174
2014-10-24,10.31,10.31,10.25,10.25,2800,10.042578
2014-10-23,10.13,10.13,10.13,10.13,000,9.925007
2014-10-22,10.13,10.13,10.13,10.13,000,9.925007
2014-10-21,10.13,10.13,10.10,10.13,2000,9.925007
2014-10-20,10.10,10.11,10.10,10.11,1000,9.905411
2014-10-17,10.00,10.00,10.00,10.00,700,9.797637
2014-10-16,9.89,9.89,9.89,9.89,200,9.689864
2014-10-15,9.96,9.96,9.88,9.88,600,9.680066
2014-10-14,9.75,9.94,9.75,9.94,700,9.738851
2014-10-13,9.77,9.83,9.77,9.83,1200,9.631078
2014-10-10,9.80,9.80,9.80,9.80,400,9.601685
2014-10-09,9.81,9.81,9.81,9.81,000,9.611483
2014-10-08,9.81,9.81,9.81,9.81,200,9.611483
2014-10-07,9.85,9.85,9.85,9.85,200,9.650673
2014-10-06,10.05,10.05,10.05,10.05,000,9.846626
2014-10-03,10.05,10.05,10.05,10.05,2300,9.846626
2014-10-02,10.38,10.38,10.02,10.02,9000,9.817233
2014-10-01,10.05,10.05,10.03,10.03,600,9.82703
2014-09-30,10.03,10.03,10.03,10.03,000,9.82703
2014-09-29,10.11,10.11,10.03,10.03,1300,9.82703
2014-09-26,10.03,10.09,10.02,10.03,3600,9.82703
2014-09-25,10.11,10.11,10.04,10.04,400,9.836828
2014-09-24,10.01,10.01,10.01,10.01,200,9.807435
2014-09-23,10.12,10.12,10.12,10.12,300,9.915209
2014-09-22,10.02,10.12,9.89,10.12,14600,9.915209
2014-09-19,9.89,9.91,9.89,9.91,1000,9.709459
2014-09-18,9.94,9.94,9.94,9.94,200,9.738851
2014-09-17,9.78,9.78,9.78,9.78,000,9.582089
2014-09-16,10.06,10.06,9.70,9.78,2200,9.582089
2014-09-15,10.32,10.32,9.44,9.77,23400,9.572292
2014-09-12,10.38,10.38,10.32,10.32,600,10.111162
2014-09-11,10.32,10.38,10.32,10.37,2700,10.16015
2014-09-10,10.27,10.32,10.27,10.32,1300,10.111162
2014-09-09,10.27,10.27,10.27,10.27,000,10.062174
2014-09-08,10.50,10.50,10.27,10.27,800,10.062174
