Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,5.42,5.64,5.42,5.64,45400,5.64
2015-09-03,5.38,5.56,5.275,5.30,33500,5.30
2015-09-02,5.28,5.35,5.19,5.30,38600,5.30
2015-09-01,4.96,5.41,4.95,5.22,70100,5.22
2015-08-31,4.86,5.03,4.86,5.00,13300,5.00
2015-08-28,5.02,5.20,4.94,4.95,37800,4.95
2015-08-27,4.96,5.40,4.96,5.02,49500,5.02
2015-08-26,5.05,5.05,4.788,4.89,23800,4.89
2015-08-25,5.11,5.11,4.79,5.03,14600,5.03
2015-08-24,5.13,5.13,4.96,5.05,38900,5.05
2015-08-21,4.88,5.10,4.88,5.08,17000,5.08
2015-08-20,4.89,4.98,4.81,4.88,4500,4.88
2015-08-19,5.25,5.25,4.55,4.85,31700,4.85
2015-08-18,4.66,5.02,4.62,4.88,55400,4.88
2015-08-17,4.52,4.75,4.50,4.62,39600,4.62
2015-08-14,4.56,4.61,4.46,4.58,75600,4.58
2015-08-13,4.60,4.67,4.55,4.61,6700,4.61
2015-08-12,4.69,4.70,4.52,4.57,18500,4.57
2015-08-11,4.68,4.79,4.67,4.78,2600,4.78
2015-08-10,4.62,4.94,4.62,4.78,13700,4.78
2015-08-07,4.652,4.652,4.52,4.56,18400,4.56
2015-08-06,4.60,4.72,4.37,4.65,75000,4.65
2015-08-05,4.75,4.75,4.58,4.59,14000,4.59
2015-08-04,4.72,4.84,4.58,4.66,16300,4.66
2015-08-03,4.84,4.84,4.59,4.80,14400,4.80
2015-07-31,4.66,4.89,4.60,4.74,118900,4.74
2015-07-30,4.65,4.74,4.56,4.697,35900,4.697
2015-07-29,4.75,5.171,4.60,4.625,103800,4.625
2015-07-28,4.61,5.08,4.57,4.86,29000,4.86
2015-07-27,4.60,4.66,4.41,4.60,78800,4.60
2015-07-24,4.67,4.70,4.59,4.63,31800,4.63
2015-07-23,4.82,4.82,4.644,4.68,25000,4.68
2015-07-22,4.65,4.81,4.521,4.76,100600,4.76
2015-07-21,4.52,4.69,4.52,4.65,9300,4.65
2015-07-20,4.74,4.765,4.52,4.52,189500,4.52
2015-07-17,4.85,4.89,4.76,4.81,31200,4.81
2015-07-16,4.79,5.09,4.79,4.85,60300,4.85
2015-07-15,4.86,4.903,4.76,4.78,8900,4.78
2015-07-14,4.92,5.036,4.76,4.79,37000,4.79
2015-07-13,4.97,5.03,4.89,4.904,22900,4.904
2015-07-10,4.71,4.982,4.71,4.90,61900,4.90
2015-07-09,4.927,4.927,4.62,4.77,46100,4.77
2015-07-08,4.87,4.90,4.76,4.79,16500,4.79
2015-07-07,5.03,5.06,4.85,4.92,16100,4.92
2015-07-06,4.94,5.364,4.93,5.09,51300,5.09
2015-07-02,5.046,5.046,4.77,4.89,35500,4.89
2015-07-01,5.09,5.17,4.91,5.02,20600,5.02
2015-06-30,5.00,5.27,4.71,5.20,30200,5.20
2015-06-29,5.22,5.363,5.01,5.082,7300,5.082
2015-06-26,5.13,5.23,5.07,5.23,13700,5.23
2015-06-25,5.14,5.312,5.13,5.23,9000,5.23
2015-06-24,5.21,5.29,5.00,5.29,11200,5.29
2015-06-23,5.17,5.41,5.05,5.15,18700,5.15
2015-06-22,4.96,5.28,4.95,5.26,16300,5.26
2015-06-19,5.297,5.297,4.94,4.94,60100,4.94
2015-06-18,5.39,5.44,5.25,5.37,46400,5.37
2015-06-17,5.33,5.54,5.25,5.43,12800,5.43
2015-06-16,5.38,5.55,5.08,5.33,44800,5.33
2015-06-15,5.37,5.40,5.24,5.30,6700,5.30
2015-06-12,5.38,5.44,5.23,5.33,8600,5.33
2015-06-11,5.39,5.44,5.24,5.27,12900,5.27
2015-06-10,5.40,5.40,5.28,5.36,12700,5.36
2015-06-09,5.32,5.50,5.31,5.35,36600,5.35
2015-06-08,5.38,5.55,5.30,5.36,99500,5.36
2015-06-05,5.32,5.35,5.25,5.35,19000,5.35
2015-06-04,5.11,5.36,5.11,5.32,13100,5.32
2015-06-03,5.12,5.30,5.12,5.23,16400,5.23
2015-06-02,5.24,5.33,5.17,5.18,12900,5.18
2015-06-01,5.29,5.30,5.11,5.23,3600,5.23
2015-05-29,5.19,5.29,5.00,5.24,29600,5.24
2015-05-28,4.95,5.333,4.95,5.27,11400,5.27
2015-05-27,4.94,5.11,4.93,4.93,31100,4.93
2015-05-26,5.07,5.075,4.76,4.99,43100,4.99
2015-05-22,5.051,5.12,5.00,5.10,19800,5.10
2015-05-21,5.06,5.12,5.05,5.065,5300,5.065
2015-05-20,5.16,5.16,5.01,5.07,20900,5.07
2015-05-19,5.23,5.23,5.06,5.16,6900,5.16
2015-05-18,5.26,5.26,5.13,5.19,8800,5.19
2015-05-15,5.442,5.47,5.29,5.30,37200,5.30
2015-05-14,5.30,5.47,5.30,5.42,3200,5.42
2015-05-13,5.50,5.50,5.299,5.31,7100,5.31
2015-05-12,5.27,5.50,5.22,5.50,22400,5.50
2015-05-11,5.27,5.335,5.16,5.16,19900,5.16
2015-05-08,4.94,5.40,4.94,5.33,24800,5.33
2015-05-07,5.03,5.10,4.80,5.08,25500,5.08
2015-05-06,4.98,5.109,4.94,5.005,16100,5.005
2015-05-05,5.05,5.135,4.89,4.96,15800,4.96
2015-05-04,5.22,5.27,5.00,5.03,24000,5.03
2015-05-01,5.29,5.344,5.22,5.23,32600,5.23
2015-04-30,5.19,5.33,5.19,5.33,7700,5.33
2015-04-29,5.17,5.24,5.08,5.19,13600,5.19
2015-04-28,5.14,5.17,5.08,5.16,4000,5.16
2015-04-27,5.39,5.39,5.12,5.14,30900,5.14
2015-04-24,5.16,5.35,5.15,5.35,17900,5.35
2015-04-23,5.06,5.122,5.06,5.12,6900,5.12
2015-04-22,5.25,5.27,5.13,5.13,7200,5.13
2015-04-21,5.39,5.39,5.20,5.23,14000,5.23
2015-04-20,5.20,5.36,5.20,5.35,24100,5.35
2015-04-17,5.23,5.36,5.02,5.13,18700,5.13
2015-04-16,5.16,5.31,5.07,5.22,21400,5.22
2015-04-15,5.04,5.37,5.04,5.32,12400,5.32
2015-04-14,5.07,5.07,4.95,5.07,11900,5.07
2015-04-13,5.299,5.299,4.95,5.099,28600,5.099
2015-04-10,5.121,5.15,5.06,5.15,22000,5.15
2015-04-09,5.02,5.16,4.62,5.05,36300,5.05
2015-04-08,4.80,5.031,4.74,5.00,40500,5.00
2015-04-07,5.107,5.124,4.925,4.999,28200,4.999
2015-04-06,5.14,5.18,5.04,5.08,22000,5.08
2015-04-02,5.05,5.15,5.038,5.14,22300,5.14
2015-04-01,4.99,5.139,4.81,5.00,25100,5.00
2015-03-31,5.00,5.05,4.85,5.04,7900,5.04
2015-03-30,4.96,5.10,4.89,5.04,31500,5.04
2015-03-27,4.62,5.00,4.62,4.89,26600,4.89
2015-03-26,4.62,4.84,4.55,4.57,42600,4.57
2015-03-25,4.62,4.708,4.60,4.60,36800,4.60
2015-03-24,5.00,5.10,4.47,4.57,83900,4.57
2015-03-23,5.07,5.11,4.93,5.02,28100,5.02
2015-03-20,5.32,5.32,5.04,5.04,55900,5.04
2015-03-19,5.18,5.26,5.04,5.25,30900,5.25
2015-03-18,5.22,5.22,4.78,5.18,86800,5.18
2015-03-17,4.32,5.50,4.24,5.16,356500,5.16
2015-03-16,4.41,4.41,4.31,4.37,12300,4.37
2015-03-13,4.673,4.673,4.12,4.431,37000,4.431
2015-03-12,4.51,4.68,4.51,4.68,11200,4.68
2015-03-11,4.21,4.49,4.16,4.46,25100,4.46
2015-03-10,4.287,4.34,4.16,4.24,8400,4.24
2015-03-09,4.45,4.55,4.33,4.33,28000,4.33
2015-03-06,4.67,4.67,4.42,4.45,11900,4.45
2015-03-05,4.868,4.868,4.56,4.62,24700,4.62
2015-03-04,4.76,4.79,4.69,4.76,9400,4.76
2015-03-03,4.90,4.90,4.80,4.82,12500,4.82
2015-03-02,4.66,4.85,4.62,4.85,10400,4.85
2015-02-27,4.66,4.66,4.57,4.61,10900,4.61
2015-02-26,4.74,4.74,4.60,4.65,18900,4.65
2015-02-25,4.80,4.89,4.72,4.80,7600,4.80
2015-02-24,4.90,5.009,4.77,4.775,14900,4.775
2015-02-23,4.86,5.00,4.79,4.94,31400,4.94
2015-02-20,4.87,5.11,4.84,4.92,69400,4.92
2015-02-19,4.54,4.94,4.54,4.79,24200,4.79
2015-02-18,4.43,4.56,4.22,4.53,61300,4.53
2015-02-17,4.585,4.60,4.45,4.59,23500,4.59
2015-02-13,4.45,4.59,4.41,4.56,15800,4.56
2015-02-12,4.43,4.48,4.28,4.45,18800,4.45
2015-02-11,4.73,4.73,4.33,4.40,90200,4.40
2015-02-10,4.62,4.74,4.62,4.70,17500,4.70
2015-02-09,4.64,4.68,4.55,4.64,10800,4.64
2015-02-06,4.59,4.69,4.515,4.69,20300,4.69
2015-02-05,4.41,4.70,4.23,4.56,46900,4.56
2015-02-04,4.21,4.44,4.06,4.42,75800,4.42
2015-02-03,4.17,4.39,4.16,4.18,66200,4.18
2015-02-02,4.20,4.265,4.15,4.20,14500,4.20
2015-01-30,4.32,4.32,4.12,4.18,739300,4.18
2015-01-29,4.48,4.64,4.36,4.38,18700,4.38
2015-01-28,4.68,4.68,4.42,4.50,21800,4.50
2015-01-27,4.53,4.689,4.49,4.63,12800,4.63
2015-01-26,4.49,4.535,4.43,4.50,10400,4.50
2015-01-23,4.32,4.54,4.27,4.54,23300,4.54
2015-01-22,4.32,4.36,4.21,4.32,22600,4.32
2015-01-21,4.27,4.31,4.27,4.29,15600,4.29
2015-01-20,4.20,4.34,4.16,4.28,28400,4.28
2015-01-16,4.15,4.22,4.12,4.19,17500,4.19
2015-01-15,4.15,4.25,4.05,4.15,39300,4.15
2015-01-14,4.09,4.17,3.96,4.17,22100,4.17
2015-01-13,4.02,4.15,3.97,4.10,77900,4.10
2015-01-12,4.05,4.05,3.90,4.02,67400,4.02
2015-01-09,3.85,4.13,3.85,4.09,77400,4.09
2015-01-08,3.70,4.00,3.688,4.00,83200,4.00
2015-01-07,3.67,3.77,3.54,3.54,111800,3.54
2015-01-06,3.81,3.83,3.58,3.70,54200,3.70
