Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,2.33,2.45,2.33,2.38,47900,2.38
2015-09-03,2.43,2.45,2.37,2.42,27800,2.42
2015-09-02,2.46,2.46,2.40,2.45,15900,2.45
2015-09-01,2.35,2.44,2.35,2.41,40300,2.41
2015-08-31,2.32,2.37,2.31,2.33,90500,2.33
2015-08-28,2.29,2.49,2.29,2.40,74000,2.40
2015-08-27,2.20,2.45,2.19,2.32,94900,2.32
2015-08-26,2.15,2.18,2.10,2.16,55400,2.16
2015-08-25,2.16,2.28,2.10,2.11,81300,2.11
2015-08-24,2.23,2.26,2.10,2.10,413000,2.10
2015-08-21,2.43,2.50,2.36,2.36,55000,2.36
2015-08-20,2.48,2.56,2.45,2.47,44500,2.47
2015-08-19,2.58,2.58,2.43,2.53,74600,2.53
2015-08-18,2.64,2.67,2.55,2.60,38800,2.60
2015-08-17,2.54,2.65,2.52,2.64,55300,2.64
2015-08-14,2.50,2.54,2.46,2.51,68300,2.51
2015-08-13,2.57,2.61,2.44,2.52,123000,2.52
2015-08-12,2.61,2.64,2.53,2.57,70900,2.57
2015-08-11,2.74,2.78,2.56,2.63,76300,2.63
2015-08-10,2.80,2.86,2.74,2.76,83000,2.76
2015-08-07,2.77,2.80,2.72,2.77,58700,2.77
2015-08-06,2.79,2.84,2.68,2.76,94700,2.76
2015-08-05,2.76,2.89,2.75,2.80,53300,2.80
2015-08-04,2.62,2.84,2.61,2.80,164400,2.80
2015-08-03,2.87,2.89,2.60,2.64,401700,2.64
2015-07-31,2.53,2.58,2.48,2.56,39800,2.56
2015-07-30,2.50,2.54,2.48,2.51,41200,2.51
2015-07-29,2.48,2.59,2.46,2.52,60600,2.52
2015-07-28,2.51,2.52,2.47,2.49,21000,2.49
2015-07-27,2.47,2.54,2.44,2.52,79000,2.52
2015-07-24,2.54,2.54,2.45,2.51,48100,2.51
2015-07-23,2.47,2.53,2.41,2.50,57300,2.50
2015-07-22,2.54,2.56,2.39,2.44,156400,2.44
2015-07-21,2.56,2.61,2.50,2.54,84700,2.54
2015-07-20,2.59,2.63,2.48,2.54,88100,2.54
2015-07-17,2.57,2.63,2.43,2.56,135000,2.56
2015-07-16,2.59,2.65,2.55,2.60,60600,2.60
2015-07-15,2.56,2.56,2.43,2.55,146900,2.55
