Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.01,4.06,4.01,4.02,3600,4.02
2015-09-03,4.08,4.10,3.97,3.97,19300,3.97
2015-09-02,3.98,4.10,3.90,4.05,33700,4.05
2015-09-01,3.98,4.08,3.96,4.03,72500,4.03
2015-08-31,3.82,4.00,3.81,3.95,66900,3.95
2015-08-28,3.68,3.82,3.67,3.76,9100,3.76
2015-08-27,3.69,3.80,3.64,3.64,10400,3.64
2015-08-26,3.65,3.81,3.56,3.80,36200,3.80
2015-08-25,3.60,3.68,3.57,3.68,9500,3.68
2015-08-24,3.60,3.76,3.51,3.51,10100,3.51
2015-08-21,3.69,3.76,3.65,3.71,8100,3.71
2015-08-20,3.75,3.75,3.75,3.75,100,3.75
2015-08-19,3.80,3.80,3.68,3.69,11700,3.69
2015-08-18,3.75,3.94,3.70,3.94,4300,3.94
2015-08-17,3.72,3.77,3.70,3.70,1100,3.70
2015-08-14,3.69,3.76,3.68,3.73,8200,3.73
2015-08-13,3.65,3.68,3.65,3.68,16000,3.68
2015-08-12,3.75,3.78,3.68,3.69,15600,3.69
2015-08-11,3.78,3.80,3.68,3.75,8300,3.75
2015-08-10,3.94,3.94,3.80,3.80,16600,3.80
2015-08-07,3.80,3.82,3.69,3.79,75700,3.79
2015-08-06,3.55,3.82,3.53,3.80,101800,3.80
2015-08-05,3.76,3.76,3.73,3.73,6400,3.73
2015-08-04,3.64,3.78,3.64,3.76,12300,3.76
2015-08-03,3.59,3.64,3.59,3.64,9800,3.64
2015-07-31,3.60,3.65,3.58,3.58,88000,3.58
2015-07-30,3.62,3.64,3.62,3.64,500,3.64
2015-07-29,3.70,3.74,3.63,3.66,19600,3.66
2015-07-28,3.70,3.70,3.63,3.68,8100,3.68
2015-07-27,3.65,3.67,3.62,3.67,47500,3.67
2015-07-24,3.70,3.70,3.68,3.69,7100,3.69
2015-07-23,3.72,3.75,3.68,3.70,13000,3.70
2015-07-22,3.70,3.70,3.70,3.70,000,3.70
2015-07-21,3.70,3.70,3.68,3.70,22200,3.70
2015-07-20,3.70,3.70,3.69,3.70,2900,3.70
2015-07-17,3.77,3.77,3.72,3.75,3800,3.75
2015-07-16,3.75,3.75,3.68,3.74,18700,3.74
2015-07-15,3.76,3.78,3.74,3.74,15500,3.74
2015-07-14,3.77,3.84,3.77,3.83,900,3.83
2015-07-13,3.80,3.81,3.79,3.80,5100,3.80
2015-07-10,3.76,3.80,3.75,3.79,29900,3.79
2015-07-09,3.81,3.82,3.73,3.75,15400,3.75
2015-07-08,3.83,3.94,3.79,3.79,10100,3.79
2015-07-07,3.88,3.93,3.81,3.93,7500,3.93
2015-07-06,3.87,3.91,3.86,3.89,11300,3.89
2015-07-02,3.89,3.96,3.81,3.90,22400,3.90
2015-07-01,3.85,3.85,3.80,3.80,4700,3.80
2015-06-30,3.97,3.97,3.81,3.81,1900,3.81
2015-06-29,4.01,4.01,3.81,3.81,12800,3.81
2015-06-26,3.98,3.98,3.88,3.96,14800,3.96
2015-06-25,3.98,3.99,3.89,3.90,19300,3.90
2015-06-24,3.95,4.00,3.86,3.95,12600,3.95
2015-06-23,3.90,3.97,3.88,3.88,6100,3.88
2015-06-22,3.91,4.00,3.91,3.92,17000,3.92
2015-06-19,3.83,3.93,3.82,3.93,19600,3.93
2015-06-18,3.81,3.90,3.81,3.84,6900,3.84
2015-06-17,3.81,3.81,3.81,3.81,100,3.81
2015-06-16,3.83,3.86,3.81,3.81,8300,3.81
2015-06-15,3.90,3.90,3.84,3.86,3200,3.86
2015-06-12,3.87,3.89,3.84,3.85,14500,3.85
2015-06-11,3.89,3.89,3.85,3.86,10400,3.86
2015-06-10,3.89,3.90,3.81,3.84,10100,3.84
2015-06-09,3.90,3.90,3.82,3.83,9200,3.83
2015-06-08,3.85,3.92,3.81,3.87,33000,3.87
2015-06-05,3.85,3.85,3.68,3.76,21100,3.76
2015-06-04,3.79,3.97,3.67,3.83,157500,3.83
2015-06-03,3.71,3.90,3.68,3.85,87000,3.85
2015-06-02,3.55,3.74,3.55,3.64,49500,3.64
2015-06-01,3.46,3.52,3.45,3.46,11900,3.46
2015-05-29,3.48,3.55,3.48,3.49,700,3.49
2015-05-28,3.47,3.53,3.47,3.53,3300,3.53
2015-05-27,3.54,3.56,3.50,3.50,48500,3.50
2015-05-26,3.53,3.60,3.50,3.56,19100,3.56
2015-05-22,3.52,3.58,3.52,3.53,2300,3.53
2015-05-21,3.68,3.69,3.54,3.60,7300,3.60
2015-05-20,3.60,3.65,3.58,3.61,20500,3.61
2015-05-19,3.56,3.63,3.56,3.60,5600,3.60
2015-05-18,3.58,3.68,3.54,3.55,15100,3.55
2015-05-15,3.62,3.72,3.57,3.67,32000,3.67
2015-05-14,3.62,3.71,3.51,3.57,8600,3.57
2015-05-13,3.69,3.69,3.50,3.53,7100,3.53
2015-05-12,3.63,3.63,3.45,3.59,22600,3.59
2015-05-11,3.56,3.73,3.50,3.65,47900,3.65
2015-05-08,3.56,3.74,3.51,3.69,119600,3.69
2015-05-07,3.47,3.52,3.32,3.43,38900,3.43
2015-05-06,3.48,3.52,3.47,3.52,3800,3.52
2015-05-05,3.41,3.59,3.41,3.49,34900,3.49
2015-05-04,3.53,3.61,3.44,3.45,3500,3.45
2015-05-01,3.41,3.50,3.41,3.48,5400,3.48
2015-04-30,3.48,3.48,3.40,3.40,18100,3.40
2015-04-29,3.43,3.53,3.38,3.46,9500,3.46
2015-04-28,3.45,3.59,3.45,3.48,11300,3.48
2015-04-27,3.47,3.55,3.39,3.42,65300,3.42
2015-04-24,3.52,3.64,3.47,3.53,31000,3.53
2015-04-23,3.56,3.65,3.50,3.52,37400,3.52
2015-04-22,3.46,3.65,3.45,3.64,67100,3.64
2015-04-21,3.53,3.53,3.45,3.45,10200,3.45
2015-04-20,3.47,3.53,3.46,3.47,27000,3.47
2015-04-17,3.50,3.57,3.45,3.55,14400,3.55
2015-04-16,3.53,3.57,3.52,3.52,4100,3.52
2015-04-15,3.60,3.62,3.55,3.59,3300,3.59
2015-04-14,3.64,3.65,3.51,3.58,4100,3.58
2015-04-13,3.54,3.65,3.47,3.59,18000,3.59
2015-04-10,3.68,3.72,3.58,3.60,7700,3.60
2015-04-09,3.60,3.73,3.46,3.72,23600,3.72
2015-04-08,3.60,3.65,3.50,3.51,58100,3.51
2015-04-07,3.79,3.79,3.61,3.65,35200,3.65
2015-04-06,3.70,3.84,3.70,3.72,28300,3.72
2015-04-02,3.93,3.93,3.73,3.76,36100,3.76
2015-04-01,3.84,3.88,3.68,3.85,85900,3.85
2015-03-31,4.28,4.35,3.78,3.88,297700,3.88
2015-03-30,4.26,4.34,4.22,4.26,14900,4.26
2015-03-27,4.39,4.60,4.22,4.22,7400,4.22
2015-03-26,4.22,4.35,4.22,4.29,4100,4.29
2015-03-25,4.25,4.39,4.25,4.35,18200,4.35
2015-03-24,4.28,4.66,4.23,4.25,89700,4.25
2015-03-23,4.26,4.28,4.18,4.26,33100,4.26
2015-03-20,4.32,4.34,4.21,4.26,32300,4.26
2015-03-19,4.31,4.38,4.25,4.34,17900,4.34
2015-03-18,4.34,4.37,4.21,4.35,14900,4.35
2015-03-17,4.30,4.34,4.19,4.25,13400,4.25
2015-03-16,4.27,4.30,4.13,4.30,18800,4.30
2015-03-13,4.26,4.30,4.20,4.27,8800,4.27
2015-03-12,4.14,4.32,4.14,4.20,44700,4.20
2015-03-11,4.18,4.18,4.10,4.13,21700,4.13
2015-03-10,4.21,4.23,4.12,4.12,15000,4.12
2015-03-09,4.11,4.25,4.11,4.19,9700,4.19
2015-03-06,4.25,4.25,4.16,4.19,4100,4.19
2015-03-05,4.32,4.33,4.13,4.25,4800,4.25
2015-03-04,4.17,4.20,4.10,4.11,62100,4.11
2015-03-03,4.20,4.25,4.13,4.15,51300,4.15
2015-03-02,4.25,4.29,4.18,4.20,30700,4.20
2015-02-27,4.35,4.40,4.22,4.22,31100,4.22
2015-02-26,4.22,4.33,4.19,4.33,14600,4.33
2015-02-25,4.27,4.31,4.20,4.21,5500,4.21
2015-02-24,4.25,4.32,4.22,4.22,23900,4.22
2015-02-23,4.22,4.45,4.17,4.19,31100,4.19
2015-02-20,4.26,4.29,4.17,4.19,75900,4.19
2015-02-19,4.30,4.30,4.29,4.29,4200,4.29
2015-02-18,4.38,4.38,4.25,4.25,9900,4.25
2015-02-17,4.30,4.47,4.30,4.47,3900,4.47
2015-02-13,4.41,4.42,4.29,4.37,4200,4.37
2015-02-12,4.54,4.57,4.24,4.33,29400,4.33
2015-02-11,4.44,4.61,4.44,4.46,48300,4.46
2015-02-10,4.30,4.69,4.24,4.56,317000,4.56
2015-02-09,4.22,4.33,4.22,4.30,33800,4.30
2015-02-06,4.07,4.27,4.07,4.22,28400,4.22
2015-02-05,4.09,4.14,4.08,4.08,10400,4.08
2015-02-04,4.10,4.15,4.10,4.15,11700,4.15
2015-02-03,4.15,4.15,4.05,4.07,20800,4.07
2015-02-02,4.15,4.22,4.09,4.09,1100,4.09
2015-01-30,4.15,4.19,4.14,4.15,16000,4.15
2015-01-29,4.20,4.20,4.20,4.20,2100,4.20
2015-01-28,4.20,4.31,4.17,4.20,34700,4.20
2015-01-27,4.33,4.34,4.24,4.30,19700,4.30
2015-01-26,4.05,4.31,4.05,4.31,9600,4.31
2015-01-23,4.07,4.10,4.06,4.08,7900,4.08
2015-01-22,4.13,4.17,4.02,4.07,32700,4.07
2015-01-21,4.10,4.14,4.09,4.14,10200,4.14
2015-01-20,4.13,4.20,4.02,4.06,18800,4.06
2015-01-16,4.20,4.22,4.12,4.15,6200,4.15
2015-01-15,4.20,4.26,4.19,4.23,11500,4.23
2015-01-14,4.18,4.22,4.10,4.12,6100,4.12
2015-01-13,4.20,4.37,4.10,4.14,49800,4.14
2015-01-12,4.40,4.51,4.22,4.23,71800,4.23
2015-01-09,4.30,4.45,4.30,4.33,15800,4.33
2015-01-08,4.25,4.35,4.25,4.35,32800,4.35
