Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,15.10,15.50,15.10,15.10,2700,15.10
2015-09-03,15.34,15.50,15.09,15.28,6800,15.28
2015-09-02,15.50,15.55,15.35,15.36,2900,15.36
2015-09-01,15.30,15.50,15.20,15.49,4300,15.49
2015-08-31,15.21,15.50,15.21,15.50,4900,15.50
2015-08-28,15.39,15.50,15.26,15.26,4200,15.26
2015-08-27,15.07,15.39,15.00,15.38,6400,15.38
2015-08-26,14.87,15.07,14.87,14.95,9400,14.95
2015-08-25,14.27,14.65,14.27,14.65,3100,14.65
2015-08-24,14.52,14.68,14.40,14.40,4100,14.40
2015-08-21,14.70,14.95,14.70,14.84,3500,14.84
2015-08-20,14.80,14.92,14.71,14.82,1800,14.82
2015-08-19,14.85,14.96,14.80,14.96,4700,14.96
2015-08-18,14.87,14.87,14.65,14.80,5800,14.80
2015-08-17,14.92,14.92,14.72,14.72,2800,14.72
2015-08-14,15.07,15.07,14.93,14.94,1400,14.94
2015-08-13,15.08,15.08,15.01,15.06,700,15.06
2015-08-12,14.98,15.24,14.98,15.08,2000,15.08
2015-08-11,14.70,15.11,14.70,14.77,700,14.77
2015-08-10,15.20,15.45,14.76,14.76,5100,14.76
2015-08-07,15.02,15.07,14.68,14.81,2800,14.81
2015-08-06,15.15,15.15,15.05,15.05,1200,15.05
2015-08-05,15.03,15.19,15.03,15.19,1300,15.19
2015-08-04,15.30,15.46,15.03,15.03,2300,15.03
2015-08-03,15.04,15.50,15.04,15.30,3900,15.30
2015-07-31,15.44,15.44,15.08,15.08,300,15.08
2015-07-30,15.47,15.47,15.11,15.34,3500,15.34
2015-07-29,15.54,15.54,15.43,15.49,3000,15.49
2015-07-28,15.48,15.50,15.43,15.45,1600,15.45
2015-07-27,15.42,15.50,15.42,15.49,3000,15.49
2015-07-24,15.54,15.70,15.49,15.50,5700,15.50
2015-07-23,15.51,15.58,15.43,15.49,7600,15.49
2015-07-22,15.54,15.57,15.51,15.51,2000,15.51
2015-07-21,15.58,15.58,15.45,15.58,2000,15.58
2015-07-20,15.57,15.57,15.52,15.57,500,15.57
2015-07-17,15.57,15.57,15.56,15.56,2300,15.56
2015-07-16,16.459999,16.459999,15.37,15.57,6500,15.57
2015-07-15,15.55,15.58,15.39,15.58,4800,15.58
2015-07-14,15.46,15.58,15.46,15.57,2500,15.57
2015-07-13,15.58,15.58,15.27,15.58,8900,15.58
2015-07-10,15.55,15.95,15.53,15.95,4500,15.95
2015-07-09,15.52,15.58,15.50,15.58,2800,15.58
2015-07-08,15.55,15.56,15.39,15.39,1300,15.39
2015-07-07,15.51,15.58,15.50,15.55,8600,15.55
2015-07-06,15.64,15.64,15.50,15.57,3400,15.57
2015-07-02,15.44,15.70,15.38,15.48,3200,15.48
2015-07-01,15.63,15.63,15.45,15.51,8100,15.51
2015-06-30,15.34,15.58,15.23,15.45,8800,15.45
2015-06-29,15.06,15.58,14.99,15.08,23800,15.08
2015-06-26,15.20,15.20,15.03,15.17,4800,15.17
2015-06-25,15.10,15.28,14.97,15.09,4300,15.09
2015-06-24,15.07,15.30,15.02,15.28,3300,15.28
2015-06-23,15.39,15.39,14.96,15.18,8900,15.18
2015-06-22,15.60,15.73,15.40,15.40,15800,15.40
2015-06-19,15.53,15.66,15.40,15.40,6800,15.40
2015-06-18,15.50,15.58,15.42,15.43,7100,15.43
2015-06-17,15.43,15.52,15.35,15.35,1400,15.35
2015-06-16,15.51,15.57,15.29,15.33,5600,15.33
2015-06-15,15.27,15.30,14.95,15.03,13900,15.03
2015-06-12,15.76,15.76,15.26,15.49,4400,15.49
2015-06-11,15.22,15.51,15.22,15.36,3800,15.36
2015-06-10,15.50,15.60,15.45,15.50,21700,15.37
2015-06-09,15.50,15.50,15.33,15.50,1500,15.37
2015-06-08,15.50,15.50,15.35,15.44,1000,15.310503
2015-06-05,15.31,15.46,15.25,15.46,8700,15.330336
2015-06-04,15.00,15.30,15.00,15.28,5800,15.151845
2015-06-03,15.10,15.30,15.04,15.30,2900,15.171678
2015-06-02,14.87,15.13,14.85,15.11,4400,14.983271
