Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,9.75,9.75,9.75,9.75,1200,9.75
2015-09-03,9.84,9.84,9.84,9.84,400,9.84
2015-09-02,9.85,9.85,9.75,9.76,600,9.76
2015-09-01,9.75,9.75,9.75,9.75,400,9.75
2015-08-31,9.75,9.81,9.75,9.81,500,9.81
2015-08-28,9.84,9.84,9.77,9.77,500,9.77
2015-08-27,9.80,9.80,9.63,9.63,200,9.63
2015-08-26,9.80,9.80,9.71,9.75,22400,9.75
2015-08-25,9.80,9.80,9.80,9.80,300,9.80
2015-08-24,9.62,9.62,9.62,9.62,500,9.62
2015-08-21,9.62,9.62,9.62,9.62,200,9.62
2015-08-20,9.76,9.76,9.76,9.76,100,9.76
2015-08-19,9.64,9.64,9.64,9.64,700,9.64
2015-08-18,9.77,9.77,9.77,9.77,000,9.77
2015-08-17,9.79,9.79,9.77,9.77,800,9.77
2015-08-14,9.56,9.56,9.56,9.56,1500,9.56
2015-08-13,9.58,9.58,9.58,9.58,100,9.58
2015-08-12,9.57,9.58,9.57,9.57,600,9.57
2015-08-11,9.59,9.59,9.59,9.59,000,9.59
2015-08-10,9.59,9.59,9.59,9.59,000,9.59
2015-08-07,9.59,9.59,9.59,9.59,000,9.59
2015-08-06,9.59,9.59,9.59,9.59,300,9.59
2015-08-05,9.68,9.68,9.68,9.68,000,9.68
2015-08-04,9.68,9.68,9.68,9.68,700,9.68
2015-08-03,9.59,9.59,9.59,9.59,300,9.59
2015-07-31,9.70,9.70,9.55,9.59,3500,9.59
2015-07-30,9.71,10.25,9.66,9.95,1400,9.95
2015-07-29,10.42,10.46,10.25,10.41,2300,10.41
2015-07-28,10.39,10.47,10.10,10.40,3100,10.40
2015-07-27,9.51,10.20,9.51,10.08,7700,10.08
2015-07-24,9.58,9.78,9.58,9.65,800,9.65
2015-07-23,10.20,10.20,10.16,10.16,500,10.16
2015-07-22,9.53,9.53,9.53,9.53,000,9.53
2015-07-21,9.53,9.53,9.53,9.53,000,9.53
2015-07-20,9.55,9.55,9.50,9.53,1500,9.53
2015-07-17,9.41,9.60,9.33,9.60,1900,9.60
2015-07-16,9.43,9.44,9.36,9.36,2300,9.36
2015-07-15,9.27,9.63,9.21,9.31,26000,9.31
2015-07-14,9.65,9.99,9.26,9.44,26500,9.44
2015-07-13,9.56,9.62,9.35,9.35,51500,9.35
2015-07-10,9.72,9.84,9.48,9.58,34000,9.58
2015-07-09,9.97,10.09,9.60,9.60,6300,9.60
2015-07-08,10.15,10.56,9.81,9.97,26300,9.97
2015-07-07,11.15,11.15,11.15,11.15,300,11.15
2015-07-06,10.06,10.06,10.06,10.06,000,10.06
2015-07-02,10.10,10.18,10.06,10.06,700,10.06
2015-07-01,10.99,10.99,9.95,10.45,2400,10.45
2015-06-30,10.46,10.46,10.45,10.45,300,10.45
2015-06-29,10.12,10.21,9.93,9.93,14700,9.93
2015-06-26,10.71,10.99,10.61,10.99,2700,10.99
2015-06-25,10.50,10.68,10.11,10.19,3000,10.19
2015-06-24,10.25,10.25,10.25,10.25,600,10.25
2015-06-23,9.98,9.98,9.98,9.98,000,9.98
2015-06-22,9.98,10.00,9.98,9.98,16900,9.98
2015-06-19,9.73,9.73,9.73,9.73,000,9.73
2015-06-18,9.73,9.73,9.73,9.73,000,9.73
2015-06-17,9.69,9.94,9.69,9.73,3400,9.73
2015-06-16,9.70,9.70,9.70,9.70,000,9.70
2015-06-15,9.65,9.70,9.65,9.70,600,9.70
2015-06-12,9.61,9.61,9.61,9.61,000,9.61
2015-06-11,9.62,9.69,9.61,9.61,1500,9.61
2015-06-10,9.89,9.94,9.70,9.70,3700,9.70
2015-06-09,9.87,9.93,9.67,9.67,1300,9.67
2015-06-08,9.93,9.94,9.93,9.94,300,9.94
2015-06-05,9.42,9.42,9.42,9.42,200,9.42
2015-06-04,9.45,9.45,9.45,9.45,100,9.45
2015-06-03,9.40,9.84,9.40,9.58,3600,9.58
2015-06-02,9.32,9.45,9.32,9.44,4400,9.44
2015-06-01,9.45,9.45,9.45,9.45,500,9.45
2015-05-29,9.32,9.32,9.32,9.32,000,9.32
2015-05-28,9.32,9.32,9.32,9.32,000,9.32
2015-05-27,9.45,9.45,9.28,9.32,2900,9.32
2015-05-26,9.40,9.44,9.40,9.40,2500,9.40
2015-05-22,9.27,9.27,9.27,9.27,000,9.27
2015-05-21,9.30,9.43,9.27,9.27,2000,9.27
2015-05-20,9.45,9.45,9.45,9.45,000,9.45
2015-05-19,9.45,9.45,9.45,9.45,000,9.45
2015-05-18,9.27,9.45,9.27,9.45,20900,9.45
2015-05-15,9.42,9.45,9.30,9.40,600,9.40
2015-05-14,9.31,9.31,9.22,9.24,2100,9.24
2015-05-13,9.22,9.45,9.15,9.45,11200,9.45
2015-05-12,9.26,9.26,9.26,9.26,100,9.26
2015-05-11,9.35,9.49,9.35,9.35,400,9.35
2015-05-08,9.40,9.45,9.35,9.45,5600,9.45
2015-05-07,9.27,9.45,9.25,9.35,24800,9.35
2015-05-06,9.44,9.45,9.43,9.44,16600,9.44
2015-05-05,9.54,9.55,9.21,9.30,38500,9.30
2015-05-04,9.30,9.44,9.30,9.36,7000,9.36
2015-05-01,9.27,9.42,9.27,9.42,300,9.42
2015-04-30,9.27,9.39,9.25,9.39,2900,9.39
2015-04-29,9.26,9.30,9.25,9.29,7600,9.29
2015-04-28,9.27,9.35,9.26,9.35,3100,9.35
2015-04-27,9.18,9.74,9.15,9.42,6500,9.42
2015-04-24,9.11,9.88,9.10,9.33,191500,9.33
2015-04-23,9.79,9.79,9.02,9.21,22600,9.21
2015-04-22,9.35,10.10,9.35,9.99,5400,9.99
2015-04-21,9.55,10.00,9.55,10.00,400,10.00
2015-04-20,10.05,10.05,9.71,9.81,600,9.81
2015-04-17,9.75,9.81,9.70,9.81,1000,9.81
2015-04-16,9.90,9.90,9.76,9.76,4900,9.76
2015-04-15,9.71,10.21,9.71,9.96,44700,9.96
2015-04-14,9.90,9.94,9.82,9.94,19900,9.94
2015-04-13,9.95,10.07,9.91,9.95,6200,9.95
2015-04-10,10.06,10.13,9.99,10.12,7000,10.12
2015-04-09,10.10,10.25,10.10,10.12,4600,10.12
2015-04-08,10.07,10.60,9.99,10.06,5200,10.06
2015-04-07,10.10,10.50,10.10,10.11,2800,10.11
2015-04-06,10.30,10.30,10.04,10.10,800,10.10
2015-04-02,10.08,10.08,10.08,10.08,200,10.08
2015-04-01,10.33,10.33,9.95,10.23,3500,10.23
2015-03-31,10.88,10.88,10.13,10.20,13200,10.20
2015-03-30,10.02,10.77,9.96,10.46,74600,10.46
2015-03-27,10.04,10.25,10.00,10.09,21500,10.09
2015-03-26,10.17,10.27,10.00,10.21,10500,10.21
2015-03-25,10.18,10.20,10.18,10.20,200,10.20
2015-03-24,10.24,10.32,10.15,10.15,7500,10.15
2015-03-23,10.24,10.33,10.21,10.29,1300,10.29
2015-03-20,10.68,10.68,10.22,10.26,1600,10.26
2015-03-19,10.78,10.78,10.33,10.33,900,10.33
2015-03-18,10.59,10.91,10.16,10.59,20800,10.59
2015-03-17,10.18,10.48,10.13,10.36,7800,10.36
2015-03-16,10.22,10.39,10.11,10.38,13100,10.38
2015-03-13,10.22,10.39,10.15,10.30,5800,10.30
2015-03-12,10.30,10.30,10.10,10.20,6000,10.20
2015-03-11,10.14,10.65,10.14,10.26,1500,10.26
2015-03-10,10.05,10.05,10.05,10.05,100,10.05
