Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,12.53,12.53,12.25,12.44,143000,12.44
2015-09-03,12.53,12.74,12.46,12.56,59500,12.56
2015-09-02,12.55,12.92,12.40,12.56,93100,12.56
2015-09-01,12.70,13.01,12.45,12.51,112000,12.51
2015-08-31,12.82,13.01,12.62,12.95,47200,12.95
2015-08-28,12.85,13.09,12.56,12.94,80200,12.94
2015-08-27,12.97,13.07,12.68,12.96,78800,12.96
2015-08-26,12.72,12.99,12.44,12.89,121300,12.89
2015-08-25,12.89,12.89,12.29,12.50,179600,12.50
2015-08-24,12.27,12.70,12.18,12.44,130800,12.44
2015-08-21,12.45,13.05,12.45,12.98,175400,12.98
2015-08-20,12.68,12.83,12.54,12.73,105000,12.73
2015-08-19,12.59,12.88,12.49,12.81,112700,12.81
2015-08-18,12.51,12.83,12.33,12.67,104400,12.67
2015-08-17,12.81,12.85,12.35,12.54,164800,12.54
2015-08-14,12.11,12.84,12.11,12.80,104000,12.80
2015-08-13,13.00,13.00,12.10,12.11,177300,12.11
2015-08-12,13.27,13.27,12.90,13.06,114600,13.06
2015-08-11,14.14,14.14,12.78,13.27,175500,13.27
2015-08-10,13.25,13.49,12.90,13.16,271300,13.16
2015-08-07,12.11,12.12,11.75,12.03,66600,12.03
2015-08-06,12.10,12.24,11.85,12.17,49800,12.17
2015-08-05,12.35,12.51,11.98,12.05,58400,12.05
2015-08-04,12.14,12.70,12.14,12.29,259700,12.29
2015-08-03,12.41,12.42,12.07,12.14,51700,12.14
2015-07-31,12.18,12.52,12.09,12.33,79800,12.33
2015-07-30,12.32,12.46,12.12,12.18,70200,12.18
2015-07-29,11.95,12.58,11.86,12.38,110300,12.38
2015-07-28,12.01,12.33,11.83,11.94,88900,11.94
2015-07-27,12.04,12.13,11.94,11.99,68700,11.99
2015-07-24,12.41,12.49,12.10,12.16,100000,12.16
2015-07-23,13.12,13.15,12.50,12.52,179800,12.52
2015-07-22,13.38,13.45,13.17,13.19,65400,13.19
2015-07-21,13.35,13.46,13.20,13.42,127300,13.42
2015-07-20,13.70,13.70,13.32,13.39,104600,13.39
2015-07-17,14.04,14.04,13.65,13.72,86100,13.72
2015-07-16,13.95,14.17,13.77,13.99,192800,13.99
2015-07-15,14.21,14.25,13.83,13.92,126000,13.92
2015-07-14,13.67,14.46,13.48,14.33,276500,14.33
2015-07-13,13.28,13.85,13.23,13.67,133000,13.67
2015-07-10,13.20,13.44,13.19,13.28,75100,13.28
2015-07-09,13.24,13.24,13.02,13.09,74200,13.09
2015-07-08,13.41,13.43,13.00,13.06,117500,13.06
2015-07-07,13.69,13.69,13.45,13.49,119600,13.49
2015-07-06,14.05,14.23,13.75,13.79,72000,13.79
2015-07-02,14.23,14.25,13.96,14.06,85400,14.06
2015-07-01,14.85,14.88,14.01,14.17,282800,14.17
2015-06-30,15.11,15.17,14.61,14.72,105600,14.72
2015-06-29,15.36,15.45,14.99,14.99,59300,14.99
2015-06-26,15.17,15.42,15.11,15.41,123500,15.41
2015-06-25,15.30,15.30,15.02,15.09,47700,15.09
2015-06-24,15.62,15.76,15.26,15.29,64600,15.29
2015-06-23,15.39,15.80,15.31,15.70,119400,15.70
2015-06-22,15.43,15.50,15.30,15.45,49600,15.45
2015-06-19,15.15,15.52,15.08,15.33,126600,15.33
2015-06-18,15.26,15.49,15.12,15.19,103500,15.19
2015-06-17,15.57,15.79,15.26,15.26,95800,15.26
2015-06-16,15.48,15.57,15.30,15.56,60000,15.56
2015-06-15,15.80,15.90,15.26,15.48,124700,15.48
2015-06-12,16.01,16.120001,15.76,15.85,52600,15.85
2015-06-11,16.00,16.10,15.91,16.00,22300,16.00
2015-06-10,16.00,16.17,15.96,16.030001,51900,16.030001
2015-06-09,16.00,16.16,15.92,15.95,40900,15.95
2015-06-08,16.00,16.16,15.84,15.97,52400,15.97
2015-06-05,16.139999,16.200001,15.84,16.030001,76100,16.030001
2015-06-04,16.299999,16.66,16.059999,16.120001,59600,16.120001
