Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,8.28,8.35,8.28,8.35,400,8.35
2015-09-03,8.45,8.45,8.40,8.45,700,8.45
2015-09-02,8.45,8.85,8.42,8.42,1400,8.42
2015-09-01,8.38,8.43,8.38,8.43,3300,8.43
2015-08-31,8.53,8.75,8.50,8.50,4400,8.50
2015-08-28,8.22,8.90,8.22,8.79,3000,8.79
2015-08-27,8.50,8.95,8.22,8.22,5600,8.22
2015-08-26,8.80,8.95,8.04,8.60,3200,8.60
2015-08-25,8.75,8.75,8.75,8.75,000,8.75
2015-08-24,8.95,8.95,8.75,8.75,5200,8.75
2015-08-21,8.95,8.95,8.95,8.95,800,8.95
2015-08-20,8.95,8.95,8.95,8.95,100,8.95
2015-08-19,8.97,9.07,8.97,9.07,300,9.07
2015-08-18,9.02,9.30,8.93,8.95,6000,8.95
2015-08-17,9.00,9.35,9.00,9.35,1300,9.35
2015-08-14,9.28,9.29,9.01,9.29,1300,9.29
2015-08-13,9.50,9.50,9.28,9.28,700,9.28
2015-08-12,9.28,9.28,9.28,9.28,200,9.28
2015-08-11,9.28,9.28,9.28,9.28,100,9.28
2015-08-10,9.30,9.30,9.27,9.27,300,9.27
2015-08-07,9.34,9.34,9.28,9.28,2300,9.28
2015-08-06,9.28,9.28,9.28,9.28,100,9.28
2015-08-05,9.35,9.40,9.34,9.39,6000,9.39
2015-08-04,9.90,9.90,9.30,9.30,6800,9.30
2015-08-03,9.90,9.90,9.90,9.90,500,9.90
2015-07-31,9.57,9.90,9.11,9.11,9500,9.11
2015-07-30,9.56,9.75,9.56,9.56,1300,9.56
2015-07-29,9.56,9.56,9.56,9.56,100,9.56
2015-07-28,9.56,9.59,9.56,9.59,400,9.59
2015-07-27,9.56,9.72,9.56,9.71,1000,9.71
2015-07-24,9.80,9.80,9.65,9.80,4900,9.80
2015-07-23,9.56,9.61,9.56,9.58,900,9.58
2015-07-22,9.57,9.57,9.57,9.57,000,9.57
2015-07-21,9.56,9.58,9.56,9.57,1900,9.57
2015-07-20,9.80,9.80,9.51,9.51,1900,9.51
2015-07-17,9.90,9.90,9.75,9.75,800,9.75
2015-07-16,9.78,9.95,9.78,9.80,1700,9.80
2015-07-15,9.48,10.00,9.48,9.80,11700,9.80
2015-07-14,9.35,9.35,9.30,9.30,900,9.30
2015-07-13,9.30,9.35,9.30,9.34,1700,9.34
2015-07-10,9.30,9.30,9.30,9.30,200,9.30
2015-07-09,9.30,9.30,9.30,9.30,000,9.30
2015-07-08,9.29,10.00,9.25,9.30,1700,9.30
2015-07-07,9.30,9.30,9.30,9.30,100,9.30
2015-07-06,9.32,9.32,9.01,9.21,5600,9.21
2015-07-02,9.23,9.33,9.20,9.25,6000,9.25
2015-07-01,9.30,9.32,9.20,9.20,4200,9.20
2015-06-30,9.45,9.45,9.32,9.32,300,9.32
