Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.23,1.48,1.23,1.32,18500,1.32
2015-09-03,1.18,1.23,1.15,1.21,3400,1.21
2015-09-02,1.18,1.24,1.18,1.24,13100,1.24
2015-09-01,1.14,1.14,1.14,1.14,000,1.14
2015-08-31,1.07,1.18,1.06,1.14,24800,1.14
2015-08-28,1.15,1.15,1.10,1.13,47600,1.13
2015-08-27,1.18,1.18,1.18,1.18,700,1.18
2015-08-26,1.23,1.24,1.20,1.20,7600,1.20
2015-08-25,1.12,1.31,1.07,1.21,2100,1.21
2015-08-24,1.15,1.28,1.02,1.19,13900,1.19
2015-08-21,1.24,1.24,1.18,1.18,28900,1.18
2015-08-20,1.28,1.31,1.20,1.20,26600,1.20
2015-08-19,1.20,1.31,1.20,1.28,7600,1.28
2015-08-18,1.20,1.25,1.20,1.24,15700,1.24
2015-08-17,1.26,1.32,1.18,1.19,20300,1.19
2015-08-14,1.18,1.30,1.18,1.25,14100,1.25
2015-08-13,1.20,1.30,1.18,1.26,5500,1.26
2015-08-12,1.26,1.34,1.18,1.33,12400,1.33
2015-08-11,1.40,1.40,1.32,1.32,1000,1.32
2015-08-10,1.34,1.60,1.27,1.40,17200,1.40
2015-08-07,1.40,1.40,1.36,1.36,1400,1.36
2015-08-06,1.28,1.38,1.28,1.38,1700,1.38
2015-08-05,1.35,1.35,1.31,1.31,10100,1.31
2015-08-04,1.44,1.47,1.39,1.39,2100,1.39
2015-08-03,1.47,1.50,1.25,1.33,6000,1.33
2015-07-31,1.50,1.50,1.50,1.50,4200,1.50
2015-07-30,1.49,1.50,1.49,1.50,500,1.50
2015-07-29,1.54,1.54,1.41,1.41,1800,1.41
2015-07-28,1.57,1.57,1.56,1.57,1000,1.57
2015-07-27,1.46,1.46,1.38,1.45,19000,1.45
2015-07-24,1.56,1.57,1.46,1.47,8000,1.47
2015-07-23,1.58,1.58,1.58,1.58,000,1.58
2015-07-22,1.58,1.60,1.56,1.58,8600,1.58
2015-07-21,1.64,1.64,1.58,1.60,12700,1.60
2015-07-20,1.66,1.69,1.63,1.63,12600,1.63
2015-07-17,1.66,1.66,1.66,1.66,000,1.66
2015-07-16,1.68,1.68,1.66,1.66,2800,1.66
2015-07-15,1.70,1.70,1.61,1.62,3300,1.62
2015-07-14,1.70,1.70,1.59,1.68,9300,1.68
2015-07-13,1.68,1.68,1.67,1.68,4900,1.68
2015-07-10,1.60,1.64,1.60,1.64,21900,1.64
2015-07-09,1.50,1.70,1.50,1.64,6200,1.64
2015-07-08,1.70,1.70,1.54,1.54,14600,1.54
2015-07-07,1.63,1.70,1.61,1.70,8100,1.70
2015-07-06,1.78,1.78,1.60,1.65,18700,1.65
2015-07-02,1.75,1.75,1.75,1.75,000,1.75
2015-07-01,1.72,1.75,1.72,1.75,2300,1.75
