Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.709999,19.10,18.58,18.629999,107500,18.629999
2014-12-30,18.66,18.870001,18.57,18.610001,43600,18.610001
2014-12-29,18.690001,18.799999,18.52,18.77,71700,18.77
2014-12-26,18.49,18.629999,18.33,18.610001,52800,18.610001
2014-12-24,18.309999,18.52,18.07,18.48,39800,18.48
2014-12-23,18.559999,18.74,18.15,18.25,101500,18.25
2014-12-22,18.530001,18.75,18.209999,18.42,119300,18.42
2014-12-19,17.950001,18.74,17.950001,18.530001,536300,18.530001
2014-12-18,17.389999,17.959999,17.389999,17.83,134600,17.83
2014-12-17,16.620001,17.360001,16.370001,17.33,127400,17.33
2014-12-16,16.799999,17.120001,16.58,16.58,151500,16.58
2014-12-15,17.35,17.35,16.790001,16.83,289400,16.83
2014-12-12,17.83,17.969999,17.02,17.27,170100,17.27
2014-12-11,17.950001,18.25,17.860001,18.110001,85900,18.110001
2014-12-10,17.98,18.18,17.629999,17.860001,151500,17.860001
2014-12-09,17.57,18.110001,17.389999,18.059999,144700,18.059999
2014-12-08,17.969999,18.15,17.66,17.77,188900,17.77
2014-12-05,17.690001,18.18,17.639999,18.030001,135700,18.030001
2014-12-04,17.49,17.709999,17.370001,17.66,133900,17.66
2014-12-03,17.440001,17.950001,17.299999,17.549999,164400,17.549999
2014-12-02,16.969999,17.58,16.75,17.48,152600,17.48
2014-12-01,17.23,17.26,16.870001,16.889999,124300,16.889999
2014-11-28,17.76,17.82,17.25,17.309999,72800,17.309999
2014-11-26,17.82,17.82,17.360001,17.67,139800,17.67
2014-11-25,17.42,18.059999,17.34,17.809999,181000,17.809999
2014-11-24,17.030001,17.370001,16.940001,17.370001,153300,17.370001
2014-11-21,17.01,17.10,16.83,17.02,143600,17.02
2014-11-20,16.41,16.74,15.83,16.73,96300,16.73
2014-11-19,16.780001,16.780001,16.360001,16.50,142400,16.50
2014-11-18,16.780001,17.040001,16.58,16.83,127800,16.83
2014-11-17,17.200001,17.299999,16.700001,16.780001,131500,16.780001
2014-11-14,17.059999,17.299999,16.959999,17.280001,132300,17.280001
2014-11-13,17.15,17.190001,17.00,17.09,115600,17.09
2014-11-12,17.200001,17.280001,16.93,17.15,142500,17.15
2014-11-11,17.370001,17.450001,17.200001,17.27,226900,17.27
2014-11-10,17.120001,17.50,17.120001,17.43,191700,17.43
2014-11-07,17.299999,17.32,16.889999,17.200001,327000,17.200001
2014-11-06,16.370001,17.41,15.36,17.32,390900,17.32
2014-11-05,17.17,17.34,16.799999,17.299999,260100,17.299999
2014-11-04,16.90,17.09,16.540001,17.08,251700,17.08
2014-11-03,16.57,17.15,16.41,17.049999,539800,17.049999
2014-10-31,16.27,16.639999,15.88,16.58,264800,16.58
2014-10-30,15.39,16.00,15.25,15.90,147500,15.90
2014-10-29,15.38,15.47,15.06,15.45,137600,15.45
2014-10-28,14.74,15.50,14.56,15.40,369400,15.40
2014-10-27,14.26,14.61,14.12,14.60,97700,14.60
2014-10-24,14.45,14.50,14.15,14.37,92400,14.37
2014-10-23,14.10,14.50,14.07,14.46,239700,14.46
2014-10-22,14.99,15.20,14.21,14.25,109000,14.25
2014-10-21,14.89,15.11,14.82,14.98,86100,14.98
2014-10-20,14.65,15.06,14.65,14.83,136200,14.83
2014-10-17,15.32,15.32,14.54,14.77,154300,14.77
2014-10-16,15.13,15.47,15.04,15.07,207000,15.07
2014-10-15,14.75,15.48,14.71,15.41,168700,15.41
2014-10-14,14.55,15.11,14.40,14.86,193500,14.86
2014-10-13,14.39,14.95,14.30,14.36,156600,14.36
2014-10-10,14.07,14.63,14.05,14.34,149800,14.34
2014-10-09,14.77,15.50,14.16,14.17,105100,14.17
2014-10-08,14.19,14.83,14.11,14.78,132100,14.78
2014-10-07,14.54,14.76,14.25,14.27,265800,14.27
2014-10-06,14.96,15.20,14.51,14.70,212000,14.70
2014-10-03,15.20,15.35,14.95,14.96,172300,14.96
2014-10-02,14.78,15.35,14.77,15.21,302000,15.21
2014-10-01,15.00,15.09,14.62,14.80,216300,14.80
2014-09-30,15.08,15.22,14.97,14.99,250600,14.99
2014-09-29,14.94,15.18,14.94,15.07,103700,15.07
2014-09-26,15.33,15.48,15.06,15.19,130100,15.19
2014-09-25,15.26,15.39,14.90,15.33,219700,15.33
2014-09-24,15.13,15.37,14.75,15.32,205100,15.32
2014-09-23,15.11,15.32,14.88,15.00,225700,15.00
2014-09-22,15.16,15.35,15.03,15.14,121800,15.14
2014-09-19,15.31,15.51,14.96,15.31,398300,15.31
2014-09-18,14.68,15.24,14.54,15.22,216500,15.22
2014-09-17,14.90,15.02,14.51,14.59,256900,14.59
