Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.85,6.8616,6.85,6.8616,2300,6.8616
2014-12-30,6.87,6.87,6.85,6.87,9200,6.87
2014-12-29,6.85,6.86,6.84,6.86,12000,6.86
2014-12-26,6.85,6.87,6.84,6.8532,7400,6.8532
2014-12-25,6.85,6.85,6.85,6.85,000,6.85
2014-12-24,6.85,6.87,6.85,6.85,14700,6.85
2014-12-23,6.79,6.94,6.79,6.84,226300,6.84
2014-12-22,5.27,5.45,5.27,5.382,25100,5.382
2014-12-19,5.19,5.2899,5.145,5.23,14000,5.23
2014-12-18,5.14,5.187,4.90,5.18,23500,5.18
2014-12-17,5.071,5.071,5.071,5.071,000,5.071
2014-12-16,5.071,5.071,5.071,5.071,000,5.071
2014-12-15,5.071,5.071,5.071,5.071,200,5.071
2014-12-12,4.91,4.91,4.91,4.91,000,4.91
2014-12-11,5.031,5.066,4.91,4.91,7400,4.91
2014-12-10,4.95,5.14,4.95,5.03,1600,5.03
2014-12-09,4.90,4.90,4.90,4.90,000,4.90
2014-12-08,4.89,4.90,4.89,4.90,7100,4.90
2014-12-05,5.11,5.11,5.00,5.00,800,5.00
2014-12-04,4.9301,4.9301,4.9301,4.9301,400,4.9301
2014-12-03,4.974,4.974,4.974,4.974,000,4.974
2014-12-02,4.93,4.974,4.90,4.974,1700,4.974
2014-12-01,5.00,5.24,4.65,4.65,2100,4.65
2014-11-28,5.23,5.23,5.23,5.23,300,5.23
2014-11-27,5.20,5.20,5.20,5.20,000,5.20
2014-11-26,5.14,5.20,5.14,5.20,500,5.20
2014-11-25,4.885,5.23,4.885,5.20,5500,5.20
2014-11-24,4.6601,4.78,4.6601,4.78,3200,4.78
2014-11-21,4.62,4.62,4.62,4.62,000,4.62
2014-11-20,4.63,4.64,4.49,4.62,7000,4.62
2014-11-19,4.63,4.63,4.63,4.63,000,4.63
2014-11-18,4.6972,4.91,4.63,4.63,3700,4.63
2014-11-17,4.6601,4.6601,4.66,4.66,600,4.66
2014-11-14,4.90,4.90,4.66,4.66,2200,4.66
2014-11-13,4.66,4.66,4.66,4.66,000,4.66
2014-11-12,4.70,4.70,4.66,4.66,5000,4.66
2014-11-11,4.68,4.68,4.68,4.68,200,4.68
2014-11-10,4.64,4.68,4.64,4.64,300,4.64
2014-11-07,4.784,4.80,4.63,4.77,9800,4.77
2014-11-06,4.69,4.69,4.69,4.69,000,4.69
2014-11-05,4.69,4.69,4.69,4.69,000,4.69
2014-11-04,4.69,4.69,4.69,4.69,300,4.69
2014-11-03,4.70,4.70,4.64,4.64,400,4.64
2014-10-31,4.57,4.69,4.57,4.63,2300,4.63
2014-10-30,4.58,4.58,4.58,4.58,600,4.58
