Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,91.760002,92.209999,90.82,91.220001,106300,90.500962
2014-12-30,91.919998,93.010002,91.459999,91.470001,52200,90.748991
2014-12-29,92.790001,93.559998,91.529999,92.089996,95300,91.364099
2014-12-26,92.059998,93.739998,91.349998,92.860001,296300,92.128034
2014-12-24,91.489998,93.68,91.400002,91.610001,64100,90.887887
2014-12-23,91.300003,92.779999,90.629997,91.190002,93900,90.471199
2014-12-22,90.470001,90.839996,89.309998,90.800003,91600,90.084274
2014-12-19,92.440002,92.559998,90.089996,90.629997,165900,89.915608
2014-12-18,92.989998,92.989998,91.300003,92.589996,118000,91.860158
2014-12-17,88.720001,91.940002,88.330002,91.900002,151700,91.175602
2014-12-16,88.510002,89.480003,88.220001,88.589996,224000,87.891688
2014-12-15,88.839996,89.489998,87.779999,88.480003,175400,87.782562
2014-12-12,84.75,88.989998,84.75,88.330002,306600,87.633743
2014-12-11,88.870003,90.699997,88.239998,88.790001,170000,88.090116
2014-12-10,91.239998,92.730003,88.519997,88.660004,149200,87.961143
2014-12-09,90.540001,91.580002,89.730003,91.459999,83900,90.739068
2014-12-08,93.300003,94.50,91.230003,91.550003,97700,90.828362
2014-12-05,91.760002,93.540001,91.760002,93.290001,113100,92.554645
2014-12-04,91.709999,92.400002,90.050003,91.809998,92200,91.086307
2014-12-03,91.330002,92.150002,90.610001,91.959999,116300,91.235127
2014-12-02,92.099998,93.50,90.75,91.080002,154700,90.362066
2014-12-01,96.410004,96.629997,92.110001,92.139999,124900,91.413708
2014-11-28,95.449997,98.720001,95.449997,96.959999,127700,96.195714
2014-11-26,95.839996,97.230003,94.68,95.57,113900,94.816671
2014-11-25,96.510002,97.080002,94.82,96.050003,127200,95.292891
2014-11-24,94.00,96.669998,93.93,96.57,141900,95.808789
2014-11-21,95.43,95.610001,93.57,94.029999,80500,93.28881
2014-11-20,93.400002,94.32,92.93,94.25,67400,93.507077
2014-11-19,95.269997,95.300003,93.379997,93.599998,82400,92.862199
2014-11-18,95.18,96.989998,94.580002,95.50,149200,94.747224
2014-11-17,94.400002,96.029999,93.540001,94.989998,167000,94.241241
2014-11-14,95.290001,96.459999,94.230003,94.75,168000,94.003135
2014-11-13,95.57,96.260002,93.980003,95.239998,132500,94.489271
2014-11-12,94.349998,95.650002,93.360001,95.199997,126800,94.449585
2014-11-11,94.980003,95.150002,93.010002,94.379997,138600,93.636049
2014-11-10,92.230003,94.989998,92.230003,94.839996,157500,94.092422
2014-11-07,92.410004,92.470001,91.529999,92.449997,110700,91.721262
