Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.46,0.46,0.4001,0.4001,5500,0.4001
2014-12-30,0.47,0.47,0.47,0.47,200,0.47
2014-12-29,0.30,0.48,0.30,0.48,3100,0.48
2014-12-26,0.35,0.35,0.35,0.35,300,0.35
2014-12-25,0.35,0.35,0.35,0.35,000,0.35
2014-12-24,0.35,0.35,0.35,0.35,000,0.35
2014-12-23,0.37,0.37,0.35,0.35,3100,0.35
2014-12-22,0.37,0.37,0.37,0.37,2400,0.37
2014-12-19,0.5199,0.5199,0.37,0.37,18200,0.37
2014-12-18,0.40,0.4001,0.40,0.4001,1400,0.4001
2014-12-17,0.4999,0.4999,0.4999,0.4999,400,0.4999
2014-12-16,0.40,0.52,0.40,0.52,1600,0.52
2014-12-15,0.48,0.48,0.48,0.48,300,0.48
2014-12-12,0.37,0.42,0.37,0.42,6500,0.42
2014-12-11,0.3603,0.3603,0.3603,0.3603,300,0.3603
2014-12-10,0.52,0.5499,0.3603,0.37,10300,0.37
2014-12-09,0.3603,0.3603,0.3603,0.3603,300,0.3603
2014-12-08,0.3603,0.3603,0.3603,0.3603,3900,0.3603
2014-12-05,0.38,0.38,0.3603,0.37,4600,0.37
2014-12-04,0.49,0.55,0.22,0.50,46700,0.50
2014-12-02,0.3299,0.3299,0.3274,0.3276,2000,0.3276
2014-12-01,0.2551,0.3188,0.25,0.2602,35400,0.2602
2014-11-28,0.29,0.29,0.2512,0.2512,4000,0.2512
2014-11-27,0.29,0.29,0.29,0.29,000,0.29
2014-11-26,0.2602,0.30,0.26,0.29,78100,0.29
2014-11-25,0.26,0.33,0.26,0.30,90000,0.30
2014-11-24,0.2511,0.3298,0.2511,0.28,13400,0.28
2014-11-21,0.26,0.26,0.2511,0.26,3200,0.26
2014-11-20,0.29,0.29,0.2401,0.2511,33200,0.2511
2014-11-19,0.299,0.299,0.28,0.2801,1600,0.2801
2014-11-18,0.298,0.298,0.298,0.298,300,0.298
2014-11-17,0.33,0.349,0.29,0.29,31300,0.29
2014-11-14,0.299,0.335,0.23,0.29,53300,0.29
2014-11-13,0.32,0.3458,0.32,0.32,5700,0.32
2014-11-12,0.3599,0.3599,0.30,0.3099,3000,0.3099
2014-11-11,0.2512,0.42,0.2351,0.29,72000,0.29
2014-11-10,0.2601,0.279,0.2511,0.2512,3300,0.2512
2014-11-07,0.2601,0.2601,0.2601,0.2601,000,0.2601
2014-11-06,0.2365,0.28,0.2365,0.2601,8900,0.2601
2014-11-05,0.24,0.24,0.233,0.233,2400,0.233
2014-11-04,0.26,0.30,0.24,0.255,23600,0.255
