Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.50,4.56,4.42,4.53,656100,4.53
2015-09-03,4.69,4.75,4.57,4.59,673500,4.59
2015-09-02,4.75,4.77,4.57,4.65,981400,4.65
2015-09-01,4.71,4.86,4.63,4.69,572500,4.69
2015-08-31,4.73,4.89,4.70,4.82,1038600,4.82
2015-08-28,4.57,4.74,4.57,4.70,564000,4.70
2015-08-27,4.70,4.70,4.55,4.60,681700,4.60
2015-08-26,4.56,4.65,4.45,4.64,717500,4.64
2015-08-25,4.58,4.64,4.42,4.49,707100,4.49
2015-08-24,4.42,4.67,4.25,4.42,1035800,4.42
2015-08-21,4.46,4.72,4.46,4.59,984300,4.59
2015-08-20,4.78,4.89,4.54,4.56,949100,4.56
2015-08-19,4.61,4.85,4.47,4.79,1456200,4.79
2015-08-18,4.74,4.91,4.60,4.65,739900,4.65
2015-08-17,4.71,4.75,4.65,4.72,542800,4.72
2015-08-14,4.63,4.80,4.58,4.70,1991800,4.70
2015-08-13,4.67,4.75,4.66,4.69,723200,4.69
2015-08-12,4.81,4.83,4.61,4.69,1847100,4.69
2015-08-11,4.86,5.09,4.81,4.89,1326100,4.89
2015-08-10,4.92,5.18,4.91,4.95,1027800,4.95
2015-08-07,5.33,5.33,4.66,4.98,6655000,4.98
2015-08-06,4.65,5.60,4.60,5.48,4708000,5.48
2015-08-05,4.90,4.98,4.57,4.72,1432300,4.72
2015-08-04,4.92,5.02,4.72,4.90,1464600,4.90
2015-08-03,4.94,5.09,4.81,4.95,1256100,4.95
2015-07-31,4.77,4.99,4.75,4.98,845700,4.98
2015-07-30,4.80,4.86,4.66,4.81,746600,4.81
2015-07-29,5.16,5.24,4.84,4.85,981600,4.85
2015-07-28,5.22,5.28,5.14,5.17,1221000,5.17
2015-07-27,5.31,5.32,5.15,5.22,564600,5.22
2015-07-24,5.31,5.38,5.18,5.26,1351400,5.26
2015-07-23,5.43,5.52,5.29,5.36,593700,5.36
2015-07-22,5.53,5.58,5.31,5.40,1028600,5.40
2015-07-21,5.57,5.75,5.44,5.58,771900,5.58
2015-07-20,6.04,6.09,5.55,5.60,1188900,5.60
2015-07-17,6.23,6.44,6.00,6.06,994500,6.06
2015-07-16,5.53,6.20,5.53,6.19,2122400,6.19
2015-07-15,5.53,5.60,5.46,5.49,759300,5.49
2015-07-14,5.37,5.53,5.37,5.50,1082900,5.50
2015-07-13,5.44,5.51,5.29,5.39,1102500,5.39
2015-07-10,5.41,5.52,5.30,5.39,836200,5.39
2015-07-09,5.42,5.53,5.34,5.38,574200,5.38
2015-07-08,5.58,5.63,5.31,5.38,850700,5.38
2015-07-07,5.83,5.85,5.55,5.63,1718600,5.63
2015-07-06,5.56,5.90,5.52,5.85,804900,5.85
2015-07-02,5.80,5.84,5.44,5.58,824300,5.58
2015-07-01,6.00,6.17,5.74,5.79,1242700,5.79
2015-06-30,5.66,6.00,5.65,5.92,2021600,5.92
2015-06-29,5.86,5.94,5.65,5.68,1162300,5.68
2015-06-26,5.32,5.71,5.22,5.66,2312000,5.66
