Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.06,1.10,1.06,1.10,1600,1.10
2015-09-03,1.09,1.09,1.08,1.08,800,1.08
2015-09-02,1.08,1.09,1.06,1.06,13000,1.06
2015-09-01,1.01,1.07,1.01,1.07,200,1.07
2015-08-31,1.03,1.03,1.03,1.03,700,1.03
2015-08-28,1.06,1.06,0.98,1.01,3400,1.01
2015-08-27,1.00,1.04,1.00,1.02,8100,1.02
2015-08-26,0.99,0.99,0.99,0.99,100,0.99
2015-08-25,1.08,1.08,1.04,1.04,1300,1.04
2015-08-24,1.07,1.07,1.07,1.07,000,1.07
2015-08-21,1.08,1.08,1.01,1.07,6700,1.07
2015-08-20,0.95,1.03,0.95,1.02,7300,1.02
2015-08-19,1.02,1.04,0.95,1.04,285600,1.04
2015-08-18,1.02,1.04,1.02,1.04,1200,1.04
2015-08-17,1.08,1.08,1.04,1.06,2700,1.06
2015-08-14,1.06,1.06,1.06,1.06,100,1.06
2015-08-13,1.04,1.05,1.03,1.03,1100,1.03
2015-08-12,1.02,1.08,1.02,1.08,200,1.08
2015-08-11,1.08,1.08,1.08,1.08,100,1.08
2015-08-10,1.07,1.07,1.07,1.07,000,1.07
2015-08-07,1.06,1.07,1.06,1.07,1000,1.07
2015-08-06,1.06,1.06,1.06,1.06,500,1.06
2015-08-05,1.03,1.10,1.03,1.10,2200,1.10
2015-08-04,1.04,1.04,1.04,1.04,800,1.04
2015-08-03,1.09,1.09,1.09,1.09,3000,1.09
2015-07-31,1.02,1.06,1.02,1.02,1600,1.02
2015-07-30,1.04,1.04,1.04,1.04,000,1.04
2015-07-29,1.04,1.04,1.04,1.04,100,1.04
2015-07-28,1.04,1.10,1.03,1.10,1600,1.10
2015-07-27,1.04,1.04,1.03,1.03,1700,1.03
2015-07-24,1.17,1.17,1.17,1.17,100,1.17
2015-07-23,1.18,1.18,1.18,1.18,000,1.18
2015-07-22,1.18,1.18,1.18,1.18,000,1.18
