Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.87,5.10,4.87,5.10,3700,5.10
2015-09-03,4.50,5.24,4.50,4.79,12000,4.79
2015-09-02,4.70,5.27,4.50,4.86,90300,4.86
2015-09-01,4.53,4.75,4.23,4.62,8400,4.62
2015-08-31,4.40,4.68,4.35,4.62,3500,4.62
2015-08-28,4.46,4.87,4.45,4.48,16200,4.48
2015-08-27,4.30,4.49,4.30,4.43,6700,4.43
2015-08-26,4.00,4.59,4.00,4.35,14100,4.35
2015-08-25,4.14,4.42,3.69,3.98,14600,3.98
2015-08-24,3.98,4.00,1.58,4.00,37300,4.00
2015-08-21,4.19,4.19,4.19,4.19,200,4.19
2015-08-20,4.20,4.25,4.13,4.21,2800,4.21
2015-08-19,4.46,4.50,4.07,4.07,21300,4.07
2015-08-18,4.11,4.62,4.11,4.51,6000,4.51
2015-08-17,4.43,4.43,4.10,4.11,6200,4.11
2015-08-14,4.23,4.39,4.13,4.35,2600,4.35
2015-08-13,4.29,4.61,4.19,4.28,34200,4.28
2015-08-12,4.28,4.69,4.28,4.37,17900,4.37
2015-08-11,4.68,4.70,4.32,4.36,12000,4.36
2015-08-10,4.27,4.63,4.27,4.55,33600,4.55
2015-08-07,4.18,5.25,4.18,4.56,20200,4.56
2015-08-06,5.35,6.00,4.77,4.96,83100,4.96
2015-08-05,5.71,5.71,5.23,5.42,91800,5.42
2015-08-04,5.20,5.55,5.18,5.36,18100,5.36
2015-08-03,5.19,5.37,4.91,5.24,9900,5.24
2015-07-31,5.69,5.69,4.71,5.40,37800,5.40
2015-07-30,5.65,5.80,5.39,5.55,15700,5.55
2015-07-29,5.60,6.00,5.60,5.62,32300,5.62
2015-07-28,6.10,6.20,5.54,5.55,29300,5.55
2015-07-27,6.55,7.01,6.09,6.18,77500,6.18
2015-07-24,7.00,7.07,6.67,6.70,38000,6.70
2015-07-23,7.37,7.53,6.86,6.98,88100,6.98
2015-07-22,7.35,7.50,7.15,7.15,14400,7.15
2015-07-21,7.56,7.56,7.12,7.12,91100,7.12
2015-07-20,8.01,8.01,7.50,7.60,11400,7.60
2015-07-17,8.00,8.42,8.00,8.24,1600,8.24
2015-07-16,7.84,8.05,7.51,8.03,7100,8.03
2015-07-15,7.61,7.98,7.50,7.80,6100,7.80
2015-07-14,8.00,8.20,7.97,8.12,2000,8.12
2015-07-13,8.10,8.59,7.51,7.51,21000,7.51
2015-07-10,7.75,7.75,7.60,7.74,4600,7.74
2015-07-09,7.50,7.60,7.50,7.58,3200,7.58
2015-07-08,7.70,7.73,7.59,7.59,6300,7.59
2015-07-07,7.68,8.00,7.68,7.70,3900,7.70
2015-07-06,7.55,8.31,7.51,7.80,62800,7.80
2015-07-02,7.94,7.94,7.52,7.68,20100,7.68
2015-07-01,8.23,8.45,7.66,7.76,11800,7.76
2015-06-30,8.82,8.82,8.06,8.24,6400,8.24
2015-06-29,8.22,8.49,8.02,8.49,7100,8.49
2015-06-26,8.77,8.77,8.00,8.00,15600,8.00
2015-06-25,8.49,8.92,8.00,8.68,29500,8.68
2015-06-24,8.32,8.32,8.00,8.03,6500,8.03
2015-06-23,7.95,8.70,7.95,8.16,6400,8.16
2015-06-22,8.30,8.30,8.05,8.12,2100,8.12
2015-06-19,7.91,8.50,7.90,8.02,6200,8.02
2015-06-18,7.85,8.79,7.85,8.42,5800,8.42
2015-06-17,8.64,8.64,8.64,8.64,000,8.64
2015-06-16,8.72,8.72,8.35,8.64,1500,8.64
2015-06-15,8.30,8.45,7.99,8.24,5300,8.24
2015-06-12,8.48,8.80,8.20,8.20,12400,8.20
2015-06-11,8.50,9.13,8.20,8.39,21200,8.39
2015-06-10,9.05,9.05,8.55,8.55,1000,8.55
2015-06-09,8.55,8.94,8.15,8.26,21900,8.26
2015-06-08,8.66,9.12,8.53,8.64,8400,8.64
2015-06-05,8.80,8.90,8.39,8.90,12300,8.90
2015-06-04,9.89,9.95,8.76,8.81,10000,8.81
2015-06-03,7.06,9.95,7.06,9.95,52800,9.95
2015-06-02,7.50,7.50,6.80,7.25,459100,7.25
2015-06-01,7.60,7.61,7.38,7.38,27700,7.38
2015-05-29,7.99,8.00,7.56,7.70,41600,7.70
2015-05-28,7.99,8.00,7.92,7.92,12300,7.92
2015-05-27,8.20,8.20,7.90,7.91,2600,7.91
2015-05-26,8.01,8.19,7.90,7.98,219600,7.98
2015-05-22,8.70,9.00,8.00,8.06,10400,8.06
2015-05-21,10.48,10.48,8.15,8.63,17800,8.63
2015-05-20,9.20,9.29,8.91,9.29,10000,9.29
2015-05-19,9.50,9.50,8.81,9.20,16500,9.20
2015-05-18,9.75,10.19,9.50,9.56,24000,9.56
2015-05-15,9.95,10.24,9.80,10.00,6700,10.00
2015-05-14,10.11,10.34,9.90,9.91,14100,9.91
2015-05-13,10.04,10.84,9.91,10.00,35800,10.00
2015-05-12,10.03,10.04,9.82,9.92,3100,9.92
2015-05-11,9.51,10.05,9.51,9.86,8500,9.86
2015-05-08,12.31,12.31,9.54,10.03,57300,10.03
2015-05-07,12.81,13.10,11.99,12.92,7600,12.92
2015-05-06,14.20,14.20,12.50,12.80,5500,12.80
2015-05-05,13.52,13.75,12.72,13.21,7400,13.21
2015-05-04,13.48,13.50,13.46,13.50,1100,13.50
2015-05-01,13.80,14.27,13.26,13.29,10900,13.29
2015-04-30,13.91,14.05,13.81,13.81,5000,13.81
2015-04-29,13.90,14.35,13.89,13.98,6400,13.98
2015-04-28,14.45,14.45,14.04,14.04,800,14.04
2015-04-27,13.75,14.99,13.75,14.45,2200,14.45
2015-04-24,13.64,13.81,13.33,13.65,8100,13.65
2015-04-23,13.75,13.95,13.39,13.92,10100,13.92
2015-04-22,13.30,13.81,13.25,13.56,4500,13.56
2015-04-21,13.71,13.75,13.30,13.31,3500,13.31
2015-04-20,13.53,14.50,13.53,14.20,1800,14.20
2015-04-17,13.90,13.90,13.36,13.63,2600,13.63
2015-04-16,13.79,14.87,13.27,14.06,17300,14.06
2015-04-15,13.79,13.79,13.28,13.78,2300,13.78
2015-04-14,13.51,13.76,13.25,13.75,1800,13.75
2015-04-13,13.75,13.80,13.60,13.79,3500,13.79
2015-04-10,13.21,13.80,13.00,13.73,4100,13.73
2015-04-09,13.27,13.35,13.00,13.28,16800,13.28
2015-04-08,13.26,13.62,13.07,13.07,3200,13.07
2015-04-07,13.42,13.76,13.40,13.40,2100,13.40
2015-04-06,13.00,13.85,13.00,13.41,10500,13.41
2015-04-02,12.88,13.36,12.88,13.13,4900,13.13
2015-04-01,13.04,13.99,12.41,13.00,6600,13.00
2015-03-31,12.89,13.40,12.31,13.40,19500,13.40
2015-03-30,13.10,13.30,12.58,13.02,82300,13.02
2015-03-27,13.25,13.25,13.09,13.09,1400,13.09
2015-03-26,13.03,13.18,13.00,13.03,11000,13.03
2015-03-25,13.25,13.27,13.00,13.01,6200,13.01
2015-03-24,13.09,13.50,13.09,13.25,3800,13.25
2015-03-23,12.94,13.27,12.94,13.27,3100,13.27
2015-03-20,13.05,13.27,12.66,12.73,20400,12.73
2015-03-19,13.25,13.91,13.12,13.12,5400,13.12
2015-03-18,13.77,13.77,13.12,13.27,5300,13.27
2015-03-17,13.81,14.06,13.50,13.56,10000,13.56
2015-03-16,13.76,13.89,13.50,13.65,1700,13.65
2015-03-13,13.99,13.99,13.31,13.70,28200,13.70
2015-03-12,13.44,13.68,13.20,13.46,3700,13.46
2015-03-11,13.61,14.14,13.05,13.53,27000,13.53
2015-03-10,14.29,14.29,13.62,13.72,8700,13.72
2015-03-09,15.10,15.10,14.42,14.53,11100,14.53
2015-03-06,15.57,15.75,14.61,15.05,24000,15.05
