Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,18.700001,19.09,18.58,19.07,21600,19.07
2015-09-03,18.559999,18.84,18.43,18.790001,21300,18.790001
2015-09-02,18.10,18.610001,17.82,18.379999,33200,18.379999
2015-09-01,17.60,18.280001,17.60,17.860001,65700,17.860001
2015-08-31,18.27,18.32,17.790001,18.25,40500,18.25
2015-08-28,18.360001,18.66,18.200001,18.309999,23200,18.309999
2015-08-27,17.809999,18.49,17.799999,18.33,23700,18.33
2015-08-26,17.25,17.809999,17.01,17.809999,30000,17.70
2015-08-25,17.549999,17.549999,17.01,17.09,28700,16.984447
2015-08-24,17.50,17.82,17.02,17.18,64700,17.073892
2015-08-21,18.08,18.08,17.24,17.82,76500,17.709938
2015-08-20,18.15,18.26,17.870001,18.139999,25800,18.027961
2015-08-19,17.68,18.42,17.540001,18.280001,32500,18.167098
2015-08-18,17.690001,17.84,17.33,17.780001,34900,17.670186
2015-08-17,18.40,18.40,17.59,17.73,31000,17.620494
2015-08-14,17.559999,18.50,17.42,18.32,47300,18.20685
2015-08-13,17.42,17.60,17.33,17.50,25000,17.391915
2015-08-12,17.49,17.49,16.85,17.459999,21300,17.352161
2015-08-11,17.74,17.77,17.43,17.51,14700,17.401853
2015-08-10,17.82,18.219999,17.530001,17.73,53400,17.620494
2015-08-07,17.98,18.219999,17.809999,17.90,23500,17.789444
2015-08-06,18.209999,18.49,17.879999,18.07,24300,17.958394
2015-08-05,18.299999,18.77,17.799999,18.26,74700,18.147221
2015-08-04,17.90,18.860001,17.540001,18.17,69500,18.057777
2015-08-03,18.00,18.51,17.73,17.83,53300,17.719877
2015-07-31,18.879999,19.10,18.00,18.16,97400,18.047838
2015-07-30,17.90,18.83,17.219999,18.790001,107900,18.673948
2015-07-29,17.389999,18.35,16.84,17.92,107400,17.809321
2015-07-28,17.07,17.629999,16.280001,17.299999,66300,17.193149
2015-07-27,16.540001,17.02,16.01,16.950001,79700,16.845313
2015-07-24,16.709999,17.65,16.51,16.620001,65100,16.517351
2015-07-23,18.90,18.90,17.02,17.07,175700,16.96457
2015-07-22,19.120001,19.209999,18.73,18.98,53300,18.862774
2015-07-21,18.67,19.190001,18.67,19.10,24900,18.982033
2015-07-20,19.01,19.209999,18.67,18.74,61100,18.624256
2015-07-17,19.209999,19.27,19.10,19.209999,12500,19.091353
2015-07-16,18.98,19.40,18.90,19.139999,35900,19.021785
2015-07-15,19.15,19.15,18.629999,19.030001,31600,18.912466
2015-07-14,19.09,19.139999,18.82,19.08,26500,18.962156
2015-07-13,18.959999,19.360001,18.51,19.00,59600,18.88265
2015-07-10,18.83,19.540001,18.51,19.35,23500,19.230489
2015-07-09,19.120001,19.32,18.469999,18.68,28600,18.564627
2015-07-08,19.02,19.540001,18.75,19.040001,70700,18.922404
2015-07-07,19.74,19.860001,19.049999,19.309999,68000,19.190735
2015-07-06,19.83,19.91,19.43,19.85,54800,19.727401
2015-07-02,19.49,19.83,19.200001,19.68,60900,19.558451
2015-07-01,18.610001,19.809999,18.110001,19.639999,104800,19.518697
2015-06-30,19.280001,19.629999,18.190001,18.700001,219700,18.584504
2015-06-29,19.32,19.780001,19.00,19.34,99500,19.220551
2015-06-26,19.379999,20.110001,18.82,19.90,225600,19.777091
2015-06-25,19.75,20.049999,18.90,19.450001,94100,19.329872
2015-06-24,18.379999,20.32,18.35,20.00,139000,19.876474
2015-06-23,17.93,18.18,17.799999,17.93,65700,17.819259
2015-06-22,17.82,18.00,17.610001,17.90,102400,17.789444
2015-06-19,18.02,18.190001,17.57,17.790001,48300,17.680125
2015-06-18,17.549999,18.139999,17.459999,18.129999,84300,18.018023
2015-06-17,18.26,18.26,17.549999,17.549999,53600,17.441605
2015-06-16,18.469999,18.799999,18.049999,18.200001,55500,18.087592
2015-06-15,18.549999,19.00,18.09,18.309999,74900,18.196912
2015-06-12,17.68,18.790001,17.360001,18.549999,61600,18.435429
2015-06-11,18.209999,18.34,17.34,17.629999,86100,17.521111
2015-06-10,18.969999,19.129999,18.049999,18.10,69200,17.988209
2015-06-09,18.99,19.00,18.540001,18.940001,78000,18.823022
2015-06-08,18.809999,18.99,18.24,18.860001,83200,18.743516
2015-06-05,18.66,19.07,18.450001,19.040001,31000,18.922404
2015-06-04,18.450001,19.07,18.450001,18.66,57900,18.54475
2015-06-03,18.799999,19.200001,18.34,18.610001,71400,18.49506
2015-06-02,18.02,19.309999,18.02,18.99,68500,18.872712
2015-06-01,18.969999,19.26,18.01,18.08,114500,17.968333
2015-05-29,18.60,19.50,18.43,19.17,65800,19.051601
2015-05-28,18.84,19.41,18.33,18.610001,85600,18.49506
2015-05-27,19.41,19.809999,18.280001,19.07,135300,18.842897
2015-05-26,20.219999,20.24,19.41,19.440001,71300,19.208492
2015-05-22,20.299999,20.82,20.18,20.24,56100,19.998964
2015-05-21,20.42,21.00,20.27,20.290001,51200,20.04837
2015-05-20,20.299999,20.799999,20.030001,20.719999,72700,20.473247
2015-05-19,20.540001,20.74,20.059999,20.33,116700,20.087892
2015-05-18,21.16,21.40,20.40,20.75,165700,20.502891
2015-05-15,21.889999,21.889999,21.25,21.59,77700,21.332887
2015-05-14,21.690001,21.98,21.23,21.889999,45700,21.629314
2015-05-13,22.25,22.25,21.110001,21.799999,64000,21.540385
2015-05-12,20.67,22.280001,20.67,22.16,66700,21.896099
2015-05-11,20.709999,21.15,20.51,20.940001,86700,20.690628
2015-05-08,20.90,21.389999,20.540001,20.940001,42800,20.690628
2015-05-07,21.00,21.59,20.58,20.67,77500,20.423843
2015-05-06,21.60,21.799999,21.00,21.190001,57700,20.937651
2015-05-05,22.01,22.01,21.50,21.50,63100,21.243959
2015-05-04,22.299999,22.65,21.370001,21.60,110000,21.342768
2015-05-01,22.35,22.690001,22.18,22.27,71700,22.004789
2015-04-30,22.700001,22.700001,22.049999,22.440001,64900,22.172765
2015-04-29,20.120001,22.700001,20.120001,22.60,328600,22.330859
2015-04-28,20.15,20.379999,19.629999,20.00,119500,19.761822
2015-04-27,20.299999,20.41,19.65,20.15,201600,19.910036
2015-04-24,20.24,20.25,19.48,20.10,168100,19.860632
2015-04-23,21.190001,21.370001,20.110001,20.43,70800,20.186702
2015-04-22,21.60,22.110001,20.75,21.110001,143900,20.858604
2015-04-21,21.00,21.190001,20.690001,20.950001,48300,20.70051
2015-04-20,21.950001,22.049999,20.809999,20.98,74300,20.730151
2015-04-17,21.860001,22.25,21.620001,21.950001,23000,21.688601
2015-04-16,22.40,22.48,22.120001,22.129999,30500,21.866455
2015-04-15,21.950001,22.43,21.92,22.389999,38600,22.123359
2015-04-14,22.549999,22.549999,21.860001,22.049999,26400,21.787408
2015-04-13,22.43,22.530001,22.049999,22.440001,48700,22.172765
2015-04-10,22.51,22.700001,22.299999,22.57,36600,22.301216
2015-04-09,22.610001,22.68,22.360001,22.49,26100,22.222169
2015-04-08,22.58,22.77,22.01,22.66,42200,22.390144
2015-04-07,23.00,23.00,22.57,22.700001,71300,22.429669
2015-04-06,22.15,22.969999,22.15,22.74,205100,22.469192
2015-04-02,21.879999,21.99,21.370001,21.90,72500,21.639195
2015-04-01,21.450001,21.98,21.16,21.75,81900,21.490982
2015-03-31,21.799999,21.870001,21.450001,21.60,68600,21.342768
2015-03-30,20.92,21.690001,20.83,21.65,178000,21.392172
2015-03-27,20.799999,21.059999,20.67,20.83,36400,20.581938
2015-03-26,21.309999,21.51,20.77,20.92,71700,20.670866
2015-03-25,21.92,21.92,21.280001,21.57,87600,21.313125
2015-03-24,21.76,21.870001,21.51,21.66,48300,21.402053
2015-03-23,21.549999,21.889999,21.389999,21.76,146000,21.500863
2015-03-20,21.950001,22.049999,21.10,21.549999,97200,21.293363
2015-03-19,22.60,22.60,21.459999,21.65,60400,21.392172
2015-03-18,22.00,22.66,21.50,22.469999,48600,22.202407
2015-03-17,20.799999,22.02,20.68,21.99,83100,21.728123
2015-03-16,20.950001,21.48,20.530001,20.969999,109300,20.72027
2015-03-13,22.469999,22.469999,20.450001,21.459999,69900,21.204434
2015-03-12,22.290001,22.49,21.90,22.33,53200,22.064074
2015-03-11,22.74,23.110001,21.92,22.290001,87300,22.024552
2015-03-10,21.700001,22.809999,21.24,22.559999,111100,22.291335
2015-03-09,20.42,22.17,20.389999,21.559999,126000,21.303244
2015-03-06,20.65,20.65,20.01,20.42,109800,20.176821
