Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.18,1.23,1.16,1.19,154500,1.19
2015-09-03,1.26,1.26,1.16,1.18,271500,1.18
2015-09-02,1.20,1.37,1.19,1.22,397100,1.22
2015-09-01,1.20,1.33,1.12,1.16,544400,1.16
2015-08-31,1.35,1.39,1.20,1.25,698500,1.25
2015-08-28,1.06,1.60,1.06,1.36,4713600,1.36
2015-08-27,0.79,1.12,0.78,1.08,805300,1.08
2015-08-26,0.80,0.84,0.77,0.81,307000,0.81
2015-08-25,0.85,0.93,0.80,0.80,429300,0.80
2015-08-24,0.65,0.87,0.60,0.84,725800,0.84
2015-08-21,0.92,0.97,0.92,0.95,314400,0.95
2015-08-20,1.06,1.12,0.96,0.98,644000,0.98
2015-08-19,1.23,1.30,1.11,1.12,779900,1.12
2015-08-18,1.31,1.38,1.27,1.27,346500,1.27
2015-08-17,1.36,1.37,1.32,1.34,374000,1.34
2015-08-14,1.30,1.44,1.30,1.39,395900,1.39
2015-08-13,1.39,1.41,1.30,1.31,566000,1.31
2015-08-12,1.43,1.43,1.35,1.40,514400,1.40
2015-08-11,1.51,1.63,1.36,1.41,1579700,1.41
2015-08-10,2.05,2.05,1.46,1.78,1213300,1.78
2015-08-07,2.00,2.20,1.84,1.98,668800,1.98
2015-08-06,2.08,2.15,1.91,2.09,705500,2.09
2015-08-05,2.20,2.36,1.95,2.03,2696300,2.03
2015-08-04,1.90,2.19,1.87,2.12,2455800,2.12
2015-08-03,1.77,1.90,1.74,1.86,1284000,1.86
2015-07-31,1.74,1.82,1.67,1.73,1208500,1.73
2015-07-30,1.67,1.73,1.58,1.66,990000,1.66
2015-07-29,1.65,1.73,1.60,1.65,1048000,1.65
2015-07-28,1.62,1.68,1.57,1.65,832500,1.65
2015-07-27,1.55,1.65,1.53,1.61,508400,1.61
2015-07-24,1.48,1.62,1.48,1.57,579100,1.57
2015-07-23,1.50,1.67,1.45,1.50,971900,1.50
2015-07-22,1.46,1.63,1.38,1.54,1420300,1.54
2015-07-21,1.40,1.52,1.35,1.49,596600,1.49
2015-07-20,1.60,1.75,1.34,1.42,2452100,1.42
2015-07-17,1.55,1.55,1.44,1.50,432400,1.50
2015-07-16,1.47,1.53,1.39,1.49,901400,1.49
2015-07-15,1.50,1.53,1.45,1.48,399700,1.48
2015-07-14,1.65,1.66,1.45,1.51,703500,1.51
2015-07-13,1.65,1.74,1.52,1.63,1046000,1.63
2015-07-10,1.43,1.71,1.37,1.57,4207400,1.57
2015-07-09,1.50,1.55,1.31,1.46,2550500,1.46
2015-07-08,1.58,1.58,1.29,1.42,1798900,1.42
2015-07-07,1.68,1.75,1.44,1.64,1471200,1.64
2015-07-06,2.00,2.03,1.66,1.68,1144700,1.68
2015-07-02,2.02,2.59,1.93,2.00,4006500,2.00
