Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,2.85,3.00,2.85,2.98,381100,2.98
2015-09-03,3.00,3.00,2.82,2.90,297000,2.90
2015-09-02,2.89,3.03,2.84,3.00,633800,3.00
2015-09-01,2.93,2.98,2.86,2.88,501400,2.88
2015-08-31,2.98,3.10,2.92,3.00,392900,3.00
2015-08-28,2.87,3.08,2.81,2.99,717900,2.99
2015-08-27,2.81,2.94,2.77,2.87,668400,2.87
2015-08-26,2.75,2.82,2.61,2.79,502600,2.79
2015-08-25,2.83,2.84,2.69,2.70,339900,2.70
2015-08-24,2.74,2.92,2.69,2.75,652100,2.75
2015-08-21,2.72,3.00,2.72,2.94,802700,2.94
2015-08-20,2.87,2.92,2.79,2.85,539100,2.85
2015-08-19,2.83,2.94,2.83,2.89,386400,2.89
2015-08-18,3.01,3.01,2.85,2.89,475800,2.89
2015-08-17,2.75,3.02,2.73,3.02,471200,3.02
2015-08-14,2.83,2.86,2.72,2.74,446700,2.74
2015-08-13,2.85,2.98,2.77,2.86,425800,2.86
2015-08-12,2.66,2.89,2.61,2.86,391900,2.86
2015-08-11,2.77,2.91,2.65,2.66,488500,2.66
2015-08-10,2.82,2.95,2.78,2.80,394300,2.80
2015-08-07,2.96,3.08,2.76,2.82,313400,2.82
2015-08-06,3.24,3.25,2.91,2.91,463900,2.91
2015-08-05,3.14,3.35,3.14,3.21,585800,3.21
2015-08-04,3.08,3.20,3.06,3.16,316000,3.16
2015-08-03,2.98,3.08,2.96,3.07,467400,3.07
2015-07-31,2.81,3.04,2.75,2.98,433900,2.98
2015-07-30,2.80,2.86,2.68,2.83,445200,2.83
2015-07-29,2.95,3.00,2.80,2.85,308700,2.85
2015-07-28,2.91,3.03,2.81,2.93,260600,2.93
2015-07-27,2.89,2.95,2.78,2.94,394600,2.94
2015-07-24,3.00,3.10,2.91,2.94,374900,2.94
2015-07-23,3.15,3.20,3.02,3.02,236100,3.02
2015-07-22,3.16,3.21,3.10,3.17,171200,3.17
2015-07-21,3.12,3.26,3.05,3.20,294100,3.20
2015-07-20,3.16,3.18,3.07,3.15,297900,3.15
2015-07-17,3.18,3.18,3.10,3.16,328700,3.16
2015-07-16,3.25,3.29,3.14,3.16,444000,3.16
2015-07-15,3.28,3.37,3.25,3.25,411400,3.25
2015-07-14,3.16,3.39,3.14,3.35,475500,3.35
2015-07-13,3.10,3.22,3.08,3.18,345300,3.18
2015-07-10,3.06,3.12,2.98,3.11,275600,3.11
2015-07-09,3.00,3.09,2.88,3.01,445400,3.01
2015-07-08,3.03,3.05,2.84,2.88,430800,2.88
2015-07-07,3.11,3.14,2.97,3.07,364500,3.07
2015-07-06,3.00,3.14,2.96,3.09,328400,3.09
2015-07-02,3.14,3.14,3.00,3.05,444500,3.05
2015-07-01,3.17,3.35,3.08,3.14,867900,3.14
2015-06-30,3.04,3.24,2.95,3.21,591600,3.21
