Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,13.45,13.65,13.36,13.51,284600,13.51
2015-09-03,13.53,13.78,13.46,13.59,695800,13.59
2015-09-02,13.36,13.56,13.27,13.56,767700,13.56
2015-09-01,13.22,13.60,12.96,13.24,996400,13.24
2015-08-31,13.47,13.67,13.38,13.43,799500,13.43
2015-08-28,13.14,13.49,13.00,13.45,510800,13.45
2015-08-27,13.15,13.30,13.01,13.18,654000,13.18
2015-08-26,12.91,13.12,12.72,13.11,669100,13.11
2015-08-25,12.95,13.02,12.66,12.71,741700,12.71
2015-08-24,12.27,13.08,12.25,12.49,1372000,12.49
2015-08-21,12.25,13.06,12.10,12.84,1363800,12.84
2015-08-20,12.55,12.63,12.33,12.45,1505000,12.45
2015-08-19,13.02,13.07,12.74,12.75,1877900,12.75
2015-08-18,13.63,13.63,13.02,13.06,1083300,13.06
2015-08-17,13.42,13.84,13.22,13.64,861000,13.64
2015-08-14,13.45,13.50,13.29,13.45,261600,13.45
2015-08-13,13.45,13.61,13.32,13.41,347900,13.41
2015-08-12,13.50,13.67,13.22,13.51,467200,13.51
2015-08-11,13.90,14.20,13.53,13.60,491500,13.60
2015-08-10,13.56,13.97,13.56,13.95,727800,13.95
2015-08-07,13.22,13.50,13.21,13.48,487000,13.48
2015-08-06,13.50,13.54,13.14,13.34,460700,13.34
2015-08-05,13.15,13.76,13.15,13.53,629500,13.53
2015-08-04,13.05,13.14,12.94,13.06,597600,13.06
2015-08-03,13.03,13.18,13.00,13.06,686800,13.06
2015-07-31,13.19,13.30,13.00,13.09,679000,13.09
2015-07-30,13.25,13.42,13.11,13.13,797500,13.13
2015-07-29,13.51,13.60,13.33,13.33,654200,13.33
2015-07-28,13.18,13.57,12.95,13.53,1278100,13.53
2015-07-27,13.02,13.35,12.87,13.15,620600,13.15
2015-07-24,13.30,13.30,12.97,13.11,823700,13.11
2015-07-23,13.21,13.54,13.12,13.36,1046200,13.36
2015-07-22,12.75,13.28,12.55,13.21,1425400,13.21
2015-07-21,12.55,13.04,12.30,12.89,2646500,12.89
2015-07-20,13.10,13.20,12.84,12.98,1050700,12.98
2015-07-17,12.93,13.23,12.80,13.03,1009800,13.03
2015-07-16,13.04,13.10,12.74,12.88,894900,12.88
2015-07-15,13.41,13.56,13.06,13.08,801600,13.08
2015-07-14,13.56,13.57,13.33,13.44,463700,13.44
2015-07-13,13.39,13.52,13.26,13.50,556700,13.50
2015-07-10,13.28,13.40,13.20,13.35,552200,13.35
2015-07-09,13.57,13.61,13.11,13.12,597500,13.12
2015-07-08,13.77,13.77,13.29,13.41,968900,13.41
2015-07-07,13.89,13.89,13.33,13.72,538000,13.72
2015-07-06,14.30,14.37,13.66,13.89,903400,13.89
2015-07-02,14.41,14.67,14.36,14.47,500200,14.47
2015-07-01,14.67,14.80,14.21,14.31,575900,14.31
2015-06-30,14.75,14.84,14.38,14.49,1173700,14.49
2015-06-29,15.07,15.16,14.55,14.60,674500,14.60
2015-06-26,15.29,15.43,15.04,15.21,915500,15.21
2015-06-25,15.01,15.35,15.00,15.33,666300,15.33
2015-06-24,14.85,14.98,14.75,14.85,366000,14.85
2015-06-23,15.00,15.04,14.78,14.94,405800,14.94
2015-06-22,15.00,15.09,14.93,15.01,477200,15.01
2015-06-19,15.16,15.16,14.83,14.98,1366200,14.98
2015-06-18,15.05,15.12,14.91,15.06,545400,15.06
2015-06-17,15.18,15.27,14.98,15.00,362500,15.00
2015-06-16,15.18,15.27,15.08,15.18,312600,15.18
2015-06-15,15.16,15.25,14.95,15.17,411200,15.17
2015-06-12,15.32,15.44,15.14,15.28,507200,15.28
2015-06-11,15.30,15.49,15.17,15.41,1061800,15.41
2015-06-10,15.05,15.26,14.90,15.22,591000,15.22
2015-06-09,14.88,15.03,14.74,14.91,341200,14.91
2015-06-08,15.20,15.30,14.83,14.93,394900,14.93
2015-06-05,15.22,15.35,15.05,15.20,628200,15.20
2015-06-04,15.17,15.36,15.14,15.26,447900,15.26
2015-06-03,15.25,15.37,15.14,15.30,482100,15.30
2015-06-02,15.18,15.35,15.02,15.29,303300,15.29
2015-06-01,15.33,15.48,15.12,15.23,776500,15.23
2015-05-29,14.96,15.41,14.92,15.29,1350200,15.29
2015-05-28,14.90,15.48,14.86,14.92,1001000,14.92
2015-05-27,14.44,14.99,14.35,14.91,733500,14.91
2015-05-26,14.38,14.53,14.18,14.40,538000,14.40
2015-05-22,14.43,14.55,14.38,14.40,419000,14.40
2015-05-21,14.16,14.58,14.12,14.49,506100,14.49
2015-05-20,14.30,14.43,14.19,14.20,364400,14.20
2015-05-19,14.49,14.52,14.21,14.32,335400,14.32
2015-05-18,14.19,14.55,14.19,14.49,678200,14.49
2015-05-15,14.25,14.28,14.09,14.17,322500,14.17
2015-05-14,14.08,14.37,14.00,14.28,624300,14.28
2015-05-13,14.08,14.26,13.96,14.01,492600,14.01
2015-05-12,14.08,14.28,13.94,14.07,495300,14.07
2015-05-11,13.98,14.23,13.93,14.10,583400,14.10
2015-05-08,13.97,14.13,13.87,13.92,507500,13.92
2015-05-07,13.75,14.00,13.67,13.91,714700,13.91
2015-05-06,13.77,13.85,13.51,13.75,513300,13.75
2015-05-05,13.92,13.97,13.67,13.75,549000,13.75
2015-05-04,14.09,14.15,13.91,13.96,682000,13.96
2015-05-01,13.90,14.22,13.85,14.16,743200,14.16
2015-04-30,14.04,14.20,13.82,13.84,916200,13.84
2015-04-29,14.20,14.20,13.96,14.12,619100,14.12
2015-04-28,14.09,14.25,13.83,14.22,876800,14.22
2015-04-27,13.97,14.27,13.80,14.10,1027000,14.10
2015-04-24,14.25,14.30,13.82,13.99,1439400,13.99
2015-04-23,14.34,14.42,14.10,14.30,804200,14.30
2015-04-22,14.20,14.50,13.88,14.40,1487700,14.40
2015-04-21,13.14,14.51,13.09,14.18,4076800,14.18
2015-04-20,13.00,13.08,12.65,12.77,978300,12.77
2015-04-17,12.92,13.09,12.76,12.91,688300,12.91
2015-04-16,13.12,13.12,12.72,13.00,508800,13.00
2015-04-15,12.97,13.25,12.63,13.14,929000,13.14
2015-04-14,13.66,13.67,13.19,13.20,474200,13.20
2015-04-13,13.75,13.76,13.55,13.68,481500,13.68
2015-04-10,13.34,13.80,13.34,13.73,860000,13.73
2015-04-09,13.40,13.46,12.74,13.36,1235100,13.36
2015-04-08,12.90,13.64,12.90,13.55,1380900,13.55
2015-04-07,12.54,13.08,12.51,12.90,904200,12.90
2015-04-06,12.47,12.63,12.44,12.57,305800,12.57
2015-04-02,12.68,12.70,12.53,12.61,296500,12.61
2015-04-01,12.57,12.70,12.46,12.63,460900,12.63
2015-03-31,12.49,12.60,12.45,12.58,543300,12.58
2015-03-30,12.71,12.80,12.49,12.61,381600,12.61
2015-03-27,12.53,12.74,12.43,12.71,478200,12.71
2015-03-26,12.39,12.59,12.30,12.56,864600,12.56
2015-03-25,12.79,12.88,12.36,12.48,1197900,12.48
2015-03-24,12.66,12.84,12.56,12.75,306900,12.75
2015-03-23,12.72,12.75,12.52,12.63,309600,12.63
2015-03-20,12.64,12.79,12.55,12.74,738000,12.74
2015-03-19,12.57,12.62,12.43,12.56,219800,12.56
2015-03-18,12.56,12.71,12.44,12.57,362300,12.57
2015-03-17,12.38,12.61,12.33,12.54,366800,12.54
2015-03-16,12.46,12.46,12.30,12.42,522600,12.42
2015-03-13,12.41,12.49,12.23,12.43,317100,12.43
2015-03-12,12.39,12.48,12.26,12.41,438800,12.41
2015-03-11,12.32,12.47,12.27,12.39,376200,12.39
2015-03-10,12.29,12.38,12.19,12.30,347100,12.30
2015-03-09,12.28,12.45,12.19,12.39,445100,12.39
2015-03-06,12.20,12.31,12.12,12.25,370300,12.25
2015-03-05,12.21,12.29,12.09,12.25,249400,12.25
2015-03-04,12.12,12.45,12.06,12.20,674700,12.20
2015-03-03,12.30,12.50,12.01,12.14,1001800,12.14
2015-03-02,12.05,12.39,12.05,12.33,625400,12.33
2015-02-27,12.27,12.33,11.99,12.00,1055800,12.00
2015-02-26,12.06,12.32,12.02,12.25,445200,12.25
2015-02-25,12.14,12.14,11.96,12.07,602500,12.07
