Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.06,1.09,1.05,1.06,46100,1.06
2015-09-03,1.12,1.12,1.05,1.07,149800,1.07
2015-09-02,1.05,1.12,1.05,1.07,222200,1.07
2015-09-01,1.04,1.08,1.04,1.06,71000,1.06
2015-08-31,1.06,1.08,1.03,1.05,46800,1.05
2015-08-28,1.03,1.10,1.03,1.05,150300,1.05
2015-08-27,1.01,1.08,1.00,1.03,190100,1.03
2015-08-26,1.06,1.06,1.00,1.02,96800,1.02
2015-08-25,1.02,1.06,1.02,1.04,103300,1.04
2015-08-24,1.00,1.02,0.99,1.01,180600,1.01
2015-08-21,1.08,1.11,1.04,1.05,195200,1.05
2015-08-20,1.09,1.10,1.09,1.09,47700,1.09
2015-08-19,1.11,1.12,1.08,1.11,65500,1.11
2015-08-18,1.10,1.15,1.10,1.10,38800,1.10
2015-08-17,1.10,1.15,1.10,1.10,70600,1.10
2015-08-14,1.13,1.13,1.10,1.12,78400,1.12
2015-08-13,1.11,1.12,1.11,1.11,51400,1.11
2015-08-12,1.13,1.16,1.12,1.12,82900,1.12
2015-08-11,1.14,1.16,1.12,1.12,51600,1.12
2015-08-10,1.15,1.18,1.13,1.16,105700,1.16
2015-08-07,1.11,1.17,1.06,1.15,310900,1.15
2015-08-06,1.28,1.28,1.11,1.12,459100,1.12
2015-08-05,1.10,1.27,1.10,1.23,368800,1.23
2015-08-04,1.12,1.15,1.10,1.11,66900,1.11
2015-08-03,1.13,1.18,1.12,1.12,67200,1.12
2015-07-31,1.05,1.16,1.05,1.16,189100,1.16
2015-07-30,1.07,1.09,1.01,1.03,257300,1.03
2015-07-29,1.10,1.10,1.06,1.06,118300,1.06
2015-07-28,1.10,1.11,1.07,1.09,112700,1.09
2015-07-27,1.14,1.14,1.05,1.08,173200,1.08
2015-07-24,1.17,1.17,1.11,1.12,99500,1.12
2015-07-23,1.15,1.19,1.12,1.13,184400,1.13
2015-07-22,1.14,1.17,1.13,1.14,72300,1.14
2015-07-21,1.17,1.19,1.14,1.14,74800,1.14
2015-07-20,1.19,1.19,1.17,1.18,51300,1.18
2015-07-17,1.21,1.21,1.15,1.20,41400,1.20
2015-07-16,1.15,1.21,1.15,1.20,60400,1.20
2015-07-15,1.19,1.20,1.16,1.17,53300,1.17
2015-07-14,1.20,1.21,1.17,1.18,83300,1.18
2015-07-13,1.16,1.22,1.15,1.19,156600,1.19
2015-07-10,1.21,1.24,1.16,1.17,125800,1.17
2015-07-09,1.10,1.24,1.10,1.21,306000,1.21
2015-07-08,1.10,1.11,1.08,1.09,94200,1.09
2015-07-07,1.14,1.15,1.09,1.12,178600,1.12
2015-07-06,1.14,1.16,1.12,1.15,66400,1.15
2015-07-02,1.14,1.16,1.13,1.16,62300,1.16
2015-07-01,1.20,1.21,1.12,1.14,165600,1.14
2015-06-30,1.15,1.21,1.11,1.16,223900,1.16
2015-06-29,1.18,1.21,1.09,1.13,498500,1.13
2015-06-26,1.23,1.30,1.16,1.19,3081100,1.19
2015-06-25,1.28,1.33,1.19,1.22,247700,1.22
2015-06-24,1.24,1.31,1.24,1.28,175000,1.28
2015-06-23,1.22,1.27,1.22,1.25,189600,1.25
2015-06-22,1.17,1.22,1.16,1.22,143300,1.22
2015-06-19,1.23,1.23,1.18,1.18,342900,1.18
2015-06-18,1.18,1.22,1.16,1.21,144900,1.21
2015-06-17,1.22,1.23,1.13,1.19,249800,1.19
2015-06-16,1.22,1.24,1.20,1.21,221200,1.21
2015-06-15,1.25,1.25,1.20,1.23,169300,1.23
2015-06-12,1.25,1.27,1.23,1.25,115000,1.25
2015-06-11,1.28,1.29,1.24,1.25,88400,1.25
2015-06-10,1.28,1.29,1.24,1.28,127900,1.28
2015-06-09,1.24,1.29,1.22,1.26,98600,1.26
2015-06-08,1.27,1.33,1.23,1.24,228300,1.24
2015-06-05,1.27,1.28,1.22,1.26,118200,1.26
2015-06-04,1.25,1.27,1.22,1.26,121900,1.26
2015-06-03,1.21,1.27,1.21,1.26,113000,1.26
2015-06-02,1.21,1.28,1.20,1.20,261900,1.20
2015-06-01,1.26,1.26,1.20,1.22,151300,1.22
2015-05-29,1.27,1.30,1.19,1.25,641600,1.25
2015-05-28,1.30,1.34,1.26,1.28,174000,1.28
2015-05-27,1.35,1.36,1.28,1.33,260300,1.33
2015-05-26,1.37,1.41,1.33,1.34,770600,1.34
2015-05-22,1.36,1.50,1.34,1.38,507200,1.38
2015-05-21,1.34,1.40,1.34,1.38,171000,1.38
2015-05-20,1.35,1.39,1.33,1.35,168800,1.35
2015-05-19,1.35,1.35,1.32,1.35,283100,1.35
2015-05-18,1.32,1.36,1.30,1.33,243900,1.33
2015-05-15,1.30,1.34,1.26,1.31,493400,1.31
2015-05-14,1.20,1.31,1.18,1.28,781800,1.28
2015-05-13,1.15,1.26,1.15,1.20,372400,1.20
2015-05-12,1.18,1.21,1.14,1.16,698000,1.16
2015-05-11,1.26,1.26,1.09,1.20,1223300,1.20
2015-05-08,1.11,1.14,1.10,1.14,203000,1.14
2015-05-07,1.12,1.13,1.10,1.11,325400,1.11
2015-05-06,1.13,1.15,1.11,1.13,112500,1.13
2015-05-05,1.13,1.16,1.11,1.13,220600,1.13
2015-05-04,1.20,1.25,1.13,1.13,480800,1.13
2015-05-01,1.15,1.21,1.15,1.19,362600,1.19
2015-04-30,1.14,1.21,1.14,1.17,298400,1.17
2015-04-29,1.15,1.21,1.14,1.16,436600,1.16
2015-04-28,1.17,1.18,1.13,1.15,248300,1.15
2015-04-27,1.15,1.17,1.13,1.16,243000,1.16
2015-04-24,1.14,1.19,1.12,1.15,332600,1.15
2015-04-23,1.12,1.18,1.10,1.15,490700,1.15
2015-04-22,1.12,1.14,1.10,1.13,86800,1.13
2015-04-21,1.13,1.17,1.11,1.12,212300,1.12
2015-04-20,1.15,1.15,1.11,1.14,185600,1.14
2015-04-17,1.10,1.13,1.09,1.11,84200,1.11
2015-04-16,1.13,1.14,1.10,1.10,73100,1.10
2015-04-15,1.12,1.14,1.07,1.12,280300,1.12
2015-04-14,1.14,1.15,1.12,1.12,131600,1.12
2015-04-13,1.13,1.17,1.12,1.13,143300,1.13
2015-04-10,1.15,1.16,1.12,1.16,114900,1.16
2015-04-09,1.18,1.18,1.12,1.14,136700,1.14
2015-04-08,1.20,1.20,1.09,1.16,718600,1.16
2015-04-07,1.15,1.22,1.13,1.19,454900,1.19
2015-04-06,1.16,1.16,1.09,1.15,572400,1.15
2015-04-02,1.17,1.20,1.13,1.16,197300,1.16
2015-04-01,1.10,1.18,1.06,1.17,638300,1.17
2015-03-31,1.12,1.12,1.10,1.11,62600,1.11
2015-03-30,1.10,1.12,1.09,1.11,200400,1.11
2015-03-27,1.10,1.11,1.09,1.10,55000,1.10
2015-03-26,1.12,1.13,1.09,1.10,190000,1.10
2015-03-25,1.12,1.12,1.08,1.11,242100,1.11
2015-03-24,1.13,1.13,1.08,1.13,181000,1.13
2015-03-23,1.10,1.13,1.07,1.13,718100,1.13
2015-03-20,1.10,1.10,1.03,1.10,1008800,1.10
2015-03-19,1.07,1.11,1.02,1.10,266000,1.10
2015-03-18,1.07,1.09,1.00,1.09,344500,1.09
2015-03-17,1.01,1.07,0.97,1.06,426400,1.06
2015-03-16,1.14,1.15,0.92,1.02,1243200,1.02
2015-03-13,1.15,1.16,1.08,1.09,506100,1.09
2015-03-12,1.13,1.18,1.13,1.16,276400,1.16
2015-03-11,1.11,1.20,1.11,1.13,236200,1.13
2015-03-10,1.14,1.17,1.10,1.11,301600,1.11
2015-03-09,1.23,1.23,1.13,1.14,316400,1.14
2015-03-06,1.27,1.35,1.21,1.23,360700,1.23
2015-03-05,1.14,1.39,1.10,1.29,1822400,1.29
2015-03-04,1.10,1.17,1.10,1.13,256000,1.13
2015-03-03,1.13,1.13,1.08,1.11,81000,1.11
2015-03-02,1.10,1.13,1.08,1.13,130900,1.13
2015-02-27,1.09,1.13,1.09,1.10,182600,1.10
2015-02-26,1.11,1.11,1.10,1.10,121400,1.10
2015-02-25,1.09,1.12,1.09,1.10,112300,1.10
2015-02-24,1.12,1.13,1.09,1.09,164900,1.09
2015-02-23,1.12,1.15,1.12,1.12,98300,1.12
2015-02-20,1.15,1.15,1.12,1.13,168800,1.13
2015-02-19,1.14,1.17,1.13,1.13,147400,1.13
2015-02-18,1.15,1.16,1.14,1.16,64400,1.16
2015-02-17,1.16,1.16,1.14,1.16,281500,1.16
2015-02-13,1.15,1.18,1.14,1.15,196800,1.15
2015-02-12,1.16,1.18,1.15,1.16,135100,1.16
2015-02-11,1.13,1.24,1.13,1.16,284700,1.16
2015-02-10,1.19,1.19,1.14,1.15,274100,1.15
2015-02-09,1.12,1.16,1.11,1.16,159800,1.16
2015-02-06,1.17,1.18,1.11,1.11,211200,1.11
2015-02-05,1.10,1.17,1.05,1.17,217600,1.17
2015-02-04,1.10,1.14,1.07,1.09,153900,1.09
2015-02-03,1.14,1.16,1.07,1.11,331200,1.11
2015-02-02,1.15,1.15,1.12,1.14,87800,1.14
2015-01-30,1.16,1.16,1.12,1.14,145300,1.14
2015-01-29,1.13,1.16,1.13,1.15,133300,1.15
2015-01-28,1.16,1.17,1.14,1.14,174000,1.14
2015-01-27,1.15,1.17,1.13,1.16,182400,1.16
2015-01-26,1.13,1.18,1.13,1.17,146200,1.17
2015-01-23,1.15,1.16,1.13,1.14,142800,1.14
2015-01-22,1.16,1.18,1.11,1.15,267700,1.15
2015-01-21,1.17,1.21,1.11,1.14,433100,1.14
2015-01-20,1.24,1.26,1.15,1.16,285900,1.16
2015-01-16,1.22,1.31,1.22,1.24,605500,1.24
2015-01-15,1.29,1.29,1.21,1.22,252400,1.22
2015-01-14,1.31,1.32,1.27,1.28,184300,1.28
2015-01-13,1.31,1.34,1.28,1.32,195500,1.32
2015-01-12,1.29,1.33,1.23,1.32,173900,1.32
2015-01-09,1.26,1.33,1.24,1.29,163000,1.29
2015-01-08,1.27,1.29,1.22,1.28,161200,1.28
2015-01-07,1.28,1.30,1.20,1.27,415000,1.27
2015-01-06,1.33,1.34,1.26,1.27,245800,1.27
2015-01-05,1.39,1.39,1.32,1.33,265700,1.33
2015-01-02,1.37,1.49,1.35,1.39,468700,1.39
