Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.45,4.46,4.35,4.42,6500,4.42
2015-09-03,4.40,4.47,4.35,4.45,11400,4.45
2015-09-02,4.37,4.45,4.35,4.42,10000,4.42
2015-09-01,4.42,4.42,4.30,4.42,9100,4.42
2015-08-31,4.26,4.50,4.25,4.42,14900,4.42
2015-08-28,4.29,4.50,4.29,4.32,4500,4.32
2015-08-27,4.32,4.45,4.32,4.39,4400,4.39
2015-08-26,4.43,4.45,4.25,4.45,2800,4.45
2015-08-25,4.41,4.46,4.26,4.46,20700,4.46
2015-08-24,4.36,4.44,4.35,4.44,10700,4.44
2015-08-21,4.36,4.45,4.35,4.43,7000,4.43
2015-08-20,4.43,4.47,4.35,4.43,5600,4.43
2015-08-19,4.50,4.50,4.35,4.45,5900,4.45
2015-08-18,4.40,4.50,4.37,4.49,25700,4.49
2015-08-17,4.34,4.41,4.34,4.37,5300,4.37
2015-08-14,4.37,4.41,4.37,4.40,27700,4.40
2015-08-13,4.32,4.41,4.29,4.41,86800,4.41
2015-08-12,4.20,4.43,4.20,4.38,3400,4.38
2015-08-11,4.25,4.27,4.25,4.27,27900,4.27
2015-08-10,4.26,4.42,4.25,4.30,14500,4.30
2015-08-07,4.25,4.34,4.25,4.26,2200,4.26
2015-08-06,4.20,4.26,4.15,4.25,5700,4.25
2015-08-05,4.23,4.30,4.23,4.25,2500,4.25
2015-08-04,4.21,4.25,4.21,4.22,1300,4.22
2015-08-03,4.30,4.35,4.26,4.27,7800,4.27
2015-07-31,4.38,4.40,4.32,4.33,20000,4.33
2015-07-30,4.26,4.37,4.26,4.31,10400,4.31
2015-07-29,4.22,4.44,4.22,4.37,1200,4.37
2015-07-28,4.28,4.38,4.23,4.23,1800,4.23
2015-07-27,4.19,4.24,4.15,4.20,10700,4.20
2015-07-24,4.20,4.30,4.20,4.23,3600,4.23
2015-07-23,4.25,4.36,4.19,4.23,2400,4.23
2015-07-22,4.30,4.30,4.22,4.24,2000,4.24
2015-07-21,4.25,4.44,4.22,4.22,3800,4.22
2015-07-20,4.18,4.30,4.08,4.22,7400,4.22
2015-07-17,4.27,4.27,4.20,4.20,800,4.20
2015-07-16,4.32,4.32,4.27,4.30,1600,4.30
2015-07-15,4.30,4.33,4.30,4.31,1200,4.31
2015-07-14,4.23,4.28,4.19,4.28,10100,4.28
2015-07-13,4.36,4.44,4.24,4.27,10800,4.27
2015-07-10,4.38,4.45,4.30,4.45,5600,4.45
2015-07-09,4.37,4.38,4.28,4.30,2100,4.30
2015-07-08,4.30,4.45,4.11,4.15,22800,4.15
2015-07-07,4.30,4.30,4.29,4.30,1200,4.30
2015-07-06,4.35,4.35,4.19,4.30,58100,4.30
2015-07-02,4.28,4.32,4.28,4.30,3500,4.287
2015-07-01,4.30,4.38,4.21,4.21,54000,4.197272
2015-06-30,4.16,4.34,4.16,4.28,72200,4.267061
2015-06-29,4.25,4.30,4.25,4.25,15900,4.237151
2015-06-26,4.27,4.35,4.15,4.34,43700,4.326879
2015-06-25,4.28,4.36,4.18,4.26,64500,4.247121
2015-06-24,4.35,4.35,4.18,4.25,13000,4.237151
2015-06-23,4.29,4.30,4.24,4.27,5300,4.257091
2015-06-22,4.41,4.41,4.18,4.21,44700,4.197272
2015-06-19,4.15,4.47,4.15,4.47,66500,4.456486
2015-06-18,4.25,4.32,4.25,4.28,40300,4.267061
2015-06-17,4.23,4.39,4.18,4.37,46600,4.356788
2015-06-16,4.30,4.34,4.11,4.16,10700,4.147423
2015-06-15,4.30,4.30,4.10,4.27,8100,4.257091
2015-06-12,4.21,4.40,4.20,4.26,56000,4.247121
2015-06-11,4.21,4.40,4.18,4.20,8500,4.187302
2015-06-10,4.38,4.39,4.13,4.24,6800,4.227181
2015-06-09,4.16,4.39,4.16,4.20,2200,4.187302
2015-06-08,4.19,4.30,4.14,4.14,900,4.127484
2015-06-05,4.10,4.23,4.10,4.23,2400,4.217212
2015-06-04,4.10,4.25,4.09,4.11,30100,4.097575
2015-06-03,4.27,4.27,4.14,4.14,400,4.127484
2015-06-02,4.21,4.23,4.15,4.23,13400,4.217212
2015-06-01,4.12,4.24,4.12,4.20,47600,4.187302
2015-05-29,4.14,4.30,4.04,4.14,11600,4.127484
2015-05-28,4.02,4.19,4.00,4.11,22600,4.097575
2015-05-27,4.17,4.24,4.06,4.08,41700,4.067665
2015-05-26,4.17,4.42,4.15,4.15,28400,4.137454
2015-05-22,4.11,4.24,4.10,4.21,18200,4.197272
2015-05-21,4.12,4.26,4.12,4.20,4900,4.187302
2015-05-20,4.16,4.24,4.12,4.16,7500,4.147423
2015-05-19,4.12,4.21,4.11,4.13,8700,4.117514
2015-05-18,4.19,4.31,4.10,4.15,15300,4.137454
2015-05-15,4.40,4.40,4.24,4.26,27000,4.247121
2015-05-14,4.41,4.45,4.38,4.39,5900,4.376728
2015-05-13,4.40,4.49,4.38,4.42,9000,4.406637
2015-05-12,4.40,4.50,4.38,4.50,8900,4.486395
2015-05-11,4.40,4.49,4.38,4.47,5100,4.456486
2015-05-08,4.48,4.50,4.40,4.47,1400,4.456486
2015-05-07,4.42,4.50,4.38,4.50,14300,4.486395
2015-05-06,4.38,4.50,4.35,4.50,8300,4.486395
2015-05-05,4.40,4.48,4.33,4.41,3300,4.396667
2015-05-04,4.35,4.48,4.33,4.48,1500,4.466456
2015-05-01,4.34,4.41,4.30,4.37,40800,4.356788
2015-04-30,4.34,4.52,4.34,4.44,5500,4.426577
2015-04-29,4.20,4.40,4.20,4.32,12300,4.30694
2015-04-28,4.32,4.34,4.27,4.29,7400,4.27703
2015-04-27,4.26,4.43,4.26,4.31,5900,4.29697
2015-04-24,4.29,4.40,4.25,4.40,35000,4.386698
2015-04-23,4.44,4.44,4.05,4.30,40200,4.287
2015-04-22,4.47,4.48,4.40,4.40,2800,4.386698
2015-04-21,4.44,4.46,4.35,4.46,23400,4.446516
2015-04-20,4.46,4.46,4.35,4.44,7200,4.426577
2015-04-17,4.37,4.48,4.34,4.48,3900,4.466456
2015-04-16,4.42,4.43,4.36,4.43,3900,4.416607
2015-04-15,4.40,4.42,4.35,4.42,4300,4.406637
2015-04-14,4.39,4.43,4.39,4.42,6400,4.406637
2015-04-13,4.40,4.47,4.34,4.41,7800,4.396667
2015-04-10,4.36,4.49,4.36,4.49,5200,4.476425
2015-04-09,4.45,4.47,4.45,4.47,3300,4.456486
2015-04-08,4.50,4.50,4.42,4.49,20000,4.465459
2015-04-07,4.47,4.54,4.46,4.52,18400,4.495295
2015-04-06,4.48,4.51,4.44,4.51,22400,4.48535
2015-04-02,4.37,4.55,4.37,4.48,32200,4.455513
2015-04-01,4.42,4.50,4.40,4.41,8000,4.374956
2015-03-31,4.50,4.55,4.46,4.50,9500,4.453328
2015-03-30,4.55,4.55,4.48,4.49,10700,4.443432
2015-03-27,4.64,4.64,4.50,4.55,7400,4.50281
2015-03-26,4.47,4.58,4.42,4.43,23000,4.384054
2015-03-25,4.46,4.53,4.46,4.46,17300,4.413743
2015-03-24,4.50,4.53,4.45,4.49,13100,4.443432
2015-03-23,4.50,4.57,4.50,4.50,12300,4.453328
2015-03-20,4.61,4.68,4.52,4.52,3400,4.473121
2015-03-19,4.60,4.69,4.52,4.69,3800,4.641358
2015-03-18,4.69,4.70,4.65,4.65,5700,4.601773
2015-03-17,4.67,4.68,4.64,4.67,9300,4.621565
2015-03-16,4.69,4.70,4.60,4.66,20100,4.611669
2015-03-13,4.70,4.70,4.64,4.67,7700,4.621565
2015-03-12,4.59,4.74,4.54,4.64,10000,4.591876
2015-03-11,4.70,4.70,4.48,4.57,19900,4.522603
2015-03-10,4.56,4.70,4.55,4.70,2000,4.651254
2015-03-09,4.70,4.70,4.66,4.68,5900,4.631461
2015-03-06,4.66,4.69,4.53,4.65,10500,4.601773
2015-03-05,4.54,4.75,4.54,4.74,8100,4.690839
2015-03-04,4.53,4.55,4.50,4.54,11800,4.492914
2015-03-03,4.50,4.50,4.48,4.48,800,4.433536
2015-03-02,4.52,4.76,4.38,4.51,22100,4.463225
2015-02-27,4.37,4.50,4.37,4.50,1900,4.453328
2015-02-26,4.36,4.49,4.36,4.49,12700,4.443432
2015-02-25,4.47,4.47,4.35,4.38,26100,4.334573
