Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,6.33,6.33,6.27,6.31,12600,6.31
2015-09-03,6.33,6.39,6.33,6.35,13700,6.35
2015-09-02,6.35,6.36,6.25,6.32,12900,6.32
2015-09-01,6.31,6.38,6.21,6.31,15800,6.31
2015-08-31,6.22,6.48,6.15,6.40,33400,6.40
2015-08-28,6.05,6.21,6.05,6.17,14200,6.17
2015-08-27,6.20,6.28,6.00,6.00,34300,6.00
2015-08-26,5.99,6.19,5.80,6.18,38500,6.18
2015-08-25,5.97,5.99,5.65,5.76,52200,5.76
2015-08-24,5.81,5.85,5.38,5.53,91700,5.53
2015-08-21,6.25,6.34,5.99,6.04,37700,6.04
2015-08-20,6.31,6.36,6.31,6.35,18700,6.35
2015-08-19,6.31,6.41,6.30,6.35,40500,6.35
2015-08-18,6.53,6.85,6.29,6.32,37400,6.32
2015-08-17,6.15,6.40,6.11,6.36,45300,6.36
2015-08-14,5.91,6.15,5.83,6.07,28600,6.07
2015-08-13,5.96,6.07,5.75,5.75,51000,5.75
2015-08-12,6.03,6.42,5.87,5.98,24500,5.98
2015-08-11,6.25,6.25,6.00,6.00,17800,6.00
2015-08-10,6.06,6.59,6.01,6.28,81100,6.28
2015-08-07,6.26,6.33,6.01,6.01,22200,6.01
2015-08-06,6.44,6.54,6.21,6.26,27800,6.26
2015-08-05,6.40,6.40,6.33,6.35,45100,6.35
2015-08-04,6.38,6.40,6.38,6.38,14300,6.38
2015-08-03,6.40,6.42,6.35,6.41,22600,6.41
2015-07-31,6.43,6.46,6.38,6.43,22700,6.43
2015-07-30,6.40,6.49,6.37,6.49,18400,6.49
2015-07-29,6.45,6.45,6.40,6.40,36000,6.40
2015-07-28,6.41,6.48,6.37,6.41,27800,6.41
2015-07-27,6.43,6.44,6.37,6.40,133700,6.40
2015-07-24,6.55,6.55,6.33,6.37,42100,6.37
2015-07-23,6.42,6.64,6.30,6.48,61100,6.48
2015-07-22,6.35,6.43,6.28,6.37,29500,6.37
2015-07-21,6.40,6.40,6.30,6.31,17400,6.31
2015-07-20,6.43,6.44,6.30,6.38,98200,6.38
2015-07-17,6.49,6.50,6.22,6.37,62200,6.37
2015-07-16,6.31,6.42,6.31,6.41,35900,6.41
2015-07-15,6.27,6.33,6.13,6.15,18500,6.15
2015-07-14,6.30,6.44,6.28,6.31,22000,6.31
2015-07-13,6.24,6.42,6.11,6.24,42800,6.24
2015-07-10,5.98,6.20,5.90,6.09,24400,6.09
2015-07-09,5.84,6.00,5.79,5.94,46200,5.94
2015-07-08,5.92,6.00,5.68,5.74,57200,5.74
2015-07-07,6.39,6.39,5.96,5.96,62300,5.96
2015-07-06,6.16,6.44,6.10,6.36,64000,6.36
2015-07-02,6.42,6.48,6.10,6.15,43000,6.15
2015-07-01,6.35,6.43,6.25,6.39,44800,6.39
2015-06-30,6.50,6.53,6.28,6.33,32400,6.33
2015-06-29,6.35,6.63,6.33,6.45,51000,6.45
2015-06-26,6.42,6.59,6.30,6.34,907100,6.34
2015-06-25,6.68,6.69,6.37,6.40,75100,6.40
2015-06-24,6.70,6.70,6.52,6.57,39600,6.57
2015-06-23,6.65,6.70,6.63,6.69,58900,6.69
2015-06-22,6.65,6.75,6.53,6.65,110000,6.65
2015-06-19,6.70,6.70,6.45,6.49,83400,6.49
2015-06-18,6.53,6.71,6.41,6.64,113100,6.64
2015-06-17,6.19,6.68,6.09,6.37,109200,6.37
2015-06-16,6.27,6.37,5.90,6.02,154200,6.02
2015-06-15,5.40,5.72,5.40,5.55,85900,5.55
2015-06-12,5.30,5.45,5.19,5.42,39800,5.42
2015-06-11,5.37,5.37,5.27,5.35,42800,5.285
2015-06-10,5.24,5.34,5.17,5.31,39200,5.245486
2015-06-09,5.13,5.20,5.01,5.15,51400,5.08743
2015-06-08,5.29,5.32,5.13,5.16,65100,5.097308
2015-06-05,4.81,5.27,4.76,5.25,65700,5.186215
2015-06-04,4.71,4.86,4.71,4.81,41100,4.751561
2015-06-03,4.74,4.80,4.68,4.71,35500,4.652776
2015-06-02,4.78,4.81,4.67,4.71,31200,4.652776
2015-06-01,4.75,4.94,4.63,4.78,34400,4.721926
2015-05-29,4.70,4.73,4.51,4.70,92200,4.642897
2015-05-28,4.67,4.76,4.66,4.70,46200,4.642897
2015-05-27,4.75,4.75,4.65,4.72,26300,4.662654
2015-05-26,4.79,4.79,4.60,4.73,49300,4.672533
2015-05-22,4.70,4.82,4.68,4.76,37400,4.702169
2015-05-21,4.86,4.90,4.67,4.69,23000,4.633019
2015-05-20,4.97,4.97,4.75,4.83,24700,4.771318
2015-05-19,4.96,5.00,4.83,4.90,31300,4.840467
2015-05-18,4.85,5.00,4.75,4.96,61100,4.899738
2015-05-15,4.71,4.92,4.63,4.75,22000,4.69229
2015-05-14,4.67,4.83,4.60,4.69,31400,4.633019
2015-05-13,4.79,4.87,4.57,4.63,20200,4.573748
2015-05-12,4.83,4.91,4.70,4.72,29700,4.662654
2015-05-11,4.94,4.96,4.80,4.85,30700,4.791075
2015-05-08,4.82,5.01,4.77,4.94,53800,4.879981
2015-05-07,4.55,4.81,4.51,4.72,55600,4.662654
2015-05-06,4.67,4.68,4.38,4.53,66100,4.474963
2015-05-05,4.85,4.90,4.58,4.63,87000,4.573748
2015-05-04,5.03,5.09,4.83,4.85,70300,4.791075
2015-05-01,4.97,5.08,4.95,5.01,62600,4.949131
2015-04-30,5.26,5.30,4.78,4.88,124300,4.82071
2015-04-29,5.34,5.35,5.25,5.28,13600,5.215851
2015-04-28,5.19,5.39,5.19,5.37,49000,5.304757
2015-04-27,5.25,5.33,4.97,5.17,111800,5.107187
2015-04-24,5.37,5.37,5.20,5.20,23500,5.136822
2015-04-23,5.36,5.42,5.30,5.33,33000,5.265243
2015-04-22,5.43,5.49,5.30,5.43,26100,5.364028
2015-04-21,5.55,5.55,5.17,5.40,34500,5.334393
2015-04-20,5.38,5.59,5.33,5.47,38400,5.403542
2015-04-17,5.65,5.67,5.39,5.39,39100,5.324514
2015-04-16,5.62,5.73,5.60,5.68,24800,5.610991
2015-04-15,5.87,5.87,5.65,5.70,40900,5.630748
2015-04-14,5.85,5.87,5.80,5.83,17200,5.759168
2015-04-13,6.00,6.05,5.81,5.84,28000,5.769047
2015-04-10,6.11,6.11,6.00,6.01,12300,5.936982
2015-04-09,6.12,6.18,6.00,6.06,28000,5.986374
2015-04-08,6.14,6.21,6.08,6.15,11900,6.075281
2015-04-07,6.23,6.25,6.15,6.16,7100,6.085159
2015-04-06,6.25,6.28,6.22,6.28,24600,6.203701
2015-04-02,6.34,6.34,6.18,6.23,17900,6.154309
2015-04-01,6.16,6.42,6.08,6.37,13800,6.292607
2015-03-31,6.21,6.21,6.06,6.16,13100,6.085159
2015-03-30,6.15,6.25,6.09,6.20,14400,6.124673
2015-03-27,6.07,6.15,5.98,6.08,17700,6.006131
2015-03-26,6.00,6.11,5.95,6.03,13500,5.956739
2015-03-25,5.97,6.50,5.95,5.96,18700,5.887589
2015-03-24,5.88,6.02,5.83,5.98,13800,5.907346
2015-03-23,5.63,5.95,5.52,5.91,35400,5.838196
2015-03-20,5.95,6.00,5.61,5.63,52100,5.561598
2015-03-19,6.06,6.07,5.85,5.90,36100,5.828318
2015-03-18,5.64,6.11,5.61,6.02,55000,5.94686
2015-03-17,5.70,5.75,5.50,5.69,41900,5.620869
2015-03-16,6.22,6.30,5.69,5.80,44900,5.729533
2015-03-13,6.35,6.35,6.18,6.22,45400,6.14443
2015-03-12,6.49,6.63,6.36,6.41,29900,6.267911
2015-03-11,7.10,7.10,6.24,6.41,125000,6.267911
2015-03-10,7.31,7.45,7.09,7.15,14100,6.991508
2015-03-09,7.35,7.50,7.35,7.37,16200,7.206631
2015-03-06,7.21,7.46,7.21,7.36,17700,7.196853
2015-03-05,7.24,7.32,7.15,7.24,8200,7.079513
2015-03-04,7.31,7.38,7.25,7.26,7100,7.09907
2015-03-03,7.38,7.44,7.32,7.32,23000,7.15774
2015-03-02,7.40,7.48,7.38,7.44,10300,7.27508
2015-02-27,7.43,7.50,7.41,7.41,13000,7.245744
2015-02-26,7.44,7.50,7.41,7.46,15600,7.294636
2015-02-25,7.36,7.50,7.29,7.46,38400,7.294636
2015-02-24,7.26,7.47,7.23,7.38,28300,7.21641
2015-02-23,7.37,7.37,7.22,7.27,13100,7.108848
2015-02-20,7.41,7.49,7.37,7.37,10100,7.206631
2015-02-19,7.22,7.43,7.18,7.40,11600,7.235966
2015-02-18,7.49,7.49,7.11,7.28,20700,7.118626
2015-02-17,6.97,7.41,6.97,7.36,26500,7.196853
