Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27.950001,27.950001,27.209999,27.360001,623800,26.882281
2014-12-30,27.870001,28.02,27.50,27.83,2076400,27.344074
2014-12-29,27.870001,28.120001,27.77,27.92,493100,27.432502
2014-12-26,27.940001,28.25,27.92,27.950001,279700,27.461979
2014-12-24,27.629999,27.85,27.379999,27.790001,278900,27.304773
2014-12-23,27.280001,27.940001,26.99,27.530001,1285200,27.049312
2014-12-22,27.07,27.50,26.950001,27.07,1150100,26.597343
2014-12-19,26.84,27.15,26.34,27.09,1324600,26.616995
2014-12-18,26.77,26.93,26.24,26.82,1053500,26.351708
2014-12-17,25.58,26.530001,25.43,26.50,1268000,26.037296
2014-12-16,24.809999,25.780001,24.370001,25.51,1116900,25.064582
2014-12-15,25.52,25.85,24.84,24.85,746700,24.416106
2014-12-12,25.440001,25.68,25.209999,25.469999,679100,25.02528
2014-12-11,26.209999,26.51,25.66,25.75,886900,25.300391
2014-12-10,27.110001,27.35,26.15,26.219999,887700,25.762184
2014-12-09,27.219999,27.49,26.84,27.299999,635700,26.823327
2014-12-08,27.639999,27.90,27.370001,27.59,624400,27.108264
2014-12-05,27.07,28.190001,27.07,27.75,783100,27.26547
2014-12-04,28.049999,28.440001,26.92,27.10,1188700,26.62682
2014-12-03,28.620001,28.74,28.040001,28.18,700700,27.687963
2014-12-02,28.50,28.83,28.389999,28.559999,541700,28.061327
2014-12-01,28.98,29.690001,28.379999,28.52,849600,28.022026
2014-11-28,29.549999,29.58,29.110001,29.16,238400,28.650851
2014-11-26,29.969999,29.969999,29.219999,29.57,460900,29.053692
2014-11-25,29.73,30.08,29.440001,29.950001,853500,29.264939
2014-11-24,28.50,30.290001,28.459999,29.77,1593200,29.089056
2014-11-21,27.98,28.639999,27.690001,28.50,1015500,27.848105
2014-11-20,27.09,27.68,26.98,27.639999,937500,27.007775
2014-11-19,27.209999,27.540001,26.85,27.309999,537500,26.685324
2014-11-18,27.559999,27.860001,27.07,27.33,593800,26.704867
2014-11-17,27.84,28.43,27.469999,27.540001,763500,26.910064
2014-11-14,27.370001,28.26,27.370001,28.09,1019700,27.447483
2014-11-13,27.33,27.799999,27.24,27.35,519100,26.72441
2014-11-12,27.42,27.809999,27.15,27.24,596500,26.616925
2014-11-11,26.91,27.58,26.58,27.540001,685600,26.910064
2014-11-10,27.07,27.459999,26.43,26.85,826700,26.235846
2014-11-07,27.309999,27.440001,26.83,27.040001,1072100,26.421501
2014-11-06,26.870001,27.370001,26.540001,27.34,853900,26.714638
2014-11-05,28.059999,28.530001,26.59,27.059999,1874100,26.441042
2014-11-04,28.709999,28.719999,27.43,28.120001,1364800,27.476797
2014-11-03,29.18,29.200001,28.65,28.98,676600,28.317125
2014-10-31,29.49,29.809999,28.99,29.049999,755600,28.385523
2014-10-30,28.709999,29.08,28.360001,28.940001,572600,28.278041
2014-10-29,28.639999,28.92,28.24,28.82,465800,28.160785
2014-10-28,28.059999,28.860001,28.059999,28.709999,747800,28.0533
2014-10-27,27.719999,28.209999,27.25,28.030001,547300,27.388856
2014-10-24,27.92,28.09,27.690001,27.98,417400,27.339998
2014-10-23,27.610001,28.280001,27.41,27.92,862500,27.281371
2014-10-22,28.24,28.360001,27.16,27.27,1068000,26.64624
2014-10-21,27.469999,28.66,27.41,28.299999,1661400,27.652679
2014-10-20,26.809999,27.690001,26.77,27.27,1479800,26.64624
2014-10-17,27.530001,27.559999,26.85,26.879999,1593000,26.265159
2014-10-16,25.700001,27.709999,25.639999,27.17,2242100,26.548527
2014-10-15,24.870001,26.60,24.700001,26.15,2298500,25.551857
2014-10-14,24.35,25.379999,24.049999,25.17,1391500,24.594274
2014-10-13,23.940001,24.719999,23.879999,24.18,1304900,23.626919
2014-10-10,25.049999,25.379999,23.93,23.940001,1414200,23.392408
2014-10-09,25.780001,25.879999,25.01,25.18,1435200,24.604045
2014-10-08,25.18,25.99,24.700001,25.889999,1362200,25.297804
2014-10-07,25.32,25.780001,25.120001,25.16,1267500,24.584502
2014-10-06,25.91,26.10,25.48,25.52,1319800,24.936268
2014-10-03,25.24,26.00,24.940001,25.85,1553200,25.25872
2014-10-02,25.74,25.84,24.940001,25.00,2344500,24.428162
2014-10-01,26.01,26.27,25.700001,25.790001,1419000,25.200093
2014-09-30,26.540001,26.629999,25.98,26.09,1284200,25.49323
2014-09-29,26.030001,26.790001,25.969999,26.540001,2151200,25.932938
2014-09-26,26.219999,26.629999,25.98,26.32,2677300,25.717969
2014-09-25,25.620001,26.25,25.00,26.17,3289000,25.5714
2014-09-24,25.469999,25.92,25.16,25.639999,2431500,25.053522
2014-09-23,26.17,26.360001,25.450001,25.48,2478200,24.897182
2014-09-22,27.040001,27.040001,25.879999,26.209999,1305200,25.610484
2014-09-19,27.16,27.32,26.74,27.10,937300,26.480128
2014-09-18,27.41,27.52,27.059999,27.139999,662200,26.519212
2014-09-17,27.51,27.719999,27.34,27.370001,733800,26.743953
2014-09-16,27.82,28.10,27.459999,27.51,957800,26.88075
2014-09-15,28.00,28.129999,27.74,27.90,540000,27.261828
2014-09-12,28.110001,28.26,27.719999,28.02,779400,27.379084
2014-09-11,28.040001,28.469999,28.030001,28.129999,1041300,27.486567
2014-09-10,27.959999,28.65,27.940001,28.15,792000,27.50611
