Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,7.76,8.63,7.73,8.63,3000,8.63
2015-09-03,7.30,7.83,7.30,7.75,8600,7.75
2015-09-02,7.50,7.50,7.20,7.27,6000,7.27
2015-09-01,7.30,7.50,7.30,7.50,5000,7.50
2015-08-31,7.80,8.12,7.36,7.75,10100,7.75
2015-08-28,7.44,7.50,7.43,7.50,1600,7.50
2015-08-27,7.66,7.95,7.60,7.60,4700,7.60
2015-08-26,7.82,7.89,7.58,7.85,6500,7.85
2015-08-25,7.96,7.96,7.96,7.96,000,7.96
2015-08-24,7.96,7.96,7.96,7.96,000,7.96
2015-08-21,7.96,7.96,7.96,7.96,400,7.96
2015-08-20,8.55,8.59,8.55,8.59,300,8.59
2015-08-19,9.20,9.40,9.00,9.00,2600,9.00
2015-08-18,9.16,9.16,9.16,9.16,000,9.16
2015-08-17,9.16,9.16,9.16,9.16,600,9.16
2015-08-14,9.03,9.03,9.03,9.03,000,9.03
2015-08-13,9.03,9.03,9.03,9.03,000,9.03
2015-08-12,9.03,9.03,9.03,9.03,000,9.03
2015-08-11,8.88,9.38,8.88,9.03,2000,9.03
2015-08-10,9.11,9.16,8.89,8.89,1000,8.89
2015-08-07,9.13,9.13,8.74,8.82,7600,8.82
2015-08-06,7.30,8.88,7.30,8.88,13700,8.88
2015-08-05,9.29,9.29,9.29,9.29,000,9.29
2015-08-04,9.29,9.29,9.29,9.29,100,9.29
2015-08-03,9.28,9.28,9.25,9.25,300,9.25
2015-07-31,9.95,10.00,9.80,9.80,700,9.80
2015-07-30,9.35,9.35,9.35,9.35,000,9.35
2015-07-29,9.99,9.99,9.35,9.35,2100,9.35
2015-07-28,9.30,9.30,9.30,9.30,500,9.30
2015-07-27,9.25,9.92,9.25,9.65,2700,9.65
2015-07-24,9.38,9.38,9.38,9.38,000,9.38
2015-07-23,9.38,9.38,9.38,9.38,100,9.38
2015-07-22,9.33,9.73,9.33,9.55,800,9.55
2015-07-21,9.33,9.33,9.33,9.33,000,9.33
2015-07-20,9.33,9.33,9.33,9.33,700,9.33
2015-07-17,9.70,9.70,9.70,9.70,000,9.70
2015-07-16,9.70,9.70,9.70,9.70,000,9.70
2015-07-15,10.00,10.04,9.70,9.70,2600,9.70
2015-07-14,10.32,10.32,9.50,9.50,500,9.50
2015-07-13,9.13,9.13,9.13,9.13,000,9.13
2015-07-10,9.13,9.13,9.13,9.13,000,9.13
2015-07-09,9.35,10.24,9.13,9.13,4100,9.13
2015-07-08,9.43,9.43,9.43,9.43,100,9.43
