Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,42.77,43.73,42.73,43.450001,74200,43.450001
2015-09-03,43.48,44.02,43.07,43.259998,84600,43.259998
2015-09-02,43.27,43.84,42.720001,43.43,80700,43.43
2015-09-01,43.200001,43.380001,42.389999,42.860001,122200,42.860001
2015-08-31,43.34,43.990002,42.00,43.869999,168500,43.869999
2015-08-28,43.240002,43.73,42.650002,43.360001,124900,43.360001
2015-08-27,43.77,44.290001,42.75,43.259998,150900,43.259998
2015-08-26,43.049999,43.84,42.470001,43.43,96800,43.43
2015-08-25,44.290001,44.290001,42.02,42.049999,90300,42.049999
2015-08-24,42.75,44.099998,41.580002,42.73,142700,42.73
2015-08-21,43.419998,45.009998,43.419998,44.52,138000,44.52
2015-08-20,44.349998,45.00,44.07,44.080002,135800,44.080002
2015-08-19,44.41,45.259998,44.209999,44.740002,72500,44.740002
2015-08-18,45.310001,45.889999,44.299999,44.82,52300,44.82
2015-08-17,44.900002,45.50,44.849998,45.200001,78500,45.200001
2015-08-14,44.00,44.970001,43.959999,44.869999,98900,44.869999
2015-08-13,44.450001,45.610001,43.689999,44.25,66300,44.25
2015-08-12,45.009998,45.220001,43.790001,44.290001,62300,44.290001
2015-08-11,45.259998,45.400002,44.630001,45.200001,59100,45.200001
2015-08-10,45.580002,45.689999,45.259998,45.50,80000,45.50
2015-08-07,45.23,45.900002,44.75,45.209999,53300,45.209999
2015-08-06,45.709999,45.849998,45.209999,45.50,75400,45.50
2015-08-05,45.599998,46.009998,45.509998,45.73,81700,45.73
2015-08-04,45.310001,46.00,45.310001,45.439999,40900,45.439999
2015-08-03,45.619999,45.889999,44.919998,45.459999,58000,45.459999
2015-07-31,45.669998,45.720001,45.110001,45.450001,101600,45.450001
2015-07-30,45.07,45.509998,44.919998,45.50,84300,45.50
2015-07-29,45.669998,45.830002,45.25,45.290001,71900,45.290001
2015-07-28,46.00,46.00,45.25,45.619999,99500,45.619999
2015-07-27,46.119999,46.23,45.720001,45.889999,56800,45.889999
2015-07-24,46.650002,47.18,46.029999,46.189999,83700,46.189999
2015-07-23,47.84,48.389999,46.540001,46.630001,101500,46.630001
2015-07-22,47.59,48.299999,47.580002,47.990002,74600,47.990002
2015-07-21,47.880001,48.09,47.360001,47.549999,65500,47.549999
2015-07-20,47.650002,48.00,47.459999,47.740002,77200,47.740002
2015-07-17,48.189999,48.189999,47.279999,47.689999,45400,47.689999
2015-07-16,48.360001,48.400002,47.759998,48.07,58700,48.07
2015-07-15,47.799999,48.259998,47.639999,47.919998,84100,47.919998
2015-07-14,47.549999,47.700001,47.040001,47.59,70300,47.59
2015-07-13,47.700001,48.130001,47.16,47.490002,124900,47.490002
2015-07-10,47.00,47.50,46.619999,47.470001,94100,47.470001
2015-07-09,46.57,46.689999,46.110001,46.549999,79800,46.549999
2015-07-08,46.099998,46.169998,45.610001,46.099998,119900,46.099998
2015-07-07,46.75,46.880001,45.830002,46.310001,99000,46.310001
2015-07-06,46.060001,46.84,45.970001,46.830002,93500,46.830002
