Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,0.77,0.78,0.72,0.75,28200,0.75
2015-09-03,0.76,0.82,0.70,0.79,68500,0.79
2015-09-02,0.77,0.79,0.76,0.76,52200,0.76
2015-09-01,0.75,0.76,0.73,0.76,49000,0.76
2015-08-31,0.75,0.75,0.69,0.75,38400,0.75
2015-08-28,0.68,0.75,0.67,0.75,75500,0.75
2015-08-27,0.70,0.70,0.67,0.69,44700,0.69
2015-08-26,0.69,0.70,0.67,0.68,57200,0.68
2015-08-25,0.67,0.70,0.66,0.69,72600,0.69
2015-08-24,0.68,0.72,0.67,0.67,119000,0.67
2015-08-21,0.71,0.73,0.68,0.70,107800,0.70
2015-08-20,0.69,0.75,0.69,0.71,35400,0.71
2015-08-19,0.73,0.75,0.69,0.71,34800,0.71
2015-08-18,0.67,0.73,0.67,0.72,85000,0.72
2015-08-17,0.67,0.72,0.67,0.67,96000,0.67
2015-08-14,0.69,0.72,0.67,0.69,41700,0.69
2015-08-13,0.67,0.70,0.67,0.70,44100,0.70
2015-08-12,0.76,0.77,0.66,0.67,166200,0.67
2015-08-11,0.75,0.80,0.71,0.72,123500,0.72
2015-08-10,0.82,0.85,0.75,0.77,89600,0.77
2015-08-07,0.86,0.86,0.73,0.82,45100,0.82
2015-08-06,0.86,0.87,0.80,0.85,29200,0.85
2015-08-05,0.85,0.88,0.82,0.86,32800,0.86
2015-08-04,0.80,0.85,0.80,0.81,30700,0.81
2015-08-03,0.76,0.85,0.73,0.80,56900,0.80
2015-07-31,0.84,0.85,0.76,0.81,32400,0.81
2015-07-30,0.81,0.85,0.75,0.84,129200,0.84
2015-07-29,0.82,0.86,0.82,0.82,45400,0.82
2015-07-28,0.83,0.85,0.83,0.83,32700,0.83
2015-07-27,0.87,0.90,0.82,0.85,61100,0.85
2015-07-24,0.90,0.93,0.86,0.87,32400,0.87
2015-07-23,0.89,0.94,0.89,0.90,41400,0.90
2015-07-22,0.87,0.94,0.87,0.90,37200,0.90
2015-07-21,0.92,0.95,0.88,0.90,20700,0.90
2015-07-20,0.88,0.94,0.86,0.92,71000,0.92
2015-07-17,0.86,0.96,0.86,0.90,23000,0.90
2015-07-16,0.96,0.96,0.88,0.88,22100,0.88
2015-07-15,0.92,0.95,0.89,0.93,34700,0.93
2015-07-14,0.88,0.94,0.88,0.92,16800,0.92
2015-07-13,0.90,0.95,0.88,0.90,32100,0.90
2015-07-10,0.91,0.91,0.89,0.89,13700,0.89
2015-07-09,0.90,0.92,0.90,0.91,21200,0.91
2015-07-08,0.91,0.95,0.91,0.91,33100,0.91
2015-07-07,0.92,0.94,0.91,0.91,36300,0.91
2015-07-06,0.96,0.96,0.91,0.91,26300,0.91
2015-07-02,0.98,0.99,0.93,0.93,18600,0.93
2015-07-01,1.00,1.00,0.96,0.97,25800,0.97
2015-06-30,0.97,0.98,0.94,0.96,16500,0.96
2015-06-29,0.97,1.01,0.94,0.94,190900,0.94
