Date,Open,High,Low,Close,Volume,Adj Close
2014-08-20,1.1901,1.1901,1.1901,1.1901,000,1.1901
2014-08-19,1.1901,1.1901,1.1901,1.1901,400,1.1901
2014-08-18,1.20,1.20,1.19,1.19,23700,1.19
2014-08-15,1.15,1.15,1.15,1.15,100,1.15
2014-08-14,1.18,1.181,1.18,1.181,20300,1.181
2014-08-13,1.19,1.1901,1.18,1.19,47300,1.19
2014-08-12,1.20,1.20,1.19,1.1901,1400,1.1901
2014-08-11,1.19,1.191,1.19,1.19,26200,1.19
2014-08-08,1.20,1.20,1.19,1.19,21000,1.19
2014-08-07,1.18,1.20,1.18,1.19,700,1.19
2014-08-06,1.19,1.191,1.18,1.191,32100,1.191
2014-08-05,1.18,1.191,1.18,1.19,19300,1.19
2014-08-04,1.18,1.20,1.18,1.19,27300,1.19
2014-08-01,1.15,1.17,1.09,1.095,25300,1.095
2014-07-31,1.14,1.142,1.13,1.142,8700,1.142
2014-07-30,1.12,1.1317,1.12,1.1317,2400,1.1317
2014-07-29,1.13,1.151,1.12,1.12,63600,1.12
2014-07-28,1.15,1.16,1.15,1.15,67200,1.15
2014-07-25,1.15,1.16,1.15,1.15,8600,1.15
2014-07-24,1.15,1.15,1.15,1.15,800,1.15
2014-07-23,1.15,1.18,1.15,1.15,30200,1.15
2014-07-22,1.15,1.16,1.15,1.1501,7000,1.1501
2014-07-21,1.15,1.16,1.15,1.15,6700,1.15
2014-07-18,1.15,1.1501,1.15,1.1501,5900,1.1501
2014-07-17,1.15,1.153,1.15,1.15,23700,1.15
2014-07-16,1.15,1.1501,1.15,1.15,6000,1.15
2014-07-15,1.1607,1.1607,1.15,1.15,700,1.15
2014-07-14,1.17,1.17,1.15,1.15,3000,1.15
2014-07-11,1.15,1.161,1.15,1.15,32400,1.15
2014-07-10,1.18,1.18,1.15,1.16,25200,1.16
2014-07-09,1.18,1.18,1.15,1.15,1200,1.15
2014-07-08,1.15,1.1799,1.15,1.153,69500,1.153
2014-07-07,1.16,1.16,1.14,1.15,63400,1.15
2014-07-04,1.16,1.16,1.16,1.16,000,1.16
2014-07-03,1.13,1.16,1.13,1.16,33200,1.16
2014-07-02,1.14,1.1776,1.14,1.17,2100,1.17
2014-07-01,1.13,1.23,1.12,1.15,322100,1.15
2014-06-30,0.98,1.00,0.8401,0.8401,1700,0.8401
2014-06-27,0.98,0.98,0.98,0.98,000,0.98
2014-06-26,0.999,1.02,0.98,0.98,500,0.98
2014-06-25,0.957,1.044,0.85,0.91,4400,0.91
2014-06-24,1.05,1.05,1.05,1.05,600,1.05
2014-06-23,1.025,1.025,1.025,1.025,200,1.025
2014-06-20,1.03,1.07,0.97,1.03,10100,1.03
2014-06-19,1.02,1.08,1.01,1.04,6200,1.04
2014-06-18,1.07,1.09,1.07,1.07,1100,1.07
2014-06-17,1.06,1.10,1.049,1.07,5900,1.07
2014-06-16,1.05,1.09,1.05,1.05,3100,1.05
2014-06-13,1.05,1.12,1.0401,1.12,500,1.12
2014-06-12,1.05,1.14,1.05,1.12,1200,1.12
2014-06-11,1.05,1.14,1.02,1.13,1000,1.13
2014-06-10,1.20,1.20,0.94,1.14,29400,1.14
2014-06-09,1.0399,1.04,1.02,1.04,2400,1.04
2014-06-06,0.94,1.0504,0.94,1.00,5400,1.00
2014-06-05,1.0397,1.0397,1.0397,1.0397,000,1.0397
2014-06-04,1.04,1.04,1.01,1.0397,4200,1.0397
2014-06-03,0.9798,1.007,1.00,1.00,1900,1.00
2014-06-02,1.02,1.02,1.02,1.02,000,1.02
2014-05-30,1.02,1.02,1.02,1.02,2500,1.02
2014-05-29,1.05,1.05,1.05,1.05,000,1.05
2014-05-28,1.049,1.05,1.049,1.05,3300,1.05
2014-05-27,1.0201,1.0201,1.0201,1.0201,100,1.0201
2014-05-26,1.05,1.05,1.05,1.05,000,1.05
2014-05-23,1.05,1.05,1.05,1.05,000,1.05
2014-05-22,1.05,1.05,1.05,1.05,000,1.05
2014-05-21,1.0322,1.05,1.0301,1.05,1700,1.05
2014-05-20,1.06,1.06,1.0599,1.06,500,1.06
2014-05-19,1.06,1.06,1.06,1.06,300,1.06
2014-05-16,1.0601,1.0601,1.0601,1.0601,200,1.0601
2014-05-15,1.06,1.06,1.06,1.06,100,1.06
2014-05-14,1.07,1.07,1.05,1.05,700,1.05
2014-05-13,1.10,1.10,1.095,1.095,1800,1.095
2014-05-12,1.10,1.10,1.10,1.10,000,1.10
2014-05-09,1.10,1.10,1.0798,1.10,9000,1.10
2014-05-08,1.08,1.0999,1.04,1.04,9800,1.04
2014-05-07,1.04,1.11,1.03,1.11,6100,1.11
2014-05-06,1.12,1.12,1.12,1.12,200,1.12
2014-05-05,1.12,1.12,1.12,1.12,700,1.12
2014-05-02,1.129,1.129,1.129,1.129,000,1.129
2014-05-01,1.13,1.13,1.129,1.129,900,1.129
2014-04-30,1.13,1.13,1.13,1.13,000,1.13
2014-04-29,1.0599,1.0599,1.0599,1.0599,000,1.0599
2014-04-28,1.0599,1.0599,1.0599,1.0599,000,1.0599
2014-04-25,1.05,1.0599,1.05,1.0599,3100,1.0599
2014-04-24,1.10,1.10,1.06,1.07,2300,1.07
2014-04-23,1.139,1.14,1.10,1.1027,2400,1.1027
2014-04-22,1.14,1.15,1.139,1.15,800,1.15
2014-04-21,1.11,1.15,1.10,1.15,3200,1.15
2014-04-18,1.16,1.16,1.16,1.16,000,1.16
2014-04-17,1.12,1.16,1.10,1.16,9400,1.16
2014-04-16,1.17,1.17,1.1201,1.1201,2100,1.1201
2014-04-15,1.15,1.159,1.15,1.159,1100,1.159
