Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,81.919998,83.919998,80.540001,83.110001,1632100,83.110001
2014-12-30,82.00,83.790001,81.230003,81.639999,1872800,81.639999
2014-12-29,84.010002,84.809998,82.330002,82.650002,1713700,82.650002
2014-12-26,81.459999,84.910004,80.410004,83.879997,1963900,83.879997
2014-12-24,80.879997,81.290001,79.400002,81.120003,656100,81.120003
2014-12-23,82.599998,83.739998,80.580002,80.879997,792200,80.879997
2014-12-22,82.010002,83.279999,80.43,82.599998,1275700,82.599998
2014-12-19,78.00,81.410004,76.599998,81.150002,2100500,81.150002
2014-12-18,82.959999,82.959999,76.910004,78.639999,2923300,78.639999
2014-12-17,79.199997,81.980003,78.529999,81.010002,2593600,81.010002
2014-12-16,83.760002,83.760002,78.940002,79.07,3102300,79.07
2014-12-15,87.169998,87.75,83.699997,83.910004,1693400,83.910004
2014-12-12,86.50,87.889999,85.510002,86.309998,1141000,86.309998
2014-12-11,86.599998,91.419998,86.300003,86.980003,1513800,86.980003
2014-12-10,88.129997,89.059998,85.510002,86.129997,2219700,86.129997
2014-12-09,86.57,88.519997,85.00,88.309998,1487200,88.309998
2014-12-08,93.120003,94.169998,88.00,88.050003,1815700,88.050003
2014-12-05,92.589996,94.540001,92.449997,93.25,1019900,93.25
2014-12-04,92.900002,94.800003,92.360001,92.489998,1260000,92.489998
2014-12-03,96.25,96.699997,91.769997,92.989998,2923200,92.989998
2014-12-02,97.00,98.57,96.269997,96.800003,1292900,96.800003
2014-12-01,101.519997,102.360001,97.139999,97.32,1560900,97.32
2014-11-28,101.879997,102.940002,100.599998,101.970001,508300,101.970001
2014-11-26,104.510002,106.440002,101.459999,102.059998,1516900,102.059998
2014-11-25,105.339996,106.00,103.730003,104.529999,1092900,104.529999
2014-11-24,102.720001,105.160004,102.610001,104.540001,1493200,104.540001
2014-11-21,103.300003,103.50,101.720001,102.419998,813900,102.419998
2014-11-20,102.620003,103.550003,101.169998,101.949997,1254800,101.949997
2014-11-19,104.800003,105.379997,102.910004,103.209999,1000000,103.209999
2014-11-18,104.57,106.860001,104.510002,104.800003,706300,104.800003
2014-11-17,105.169998,106.779999,103.449997,104.160004,697000,104.160004
2014-11-14,101.150002,105.910004,101.150002,104.849998,1059900,104.849998
2014-11-13,101.50,103.230003,100.699997,101.110001,1545900,101.110001
2014-11-12,100.940002,102.110001,98.839996,102.07,2257000,102.07
2014-11-11,105.00,105.75,100.889999,102.080002,1747100,102.080002
2014-11-10,103.800003,105.389999,103.00,104.889999,1404900,104.889999
2014-11-07,105.879997,106.32,101.650002,103.07,2273900,103.07
2014-11-06,108.82,109.110001,105.00,106.330002,2562100,106.330002
2014-11-05,112.50,113.489998,103.129997,108.160004,6619700,108.160004
2014-11-04,122.099998,123.50,120.480003,121.25,989900,121.25
2014-11-03,120.360001,125.00,119.510002,122.57,1184700,122.57
2014-10-31,117.059998,120.50,116.25,120.360001,1127600,120.360001
2014-10-30,115.32,116.959999,114.129997,115.410004,842300,115.410004
2014-10-29,117.589996,117.989998,110.309998,116.830002,2627500,116.830002
2014-10-28,117.199997,118.50,116.519997,117.800003,1092400,117.800003
2014-10-27,117.110001,117.50,114.139999,116.25,768100,116.25
2014-10-24,117.900002,118.75,116.989998,117.529999,500800,117.529999
2014-10-23,117.050003,118.419998,115.010002,117.480003,795800,117.480003
2014-10-22,116.68,117.760002,114.639999,115.82,1289400,115.82
2014-10-21,118.510002,121.199997,117.400002,119.980003,755900,119.980003
2014-10-20,118.349998,118.349998,114.269997,117.230003,916100,117.230003
2014-10-17,118.50,120.760002,117.059998,118.150002,888100,118.150002
2014-10-16,111.889999,119.379997,111.449997,117.50,1241500,117.50
2014-10-15,109.00,114.400002,108.410004,113.82,1005200,113.82
2014-10-14,108.470001,114.230003,108.470001,110.699997,973300,110.699997
2014-10-13,105.699997,109.980003,104.860001,107.190002,1010700,107.190002
2014-10-10,110.440002,112.110001,105.57,105.669998,1564400,105.669998
2014-10-09,116.900002,117.25,111.489998,112.190002,1180600,112.190002
2014-10-08,114.389999,117.75,113.080002,117.389999,795000,117.389999
2014-10-07,114.730003,115.959999,113.50,113.540001,590100,113.540001
2014-10-06,117.699997,118.00,114.379997,114.980003,488300,114.980003
2014-10-03,115.839996,118.940002,115.25,116.809998,864200,116.809998
2014-10-02,116.919998,118.470001,112.889999,115.050003,1170600,115.050003
2014-10-01,120.620003,120.989998,113.720001,116.260002,2109700,116.260002
2014-09-30,122.349998,122.739998,120.00,120.779999,589100,120.779999
2014-09-29,120.339996,122.980003,120.010002,122.150002,486400,122.150002
2014-09-26,121.029999,122.660004,121.010002,122.129997,535600,122.129997
2014-09-25,123.709999,123.940002,119.07,120.519997,1134900,120.519997
2014-09-24,123.480003,124.779999,122.690002,124.410004,439100,124.410004
2014-09-23,120.330002,124.040001,120.330002,122.50,721500,122.50
2014-09-22,125.360001,125.50,120.720001,122.370003,1115900,122.370003
