Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.540001,23.10,22.02,22.219999,33400,22.022793
2014-12-30,22.700001,22.76,22.129999,22.450001,36000,22.250753
2014-12-29,23.299999,23.60,22.549999,22.700001,47400,22.498534
2014-12-26,23.559999,24.00,23.059999,23.280001,25700,23.073386
2014-12-24,23.09,23.66,23.01,23.530001,15200,23.321167
2014-12-23,22.65,23.26,22.65,23.10,22700,22.894983
2014-12-22,22.50,23.09,22.190001,23.01,29300,22.805782
2014-12-19,22.33,22.629999,21.90,22.58,77200,22.379598
2014-12-18,22.07,22.459999,21.969999,22.379999,30900,22.181372
2014-12-17,20.799999,21.90,20.799999,21.889999,29200,21.695721
2014-12-16,20.040001,21.280001,20.02,20.92,50400,20.734331
2014-12-15,20.719999,21.110001,20.08,20.18,20000,20.000899
2014-12-12,20.66,21.27,20.389999,20.65,27200,20.466727
2014-12-11,20.83,21.280001,20.73,20.959999,17800,20.773975
2014-12-10,21.17,21.440001,20.299999,20.870001,33200,20.684776
2014-12-09,20.57,21.32,20.57,21.32,23400,21.130781
2014-12-08,20.799999,21.389999,20.57,20.82,26700,20.635218
2014-12-05,20.52,21.24,20.389999,21.00,30600,20.714509
2014-12-04,20.469999,20.99,20.139999,20.620001,38300,20.339676
2014-12-03,19.959999,20.82,19.889999,20.50,24700,20.221306
2014-12-02,19.639999,20.41,19.639999,20.299999,20000,20.024025
2014-12-01,19.799999,19.959999,19.530001,19.639999,53700,19.372997
2014-11-28,19.93,20.120001,19.65,19.68,23900,19.412455
2014-11-26,20.040001,20.200001,19.959999,20.07,51200,19.797152
2014-11-25,19.93,20.34,19.93,20.00,53600,19.728104
2014-11-24,20.32,20.32,19.950001,20.08,43900,19.807016
2014-11-21,20.51,20.540001,20.00,20.040001,38400,19.767561
2014-11-20,20.059999,20.76,20.01,20.27,31400,19.994434
2014-11-19,20.280001,20.620001,19.360001,20.190001,48200,19.915521
2014-11-18,20.34,20.51,20.200001,20.35,27300,20.073346
2014-11-17,20.559999,20.559999,20.139999,20.24,22500,19.964841
2014-11-14,20.870001,20.90,20.52,20.52,33900,20.241035
2014-11-13,21.040001,21.129999,20.76,20.98,22700,20.694781
2014-11-12,20.610001,21.209999,20.60,21.120001,34200,20.832879
2014-11-11,21.049999,21.049999,20.59,20.809999,33500,20.527092
2014-11-10,20.58,21.200001,20.58,21.190001,30700,20.901927
2014-11-07,21.120001,21.120001,20.639999,20.66,28300,20.379131
2014-11-06,20.73,21.65,20.51,21.059999,46800,20.773693
2014-11-05,20.66,20.860001,20.41,20.77,45400,20.487636
2014-11-04,21.00,21.190001,20.389999,20.50,28200,20.221306
2014-11-03,20.66,21.040001,20.549999,20.91,40200,20.625732
2014-10-31,21.530001,21.530001,20.92,20.93,59500,20.645461
2014-10-30,21.129999,22.75,20.90,21.09,47500,20.803286
2014-10-29,21.709999,21.709999,21.09,21.219999,23900,20.931518
2014-10-28,20.59,21.950001,20.59,21.57,38800,21.27676
2014-10-27,20.82,20.940001,20.549999,20.549999,16000,20.270626
2014-10-24,21.200001,21.200001,20.77,20.85,29300,20.566549
2014-10-23,21.690001,22.84,21.02,21.139999,37000,20.852605
2014-10-22,22.00,22.01,21.43,21.610001,28300,21.316217
2014-10-21,22.18,22.43,21.85,22.01,38100,21.710779
2014-10-20,22.15,22.42,21.950001,22.190001,29200,21.888332
2014-10-17,23.42,23.42,22.129999,22.25,36200,21.947516
2014-10-16,22.16,23.35,21.290001,23.059999,35900,22.746503
2014-10-15,21.82,22.620001,21.030001,22.52,44900,22.213845
2014-10-14,22.00,22.799999,21.51,22.15,34800,21.848875
2014-10-13,21.290001,22.00,20.83,21.719999,32600,21.42472
2014-10-10,20.719999,21.68,20.719999,21.209999,26800,20.921653
2014-10-09,21.219999,21.219999,20.25,20.870001,55500,20.586277
2014-10-08,20.74,21.83,20.629999,21.73,23300,21.434584
2014-10-07,21.34,21.52,20.83,20.85,31800,20.566549
2014-10-06,21.59,21.93,21.35,21.59,12600,21.296488
2014-10-03,21.530001,22.120001,21.41,21.48,25200,21.187983
2014-10-02,20.700001,21.32,20.440001,21.280001,17800,20.990703
2014-10-01,20.559999,20.90,20.360001,20.690001,40200,20.408724
2014-09-30,20.809999,21.700001,20.48,20.51,74600,20.231171
2014-09-29,20.870001,21.120001,20.690001,20.809999,14400,20.527092
2014-09-26,20.85,21.290001,20.83,21.120001,17500,20.832879
2014-09-25,21.209999,21.610001,20.799999,20.83,27800,20.54682
2014-09-24,21.49,21.51,21.25,21.309999,11800,21.020294
2014-09-23,21.450001,21.68,21.26,21.51,34700,21.217576
2014-09-22,21.42,21.809999,21.360001,21.620001,21400,21.326081
2014-09-19,21.82,22.16,21.370001,21.629999,52100,21.335944
2014-09-18,21.639999,21.959999,21.219999,21.75,9700,21.454313
2014-09-17,21.49,21.629999,21.25,21.530001,24700,21.237304
2014-09-16,21.49,21.709999,21.34,21.549999,26800,21.257031
2014-09-15,21.469999,21.799999,21.129999,21.610001,46800,21.316217
2014-09-12,21.58,21.66,21.32,21.48,34600,21.187983
2014-09-11,21.309999,21.940001,21.309999,21.540001,18400,21.247169
2014-09-10,21.610001,21.90,21.15,21.559999,20700,21.266895
2014-09-09,21.41,21.82,21.209999,21.469999,32800,21.178119
2014-09-08,21.620001,21.639999,21.209999,21.52,38500,21.22744
2014-09-05,21.33,22.09,21.33,21.52,20900,21.128799
2014-09-04,21.58,21.870001,21.35,21.41,23500,21.020798
2014-09-03,22.00,22.040001,21.450001,21.459999,22700,21.069888
2014-09-02,21.85,22.00,21.59,21.98,33200,21.580436
2014-08-29,21.82,21.82,21.309999,21.700001,23600,21.305527
2014-08-28,22.190001,22.299999,21.73,21.74,25200,21.344799
2014-08-27,22.030001,22.58,21.99,22.299999,20400,21.894618
2014-08-26,21.68,22.00,21.43,21.90,34200,21.50189
2014-08-25,21.280001,22.00,21.280001,21.719999,32300,21.325162
2014-08-22,21.34,21.52,21.18,21.280001,15900,20.893162
2014-08-21,21.35,21.620001,21.17,21.48,12400,21.089525
2014-08-20,21.82,21.82,21.32,21.42,16500,21.030616
2014-08-19,21.60,21.99,21.540001,21.879999,12400,21.482253
2014-08-18,21.51,21.67,21.26,21.48,50000,21.089525
2014-08-15,21.709999,21.82,20.98,21.23,29700,20.84407
2014-08-14,21.360001,21.57,21.299999,21.43,23700,21.040435
2014-08-13,21.219999,21.33,21.09,21.290001,13900,20.90298
2014-08-12,21.73,21.780001,20.780001,21.280001,12700,20.893162
2014-08-11,21.41,22.17,21.41,21.950001,19300,21.550982
2014-08-08,21.120001,21.48,20.91,21.42,12400,21.030616
2014-08-07,21.33,21.50,21.059999,21.120001,9700,20.73607
2014-08-06,20.879999,21.48,20.58,21.299999,11900,20.912797
2014-08-05,20.719999,21.32,20.719999,20.93,17200,20.549524
2014-08-04,20.889999,21.049999,20.299999,20.879999,74600,20.500432
2014-08-01,21.209999,21.84,20.51,20.74,40100,20.362977
2014-07-31,21.059999,21.33,20.75,21.110001,64400,20.726252
2014-07-30,21.74,21.940001,21.09,21.139999,26300,20.755705
2014-07-29,21.530001,22.26,21.35,21.51,14100,21.11898
2014-07-28,21.74,22.25,21.18,21.459999,25600,21.069888
2014-07-25,21.65,21.879999,21.42,21.610001,35700,21.217163
2014-07-24,22.059999,22.139999,21.59,21.879999,32800,21.482253
2014-07-23,21.540001,22.33,21.540001,22.18,23600,21.776801
2014-07-22,21.40,21.709999,20.969999,21.549999,48100,21.158252
2014-07-21,21.50,21.58,21.26,21.50,25500,21.109162
2014-07-18,21.34,21.969999,21.34,21.559999,57200,21.168071
2014-07-17,21.879999,22.059999,21.17,21.450001,56800,21.060071
2014-07-16,22.57,22.57,21.99,22.110001,22500,21.708073
2014-07-15,22.719999,22.719999,22.25,22.360001,26700,21.953529
2014-07-14,22.799999,22.879999,22.58,22.65,24900,22.238256
2014-07-11,22.73,22.790001,22.299999,22.530001,24600,22.120439
2014-07-10,22.75,22.90,22.23,22.67,43700,22.257893
2014-07-09,23.139999,23.58,22.92,23.00,25100,22.581894
2014-07-08,23.370001,23.370001,22.92,23.10,21400,22.680077
2014-07-07,23.620001,23.639999,23.120001,23.33,21900,22.905895
2014-07-03,23.790001,23.84,23.299999,23.73,15900,23.298623
2014-07-02,24.00,25.43,23.469999,23.59,23200,23.161169
2014-07-01,23.51,24.280001,23.450001,23.93,70000,23.494988
2014-06-30,23.129999,23.51,23.01,23.43,27400,23.004078
2014-06-27,22.99,23.33,22.950001,23.18,103600,22.758622
2014-06-26,23.219999,23.299999,22.90,23.209999,13700,22.788076
2014-06-25,22.75,23.33,22.75,23.219999,23000,22.797894
2014-06-24,22.799999,23.469999,22.799999,22.889999,29000,22.473893
2014-06-23,23.200001,23.200001,22.860001,22.91,13500,22.49353
2014-06-20,23.280001,23.299999,22.99,23.08,95800,22.66044
2014-06-19,22.809999,23.25,22.809999,23.07,20800,22.650621
2014-06-18,23.10,23.10,22.809999,22.90,10400,22.483711
2014-06-17,23.290001,23.620001,22.82,22.90,29600,22.483711
2014-06-16,22.73,23.33,22.040001,23.059999,31000,22.640803
2014-06-13,22.74,23.27,22.530001,22.639999,32700,22.228438
2014-06-12,22.67,23.049999,22.379999,22.629999,32000,22.218619
2014-06-11,22.870001,23.360001,22.639999,22.799999,46100,22.385529
2014-06-10,22.780001,23.09,22.42,22.690001,64100,22.27753
2014-06-09,22.540001,22.93,22.41,22.93,29000,22.513167
2014-06-06,22.049999,22.77,21.549999,22.559999,69900,22.05171
2014-06-05,20.950001,21.870001,20.90,21.860001,42900,21.367483
2014-06-04,20.98,21.49,20.950001,21.00,23800,20.526858
2014-06-03,21.33,21.58,20.969999,21.049999,31600,20.575731
2014-06-02,21.76,21.99,21.139999,21.52,25100,21.035143
2014-05-30,21.84,22.200001,21.40,21.610001,36500,21.123115
2014-05-29,22.219999,22.23,21.629999,21.709999,16100,21.220861
2014-05-28,22.65,22.719999,21.799999,22.030001,37300,21.533653
2014-05-27,22.07,22.91,21.16,22.60,44900,22.09081
2014-05-23,21.73,21.90,21.23,21.790001,25900,21.29906
2014-05-22,21.620001,21.780001,21.209999,21.639999,14700,21.152438
2014-05-21,20.91,21.82,20.75,21.49,33800,21.005818
2014-05-20,21.450001,22.16,20.549999,20.68,47800,20.214068
2014-05-19,21.799999,21.92,21.40,21.620001,17600,21.13289
2014-05-16,20.48,22.32,20.469999,21.99,40200,21.494553
2014-05-15,20.57,21.440001,20.33,20.530001,27200,20.067448
2014-05-14,21.91,21.91,20.75,20.76,33900,20.292266
