Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,45.990002,46.290001,45.75,46.209999,38500,46.209999
2014-12-30,45.509998,46.16,45.509998,45.709999,22800,45.709999
2014-12-29,45.669998,45.830002,44.860001,45.310001,21500,45.310001
2014-12-26,45.490002,45.880001,45.369999,45.52,15100,45.52
2014-12-24,45.23,45.66,44.830002,45.41,9400,45.41
2014-12-23,44.759998,45.66,44.740002,45.07,47500,45.07
2014-12-22,44.790001,44.900002,44.220001,44.759998,30800,44.759998
2014-12-19,44.400002,45.189999,43.59,44.52,240500,44.52
2014-12-18,44.060001,44.790001,43.700001,44.540001,38600,44.540001
2014-12-17,42.610001,43.799999,42.52,43.650002,54200,43.650002
2014-12-16,42.119999,43.380001,42.119999,42.639999,38900,42.639999
2014-12-15,42.59,43.990002,42.09,42.16,65200,42.16
2014-12-12,43.540001,44.50,43.48,43.490002,38700,43.490002
2014-12-11,43.939999,44.98,43.82,44.139999,43700,44.139999
2014-12-10,44.720001,44.970001,43.509998,43.580002,37600,43.580002
2014-12-09,43.400002,45.119999,43.389999,44.810001,51100,44.810001
2014-12-08,44.380001,45.060001,43.740002,43.98,33200,43.98
2014-12-05,43.09,45.099998,43.09,44.470001,74200,44.470001
2014-12-04,43.490002,43.490002,42.75,43.09,40400,43.09
2014-12-03,43.330002,44.00,43.23,43.41,39300,43.41
2014-12-02,43.900002,44.939999,42.799999,43.439999,116100,43.439999
2014-12-01,44.32,45.00,44.23,44.259998,74500,44.259998
2014-11-28,43.32,45.09,43.32,44.27,34400,44.27
2014-11-26,43.43,43.869999,42.869999,43.139999,40000,43.139999
2014-11-25,43.52,44.00,43.27,43.290001,55000,43.290001
2014-11-24,43.50,43.919998,43.09,43.490002,47900,43.490002
2014-11-21,44.119999,44.240002,43.18,43.330002,81700,43.330002
2014-11-20,41.860001,44.150002,41.84,43.619999,101900,43.619999
2014-11-19,42.09,42.360001,41.369999,42.00,41200,42.00
2014-11-18,42.700001,42.700001,42.099998,42.389999,20100,42.389999
2014-11-17,42.790001,42.82,41.889999,42.459999,31100,42.459999
2014-11-14,43.139999,43.150002,42.439999,42.57,54600,42.57
2014-11-13,43.639999,43.709999,42.98,43.099998,30800,43.099998
2014-11-12,43.189999,43.830002,43.09,43.630001,56900,43.630001
2014-11-11,43.060001,44.169998,42.66,43.509998,64700,43.509998
2014-11-10,42.57,43.16,42.259998,42.990002,63500,42.990002
2014-11-07,41.720001,42.400002,41.470001,42.380001,69200,42.380001
2014-11-06,42.400002,42.400002,41.630001,41.869999,39100,41.869999
2014-11-05,42.00,42.470001,41.599998,42.150002,40700,42.150002
2014-11-04,40.970001,41.880001,40.860001,41.650002,37000,41.650002
2014-11-03,42.049999,42.110001,40.799999,41.009998,57200,41.009998
2014-10-31,41.75,42.939999,40.84,42.18,86900,42.18
2014-10-30,36.419998,41.459999,36.419998,41.299999,189000,41.299999
2014-10-29,39.82,40.450001,38.900002,38.939999,65100,38.939999
2014-10-28,38.400002,40.369999,38.099998,40.200001,195300,40.200001
2014-10-27,38.59,38.91,37.919998,38.400002,46200,38.400002
2014-10-24,38.279999,38.810001,37.970001,38.57,53600,38.57
2014-10-23,38.529999,38.73,36.080002,38.34,72600,38.34
2014-10-22,38.27,38.91,36.27,38.09,66200,38.09
2014-10-21,38.220001,38.93,37.799999,38.639999,33200,38.639999
2014-10-20,37.450001,38.27,37.450001,38.150002,48300,38.150002
2014-10-17,38.490002,38.490002,37.00,37.52,89100,37.52
2014-10-16,37.419998,38.389999,37.25,37.93,46900,37.93
2014-10-15,36.860001,38.50,36.580002,37.93,84200,37.93
2014-10-14,36.66,37.740002,36.509998,37.099998,78300,37.099998
2014-10-13,36.470001,36.59,35.939999,36.25,60700,36.25
2014-10-10,35.950001,36.950001,35.950001,36.279999,53900,36.279999
2014-10-09,36.540001,37.139999,36.00,36.200001,130600,36.200001
2014-10-08,36.860001,37.009998,36.509998,36.669998,105000,36.669998
2014-10-07,37.189999,38.68,36.939999,37.049999,62300,37.049999
2014-10-06,38.23,38.509998,37.610001,37.610001,41900,37.610001
2014-10-03,37.84,38.610001,37.639999,38.27,36100,38.27
2014-10-02,37.110001,37.66,36.970001,37.459999,38500,37.459999
2014-10-01,37.549999,37.959999,36.900002,36.98,51300,36.98
2014-09-30,38.610001,38.610001,37.580002,37.59,58800,37.59
2014-09-29,37.880001,38.389999,37.880001,38.029999,39800,38.029999
2014-09-26,38.040001,38.529999,38.040001,38.419998,38300,38.419998
2014-09-25,38.610001,39.009998,37.77,38.009998,44400,38.009998
2014-09-24,38.75,39.060001,38.57,38.779999,21600,38.779999
2014-09-23,38.700001,39.139999,38.27,38.66,52500,38.66
2014-09-22,39.099998,39.34,38.759998,38.900002,67500,38.900002
2014-09-19,40.040001,40.040001,39.009998,39.369999,172700,39.369999
2014-09-18,40.060001,40.150002,39.549999,40.060001,17300,40.060001
2014-09-17,39.57,39.91,39.43,39.529999,41500,39.529999
2014-09-16,39.549999,39.939999,39.259998,39.700001,34600,39.700001
2014-09-15,40.00,40.00,39.34,39.50,35000,39.50
2014-09-12,40.34,40.459999,39.77,39.990002,32000,39.990002
2014-09-11,39.470001,40.400002,39.470001,40.220001,32100,40.220001
2014-09-10,39.959999,40.119999,39.110001,39.700001,41300,39.700001
2014-09-09,40.099998,40.50,39.450001,39.810001,56200,39.810001
2014-09-08,40.50,41.009998,40.139999,40.540001,23000,40.540001
2014-09-05,41.060001,41.060001,40.50,40.639999,32900,40.639999
2014-09-04,42.169998,42.189999,41.07,41.310001,44100,41.310001
2014-09-03,42.360001,42.509998,41.860001,41.93,41000,41.93
2014-09-02,42.779999,42.880001,41.849998,42.169998,41700,42.169998
2014-08-29,42.049999,42.669998,41.720001,42.52,32200,42.52
2014-08-28,42.169998,42.34,41.799999,42.099998,34200,42.099998
2014-08-27,42.610001,42.82,42.400002,42.639999,24800,42.639999
2014-08-26,42.82,43.099998,42.57,42.700001,47200,42.700001
2014-08-25,41.84,42.799999,41.84,42.77,39000,42.77
2014-08-22,41.66,42.189999,41.48,41.73,25800,41.73
2014-08-21,41.599998,41.889999,41.369999,41.66,20200,41.66
2014-08-20,41.779999,41.939999,41.220001,41.73,29500,41.73
2014-08-19,42.00,42.00,41.740002,41.860001,20700,41.860001
2014-08-18,41.599998,42.049999,41.560001,41.919998,21500,41.919998
2014-08-15,41.860001,41.900002,40.549999,41.27,48400,41.27
2014-08-14,41.27,41.709999,40.98,41.360001,25200,41.360001
2014-08-13,41.490002,41.50,41.200001,41.389999,27500,41.389999
2014-08-12,41.16,41.650002,41.16,41.380001,24400,41.380001
2014-08-11,40.720001,41.57,40.580002,41.450001,36300,41.450001
2014-08-08,40.48,40.779999,40.25,40.369999,34500,40.369999
2014-08-07,41.02,41.02,40.240002,40.509998,24500,40.509998
2014-08-06,40.240002,41.299999,40.240002,40.84,49400,40.84
2014-08-05,40.240002,41.00,40.040001,40.279999,80100,40.279999
2014-08-04,40.169998,40.490002,39.73,40.27,124700,40.27
2014-08-01,40.080002,40.790001,39.439999,40.169998,70300,40.169998
2014-07-31,39.00,40.259998,38.240002,39.91,91700,39.91
2014-07-30,39.959999,40.080002,39.310001,39.470001,41500,39.470001
2014-07-29,39.490002,39.959999,39.490002,39.580002,29100,39.580002
2014-07-28,39.639999,39.650002,39.23,39.41,23900,39.41
2014-07-25,39.939999,40.220001,39.529999,39.700001,32000,39.700001
2014-07-24,40.509998,40.549999,40.060001,40.23,30700,40.23
2014-07-23,40.52,40.560001,39.639999,40.369999,26700,40.369999
2014-07-22,39.52,40.610001,39.080002,40.380001,33000,40.380001
2014-07-21,39.610001,39.900002,39.040001,39.360001,52600,39.360001
2014-07-18,39.799999,40.669998,39.669998,39.91,81800,39.91
2014-07-17,40.279999,40.330002,39.709999,39.919998,34800,39.919998
2014-07-16,40.779999,40.779999,40.369999,40.490002,31300,40.490002
2014-07-15,42.02,42.02,40.68,40.77,64700,40.77
2014-07-14,41.779999,41.779999,41.529999,41.650002,25800,41.650002
2014-07-11,41.700001,41.709999,41.110001,41.509998,23700,41.509998
2014-07-10,41.59,42.09,41.439999,41.790001,32500,41.790001
2014-07-09,42.549999,42.66,42.34,42.400002,23400,42.400002
2014-07-08,43.099998,43.099998,42.41,42.59,41100,42.59
2014-07-07,43.639999,43.639999,43.139999,43.32,34800,43.32
2014-07-03,43.330002,43.939999,43.330002,43.610001,26500,43.610001
2014-07-02,43.880001,43.950001,43.02,43.130001,51200,43.130001
2014-07-01,43.290001,44.18,42.98,43.77,98000,43.77
2014-06-30,42.110001,43.330002,41.900002,43.290001,66000,43.290001
2014-06-27,42.060001,42.709999,42.060001,42.459999,189800,42.459999
2014-06-26,42.689999,42.790001,42.240002,42.41,28900,42.41
2014-06-25,41.759998,43.00,41.759998,42.799999,86600,42.799999
2014-06-24,42.099998,42.43,41.919998,42.009998,82700,42.009998
2014-06-23,42.599998,42.599998,42.02,42.220001,31400,42.220001
2014-06-20,42.98,43.200001,42.00,42.52,112800,42.52
2014-06-19,42.299999,43.02,42.029999,42.91,90400,42.91
2014-06-18,42.139999,42.75,42.00,42.330002,70800,42.330002
2014-06-17,42.16,42.669998,42.00,42.400002,87500,42.400002
2014-06-16,42.349998,42.349998,41.82,42.139999,61100,42.139999
2014-06-13,42.50,42.580002,41.650002,42.25,63900,42.25
2014-06-12,42.380001,42.50,41.860001,42.450001,78700,42.450001
2014-06-11,42.880001,43.080002,41.799999,42.330002,76400,42.330002
2014-06-10,42.639999,43.00,42.32,42.959999,73700,42.959999
2014-06-09,42.419998,43.400002,42.380001,42.91,105600,42.91
2014-06-06,40.080002,42.889999,40.080002,42.57,143000,42.57
2014-06-05,38.970001,40.259998,38.43,39.919998,92400,39.919998
2014-06-04,38.18,39.23,38.110001,39.00,96000,39.00
2014-06-03,39.00,39.459999,38.310001,38.540001,76200,38.540001
2014-06-02,40.380001,40.880001,39.049999,39.130001,106300,39.130001
2014-05-30,40.099998,40.779999,39.869999,40.18,134400,40.18
2014-05-29,40.459999,41.029999,39.91,39.98,172900,39.98
2014-05-28,40.220001,40.740002,39.91,40.23,97800,40.23
2014-05-27,39.669998,40.48,39.130001,40.189999,216000,40.189999
2014-05-23,39.849998,39.919998,39.240002,39.630001,112200,39.630001
2014-05-22,39.470001,40.099998,39.43,39.669998,351900,39.669998
2014-05-21,39.150002,39.950001,38.009998,39.360001,112500,39.360001
2014-05-20,39.639999,39.639999,38.439999,38.860001,92100,38.860001
2014-05-19,40.00,40.049999,39.349998,39.860001,54100,39.860001
2014-05-16,39.529999,40.040001,39.279999,39.939999,131700,39.939999
2014-05-15,39.810001,39.959999,38.790001,39.619999,113400,39.619999
2014-05-14,41.150002,41.23,39.849998,40.060001,56900,40.060001
2014-05-13,42.52,43.00,40.990002,41.27,127200,41.27
2014-05-12,41.73,43.259998,41.689999,42.77,69400,42.77
2014-05-09,40.450001,41.75,40.450001,41.41,125200,41.41
2014-05-08,41.110001,41.599998,40.669998,40.759998,39900,40.759998
2014-05-07,41.00,41.490002,40.169998,41.189999,74600,41.189999
2014-05-06,41.57,41.860001,40.790001,40.889999,77400,40.889999
2014-05-05,41.490002,42.169998,40.369999,41.75,52200,41.75
2014-05-02,42.16,42.16,40.689999,41.639999,219200,41.639999
2014-05-01,43.380001,44.00,40.599998,42.240002,217100,42.240002
2014-04-30,42.73,43.919998,42.73,43.169998,130600,43.169998
2014-04-29,42.299999,44.360001,42.299999,42.970001,168300,42.970001
2014-04-28,43.00,43.48,41.66,42.169998,80200,42.169998
2014-04-25,42.639999,42.970001,42.43,42.709999,41000,42.709999
2014-04-24,43.810001,43.830002,42.450001,42.919998,63700,42.919998
2014-04-23,43.82,44.48,43.310001,43.860001,55500,43.860001
2014-04-22,44.189999,44.34,43.790001,44.00,33500,44.00
2014-04-21,45.459999,45.459999,43.759998,44.130001,29600,44.130001
2014-04-17,43.91,44.799999,43.59,44.400002,35600,44.400002
2014-04-16,43.68,44.200001,42.950001,44.110001,54400,44.110001
2014-04-15,43.220001,43.68,42.189999,43.459999,55200,43.459999
2014-04-14,44.419998,44.419998,42.75,43.080002,72600,43.080002
2014-04-11,43.369999,44.580002,42.34,43.860001,102300,43.860001
2014-04-10,44.880001,44.880001,43.52,43.849998,120600,43.849998
2014-04-09,45.310001,45.310001,44.529999,44.790001,51200,44.790001
2014-04-08,44.599998,45.66,44.25,45.029999,44900,45.029999
2014-04-07,45.150002,45.150002,44.029999,44.59,48800,44.59
2014-04-04,46.68,46.68,44.919998,45.450001,69700,45.450001
2014-04-03,46.700001,47.110001,46.43,46.59,47700,46.59
2014-04-02,46.00,46.84,45.900002,46.799999,41700,46.799999
2014-04-01,46.439999,46.549999,45.84,46.040001,72600,46.040001
2014-03-31,45.779999,46.459999,45.75,46.25,77500,46.25
2014-03-28,45.560001,46.130001,45.349998,45.75,44500,45.75
2014-03-27,46.82,46.82,45.369999,45.66,59500,45.66
2014-03-26,47.619999,47.75,46.400002,46.68,81900,46.68
2014-03-25,47.400002,47.509998,46.82,47.209999,42100,47.209999
2014-03-24,47.18,47.43,46.799999,47.330002,64600,47.330002
2014-03-21,46.50,47.27,46.50,47.18,127400,47.18
2014-03-20,45.82,46.790001,45.709999,46.080002,147300,46.080002
2014-03-19,47.799999,47.799999,45.150002,45.669998,136700,45.669998
2014-03-18,46.599998,48.029999,46.509998,48.00,109700,48.00
2014-03-17,46.119999,46.900002,45.77,46.740002,153800,46.740002
2014-03-14,45.48,46.360001,45.290001,46.00,159800,46.00
2014-03-13,44.50,45.700001,43.950001,45.50,175400,45.50
2014-03-12,43.560001,44.540001,43.080002,44.27,188600,44.27
2014-03-11,44.049999,44.25,43.369999,43.900002,172500,43.900002
2014-03-10,44.220001,44.50,44.00,44.200001,104400,44.200001
2014-03-07,44.50,45.080002,44.209999,44.50,35600,44.50
2014-03-06,44.50,44.950001,44.139999,44.43,49200,44.43
2014-03-05,43.91,44.630001,43.189999,44.439999,63300,44.439999
2014-03-04,44.43,45.549999,44.169998,44.209999,117600,44.209999
2014-03-03,43.98,44.639999,43.689999,44.099998,75800,44.099998
2014-02-28,44.240002,44.84,43.369999,44.220001,69200,44.220001
2014-02-27,44.18,44.419998,43.849998,44.27,57500,44.27
2014-02-26,44.25,44.380001,43.830002,44.23,60000,44.23
2014-02-25,44.279999,44.630001,43.709999,44.25,53400,44.25
2014-02-24,44.389999,45.220001,43.77,44.139999,99900,44.139999
2014-02-21,44.360001,44.580002,42.669998,44.119999,303700,44.119999
2014-02-20,50.139999,50.139999,44.02,44.299999,203900,44.299999
2014-02-19,50.200001,50.630001,49.540001,49.970001,47900,49.970001
2014-02-18,51.279999,51.919998,50.00,50.369999,112100,50.369999
2014-02-14,51.139999,51.27,50.41,51.060001,56100,51.060001
2014-02-13,50.560001,51.360001,50.299999,51.09,69800,51.09
2014-02-12,49.02,50.610001,49.02,50.580002,58400,50.580002
2014-02-11,47.619999,49.040001,47.48,48.82,45700,48.82
2014-02-10,48.290001,48.290001,47.25,47.68,59700,47.68
2014-02-07,48.540001,48.560001,47.740002,48.18,47700,48.18
2014-02-06,47.459999,49.23,47.169998,48.43,52700,48.43
2014-02-05,47.240002,47.560001,46.73,47.23,31600,47.23
2014-02-04,47.82,47.93,47.029999,47.360001,48500,47.360001
2014-02-03,49.009998,50.150002,47.450001,47.73,66900,47.73
2014-01-31,48.970001,49.84,48.77,49.009998,75400,49.009998
2014-01-30,50.09,50.23,49.369999,49.509998,66500,49.509998
2014-01-29,49.900002,50.150002,49.450001,49.490002,45100,49.490002
2014-01-28,50.080002,50.34,49.529999,50.009998,87300,50.009998
2014-01-27,51.290001,51.360001,49.630001,49.959999,102700,49.959999
2014-01-24,51.799999,52.200001,50.77,51.299999,99200,51.299999
2014-01-23,51.98,52.009998,51.330002,51.779999,32800,51.779999
2014-01-22,51.650002,52.32,51.580002,52.09,36500,52.09
2014-01-21,52.540001,52.610001,51.290001,51.450001,57700,51.450001
2014-01-17,51.779999,52.389999,51.599998,51.939999,37500,51.939999
2014-01-16,51.959999,52.220001,51.18,51.700001,50100,51.700001
2014-01-15,51.50,51.959999,51.299999,51.610001,73100,51.610001
2014-01-14,50.259998,52.049999,49.91,51.240002,80300,51.240002
2014-01-13,50.349998,50.549999,49.060001,49.709999,73600,49.709999
2014-01-10,48.25,51.389999,47.639999,50.00,237600,50.00
2014-01-09,47.529999,48.25,47.25,48.16,54100,48.16
2014-01-08,47.610001,47.669998,46.900002,47.48,46300,47.48
2014-01-07,47.75,48.150002,47.189999,47.779999,52600,47.779999
