Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,67.57,67.75,66.379997,66.50,1756700,64.615233
2014-12-30,68.019997,68.129997,67.25,67.25,1725500,65.343976
2014-12-29,68.589996,68.940002,67.739998,68.190002,2054200,66.257336
2014-12-26,68.800003,68.989998,68.50,68.760002,729600,66.811181
2014-12-24,68.940002,69.25,68.379997,68.82,1179000,66.869478
2014-12-23,69.139999,69.400002,68.459999,68.650002,1465600,66.704298
2014-12-22,68.199997,68.75,68.010002,68.629997,1771800,66.684861
2014-12-19,67.550003,69.32,67.550003,68.400002,4496800,66.461384
2014-12-18,66.169998,67.610001,65.989998,67.610001,3218900,65.693773
2014-12-17,63.290001,65.169998,63.23,65.010002,2533500,63.167465
2014-12-16,63.400002,64.940002,62.869999,63.27,1929700,61.476779
2014-12-15,64.68,64.849998,63.139999,63.709999,2128100,61.904307
2014-12-12,65.080002,65.239998,63.939999,64.040001,2238300,62.224956
2014-12-11,65.580002,66.190002,65.120003,65.50,2172600,63.643575
2014-12-10,65.559998,66.07,65.099998,65.220001,2262400,63.371512
2014-12-09,65.220001,66.230003,64.599998,65.760002,3074000,63.896208
2014-12-08,66.220001,66.870003,65.629997,66.239998,1825800,64.3626
2014-12-05,66.540001,66.599998,65.50,66.400002,2747600,64.518068
2014-12-04,66.900002,67.160004,65.849998,66.089996,2161100,64.216849
2014-12-03,67.209999,67.529999,65.809998,66.849998,4069100,64.955311
2014-12-02,66.25,67.870003,65.699997,67.540001,3076800,65.625757
2014-12-01,65.809998,66.489998,65.220001,65.940002,2573200,64.071107
2014-11-28,66.510002,66.68,65.660004,66.110001,1183800,64.236287
2014-11-26,66.07,66.279999,65.309998,65.849998,1670300,63.983654
2014-11-25,66.019997,66.470001,65.660004,65.989998,2250700,64.119685
2014-11-24,65.330002,66.43,65.050003,66.029999,1986400,64.158552
2014-11-21,66.519997,66.519997,64.739998,64.940002,4190800,63.099449
2014-11-20,64.300003,65.550003,64.110001,65.540001,2287700,63.682442
2014-11-19,64.43,64.720001,63.810001,64.620003,2045800,62.788519
2014-11-18,64.129997,65.00,64.040001,64.650002,2853000,62.817668
2014-11-17,62.57,64.32,62.349998,63.990002,3397900,62.176374
2014-11-14,62.00,63.040001,61.939999,62.869999,1745500,61.088114
2014-11-13,62.32,62.610001,61.669998,62.110001,1251500,60.349656
2014-11-12,61.75,62.59,61.580002,62.32,1884200,60.553703
2014-11-11,61.970001,61.990002,61.439999,61.810001,1845000,60.05816
2014-11-10,61.619999,62.029999,61.50,61.77,2192500,60.019292
2014-11-07,62.439999,62.919998,61.209999,61.560001,3931500,59.815245
2014-11-06,63.369999,63.580002,62.189999,62.529999,3840000,60.757751
2014-11-05,64.010002,64.290001,63.18,63.75,2614400,61.418479
2014-11-04,63.77,65.00,63.77,63.889999,4683600,61.553359
2014-11-03,62.93,64.879997,62.709999,64.169998,4963400,61.823117
2014-10-31,61.169998,62.860001,61.00,62.830002,5946000,60.532128
2014-10-30,58.939999,60.470001,58.900002,60.150002,3183000,57.950143
2014-10-29,59.560001,60.619999,59.169998,60.23,2954000,58.027215
2014-10-28,58.27,59.66,58.27,59.470001,3043800,57.295012
2014-10-27,57.700001,59.48,57.200001,58.740002,3252700,56.591711
2014-10-24,56.740002,58.560001,56.360001,58.360001,4481900,56.225608
2014-10-23,55.759998,56.759998,55.470001,56.52,3630200,54.452902
2014-10-22,55.279999,55.549999,54.169998,54.279999,1876000,52.294823
2014-10-21,54.389999,55.279999,54.060001,55.209999,2052800,53.190811
2014-10-20,52.450001,53.900002,52.41,53.849998,2290300,51.880549
2014-10-17,52.860001,53.610001,52.540001,52.950001,2018500,51.013467
2014-10-16,51.18,52.740002,51.07,52.380001,3184000,50.464314
2014-10-15,51.419998,52.75,50.439999,51.959999,5456100,50.059673
2014-10-14,53.490002,53.810001,52.400002,52.560001,3612600,50.637731
2014-10-13,53.779999,54.509998,52.77,52.98,4587300,51.042369
2014-10-10,56.34,56.830002,54.900002,54.939999,4447500,52.930685
2014-10-09,56.77,57.439999,56.080002,56.23,3328100,54.173507
2014-10-08,55.25,57.119999,54.380001,57.060001,3948700,54.973153
2014-10-07,55.73,56.360001,55.209999,55.25,2731600,53.229349
2014-10-06,56.450001,56.900002,55.689999,56.16,2909900,54.106067
2014-10-03,55.799999,56.73,55.650002,56.080002,2388600,54.028995
2014-10-02,55.23,55.759998,54.380001,55.52,2314300,53.489474
2014-10-01,57.060001,57.25,54.830002,55.080002,3999100,53.065568
2014-09-30,57.209999,57.790001,56.740002,57.27,2311600,55.175472
2014-09-29,56.23,57.310001,55.779999,57.25,2122200,55.156203
2014-09-26,56.32,57.139999,56.18,56.77,1591800,54.693758
2014-09-25,57.349998,57.509998,55.959999,56.259998,2489900,54.202409
2014-09-24,57.00,57.610001,56.450001,57.439999,2203900,55.339253
2014-09-23,57.580002,57.759998,56.740002,56.790001,2655600,54.713027
2014-09-22,57.900002,58.439999,57.290001,57.599998,2418300,55.493401
2014-09-19,59.900002,59.950001,58.290001,58.310001,4673100,56.177437
2014-09-18,59.009998,59.98,58.91,59.790001,2959000,57.603309
2014-09-17,59.16,59.419998,58.220001,58.98,4075100,56.822931
2014-09-16,58.68,59.610001,57.860001,59.25,4139500,57.083057
2014-09-15,61.150002,61.25,58.790001,58.84,3891100,56.688052
2014-09-12,61.360001,61.700001,59.919998,61.009998,4207300,58.778687
2014-09-11,61.07,61.299999,59.919998,60.869999,2470700,58.643808
2014-09-10,62.709999,62.709999,60.639999,61.259998,1431800,59.019544
2014-09-09,61.18,61.669998,60.790001,60.830002,2127800,58.605274
2014-09-08,62.82,62.82,61.00,61.290001,1292200,59.048449
2014-09-05,60.790001,61.369999,60.529999,61.32,1941700,59.077351
2014-09-04,61.700001,61.830002,60.630001,60.959999,2892900,58.730517
2014-09-03,61.900002,62.07,61.400002,61.700001,2740700,59.443454
2014-09-02,62.900002,63.27,61.209999,61.82,3370600,59.559065
2014-08-29,62.240002,62.950001,61.889999,62.580002,1776000,60.291271
2014-08-28,61.139999,62.189999,60.880001,62.09,2015700,59.81919
2014-08-27,60.630001,61.580002,60.630001,61.18,1943500,58.942472
2014-08-26,60.880001,61.16,60.509998,60.66,1478300,58.441489
2014-08-25,60.580002,61.130001,60.459999,60.959999,1364500,58.730517
2014-08-22,60.490002,60.740002,60.23,60.369999,1226400,58.162095
2014-08-21,59.98,60.490002,59.740002,60.43,1447200,58.219902
2014-08-20,59.580002,60.16,59.52,59.830002,1445500,57.641847
2014-08-19,59.110001,59.73,59.099998,59.59,1505000,57.410623
2014-08-18,59.060001,59.439999,58.849998,59.220001,1444400,57.054156
2014-08-15,58.849998,59.00,58.16,58.75,2358400,56.601344
2014-08-14,57.73,58.689999,57.66,58.389999,1951700,56.254509
2014-08-13,58.389999,58.389999,56.790001,57.93,1924500,55.811334
2014-08-12,57.00,57.119999,56.27,56.799999,1356900,54.72266
2014-08-11,57.209999,57.639999,56.810001,57.00,1236200,54.915346
2014-08-08,56.869999,57.200001,56.209999,56.970001,2005700,54.886445
2014-08-07,57.380001,57.400002,56.529999,56.84,2744900,54.761198
2014-08-06,56.779999,57.130001,56.049999,56.939999,3584800,54.857539
2014-08-05,58.59,59.00,57.130001,57.380001,2397100,54.867174
2014-08-04,58.09,58.919998,57.66,58.700001,2225600,56.129368
2014-08-01,58.380001,58.950001,57.41,58.189999,2999100,55.6417
