Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,9.00,9.60,9.00,9.02,52400,9.02
2015-09-03,9.49,9.65,9.05,9.12,12000,9.12
2015-09-02,9.77,10.68,9.23,9.47,14600,9.47
2015-09-01,10.65,10.74,9.43,9.69,10400,9.69
2015-08-31,10.75,10.75,9.73,9.76,11300,9.76
2015-08-28,9.50,10.53,9.50,9.93,10000,9.93
2015-08-27,9.25,9.73,9.17,9.59,9200,9.59
2015-08-26,9.78,9.90,8.98,9.07,65400,9.07
2015-08-25,10.40,10.69,9.49,9.78,23600,9.78
2015-08-24,11.50,12.15,10.32,10.32,11600,10.32
2015-08-21,11.50,12.15,11.43,11.56,10400,11.56
2015-08-20,11.69,12.05,11.37,11.52,7000,11.52
2015-08-19,12.70,12.70,11.52,11.90,6800,11.90
2015-08-18,12.06,12.32,12.00,12.29,6300,12.29
2015-08-17,12.10,12.95,12.04,12.17,3500,12.17
2015-08-14,11.68,12.20,11.62,12.11,4500,12.11
2015-08-13,11.97,12.20,11.90,12.20,3500,12.20
2015-08-12,11.84,11.97,11.57,11.97,4700,11.97
2015-08-11,11.72,11.96,11.52,11.81,3000,11.81
2015-08-10,11.95,11.95,11.51,11.79,4000,11.79
2015-08-07,11.67,11.94,11.55,11.94,7300,11.94
2015-08-06,11.65,11.94,11.50,11.75,9500,11.75
2015-08-05,11.61,11.74,11.51,11.58,8100,11.58
2015-08-04,11.51,11.72,11.51,11.51,18500,11.51
2015-08-03,11.84,11.84,11.55,11.60,4800,11.60
2015-07-31,11.75,12.10,11.66,11.81,7200,11.81
2015-07-30,11.69,11.73,11.50,11.57,7500,11.57
2015-07-29,11.51,12.18,11.50,11.56,26800,11.56
2015-07-28,11.50,12.24,11.46,11.56,23200,11.56
2015-07-27,11.64,11.96,10.95,11.50,37200,11.50
2015-07-24,12.21,12.59,11.63,11.84,21900,11.84
2015-07-23,12.65,13.38,11.77,12.04,12800,12.04
2015-07-22,13.05,13.05,12.55,12.55,24000,12.55
2015-07-21,13.00,13.42,13.00,13.10,12600,13.10
2015-07-20,13.14,13.37,13.01,13.02,11200,13.02
2015-07-17,13.40,13.43,13.11,13.21,9700,13.21
2015-07-16,13.58,13.70,13.17,13.40,15800,13.40
2015-07-15,13.25,13.59,13.24,13.59,6400,13.59
2015-07-14,13.30,13.67,13.10,13.38,7600,13.38
2015-07-13,13.30,13.30,13.01,13.29,18000,13.29
2015-07-10,13.27,13.75,13.26,13.30,2500,13.30
2015-07-09,13.77,13.77,13.26,13.37,4200,13.37
2015-07-08,13.60,13.60,13.30,13.55,3600,13.55
2015-07-07,13.76,13.76,13.51,13.55,3300,13.55
2015-07-06,13.15,13.79,13.15,13.50,6100,13.50
2015-07-02,13.47,13.47,13.25,13.35,19400,13.35
2015-07-01,13.74,13.74,13.55,13.58,15300,13.58
2015-06-30,13.72,13.90,13.68,13.70,3400,13.70
2015-06-29,13.87,13.97,13.65,13.68,8700,13.68
2015-06-26,13.74,14.05,13.68,14.05,10200,14.05
2015-06-25,13.64,13.86,13.62,13.67,9700,13.67
2015-06-24,13.78,13.83,13.70,13.70,10500,13.70
2015-06-23,13.81,13.89,13.67,13.85,13000,13.85
2015-06-22,13.78,13.90,13.75,13.87,15900,13.87
2015-06-19,13.68,13.91,13.64,13.88,8400,13.88
2015-06-18,13.69,13.74,13.65,13.65,10200,13.65
2015-06-17,13.90,13.90,13.70,13.70,4600,13.70
2015-06-16,13.65,14.02,13.64,13.86,18200,13.86
2015-06-15,14.05,14.05,13.66,13.85,16300,13.85
2015-06-12,13.97,14.23,13.87,14.00,6900,14.00
2015-06-11,14.05,14.24,13.70,13.90,12300,13.90
2015-06-10,14.09,14.28,14.05,14.06,6400,14.06
2015-06-09,14.15,14.22,14.02,14.07,6800,14.07
2015-06-08,14.37,14.37,14.00,14.01,8900,14.01
2015-06-05,14.26,14.70,14.04,14.34,26000,14.34
2015-06-04,14.35,14.41,14.19,14.20,6400,14.20
2015-06-03,14.48,14.50,14.25,14.50,4300,14.50
2015-06-02,14.32,14.49,14.17,14.33,12500,14.33
2015-06-01,14.39,14.50,14.22,14.48,12700,14.48
2015-05-29,14.30,14.48,14.21,14.48,6100,14.48
2015-05-28,14.17,14.44,14.17,14.43,9700,14.43
2015-05-27,14.32,14.39,14.20,14.22,11600,14.22
2015-05-26,14.21,14.33,14.03,14.25,35000,14.25
2015-05-22,14.20,14.38,14.15,14.38,20500,14.38
2015-05-21,14.43,14.49,14.10,14.21,12000,14.21
2015-05-20,14.50,14.63,14.40,14.63,6400,14.63
2015-05-19,14.65,14.65,14.28,14.47,10300,14.47
2015-05-18,14.59,14.64,14.37,14.63,6100,14.63
2015-05-15,14.42,14.74,14.36,14.57,14000,14.57
2015-05-14,14.58,14.86,14.55,14.67,11200,14.67
2015-05-13,14.65,14.73,14.49,14.59,11700,14.59
2015-05-12,14.65,14.66,14.25,14.61,6300,14.61
