Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,6.85,7.12,6.85,6.99,220500,6.99
2015-09-03,6.92,6.95,6.80,6.89,233500,6.89
2015-09-02,7.00,7.02,6.76,6.87,318900,6.87
2015-09-01,7.00,7.14,6.80,6.93,568400,6.93
2015-08-31,7.34,7.38,7.09,7.11,216600,7.11
2015-08-28,7.26,7.43,7.22,7.29,120000,7.29
2015-08-27,7.46,7.50,7.21,7.30,363800,7.30
2015-08-26,7.28,7.52,7.28,7.43,161400,7.43
2015-08-25,7.65,7.65,7.26,7.27,297200,7.27
2015-08-24,7.68,7.70,7.06,7.49,286600,7.49
2015-08-21,8.04,8.20,7.78,7.79,270600,7.79
2015-08-20,8.06,8.25,8.02,8.04,133200,8.04
2015-08-19,8.21,8.28,8.06,8.14,154200,8.14
2015-08-18,8.28,8.40,8.12,8.18,177600,8.18
2015-08-17,8.15,8.36,8.12,8.36,221400,8.36
2015-08-14,8.25,8.26,8.12,8.16,86000,8.16
2015-08-13,8.39,8.39,8.09,8.29,170600,8.29
2015-08-12,8.48,8.65,8.36,8.64,272500,8.39
2015-08-11,8.56,8.57,8.35,8.51,194100,8.263762
2015-08-10,8.57,8.59,8.38,8.56,181700,8.312315
2015-08-07,8.46,8.51,8.38,8.50,157800,8.254051
2015-08-06,8.70,8.70,8.27,8.47,316500,8.224919
2015-08-05,8.37,8.91,8.37,8.67,257000,8.419132
2015-08-04,8.09,9.09,8.05,8.38,625800,8.137523
2015-08-03,7.88,8.01,7.60,7.80,279400,7.574306
2015-07-31,7.80,8.22,7.80,7.88,336400,7.651991
2015-07-30,8.17,8.17,7.76,7.78,248900,7.554884
2015-07-29,7.75,8.14,7.70,8.12,172600,7.885046
2015-07-28,7.80,7.88,7.61,7.74,299900,7.516041
2015-07-27,8.09,8.27,7.76,7.80,391900,7.574306
2015-07-24,8.42,8.58,8.00,8.09,619300,7.855914
2015-07-23,8.80,8.87,8.45,8.46,428600,8.215208
2015-07-22,8.93,8.98,8.75,8.88,273200,8.623056
2015-07-21,9.10,9.25,8.92,8.97,480300,8.710452
2015-07-20,9.07,9.17,9.02,9.11,213700,8.8464
2015-07-17,9.15,9.18,8.90,9.11,318200,8.8464
2015-07-16,9.04,9.21,9.04,9.15,108100,8.885243
2015-07-15,9.28,9.28,9.03,9.06,256900,8.797848
2015-07-14,8.94,9.39,8.92,9.23,167100,8.962928
2015-07-13,8.87,9.02,8.80,8.98,184200,8.720162
2015-07-10,8.76,8.87,8.76,8.82,144400,8.564791
2015-07-09,8.79,8.91,8.76,8.81,206200,8.555081
2015-07-08,8.81,8.81,8.62,8.76,134500,8.506528
2015-07-07,8.73,8.88,8.58,8.80,215400,8.54537
2015-07-06,8.54,8.92,8.54,8.73,160000,8.477395
2015-07-02,8.91,8.91,8.65,8.69,194400,8.438553
2015-07-01,8.42,8.89,8.33,8.88,264700,8.623056
2015-06-30,8.52,8.69,8.35,8.35,355300,8.108392
2015-06-29,8.72,8.72,8.52,8.58,178300,8.331736
2015-06-26,8.61,8.77,8.59,8.73,161800,8.477395
2015-06-25,8.70,8.80,8.61,8.62,185900,8.370579
2015-06-24,8.89,8.96,8.70,8.72,163400,8.467685
2015-06-23,8.81,9.01,8.78,8.93,107200,8.671609
2015-06-22,8.97,9.07,8.83,8.86,178900,8.603634
2015-06-19,9.00,9.12,8.97,8.97,171400,8.710452
2015-06-18,9.20,9.30,8.96,9.04,151100,8.778426
2015-06-17,9.09,9.38,9.09,9.16,236600,8.894953
2015-06-16,8.67,9.12,8.67,9.08,314700,8.817268
2015-06-15,8.66,8.73,8.59,8.71,158000,8.457974
2015-06-12,9.00,9.00,8.65,8.76,665800,8.506528
2015-06-11,9.18,9.28,9.00,9.08,186100,8.817268
2015-06-10,9.11,9.25,9.00,9.18,156400,8.914375
2015-06-09,9.14,9.16,9.01,9.05,155700,8.788137
2015-06-08,9.35,9.38,8.86,9.11,512900,8.8464
2015-06-05,9.55,9.58,9.35,9.38,142500,9.108588
2015-06-04,9.58,9.60,9.45,9.59,346400,9.312512
2015-06-03,9.70,9.70,9.54,9.58,152500,9.302801
2015-06-02,9.56,9.68,9.54,9.68,194200,9.399908
2015-06-01,9.59,9.69,9.51,9.54,339700,9.263958
2015-05-29,9.75,9.80,9.55,9.69,381000,9.409618
2015-05-28,9.80,9.88,9.79,9.83,327500,9.545567
2015-05-27,9.88,9.96,9.63,9.89,675100,9.603831
2015-05-26,10.71,10.71,9.76,10.05,1276400,9.759201
2015-05-22,10.56,10.73,10.55,10.65,136500,10.34184
2015-05-21,10.73,10.73,10.51,10.54,141900,10.235023
2015-05-20,10.83,10.88,10.55,10.68,207900,10.370972
2015-05-19,10.92,10.99,10.75,10.89,191000,10.574896
2015-05-18,10.90,11.04,10.90,10.92,277100,10.604028
2015-05-15,10.97,11.00,10.77,10.85,190900,10.536054
2015-05-14,10.98,11.03,10.91,10.96,221400,10.64287
2015-05-13,10.87,10.92,10.80,10.88,197800,10.565185
2015-05-12,10.76,10.89,10.63,10.82,231700,10.506921
2015-05-11,10.61,11.05,10.61,11.01,636600,10.448658
2015-05-08,10.70,10.70,10.52,10.61,132000,10.069051
2015-05-07,10.51,10.72,10.45,10.51,147400,9.97415
2015-05-06,10.75,10.75,10.54,10.62,161100,10.078541
2015-05-05,10.67,10.73,10.60,10.69,155800,10.144972
2015-05-04,10.50,10.67,10.50,10.66,190100,10.116502
2015-05-01,10.60,10.60,10.41,10.51,150800,9.97415
2015-04-30,10.76,10.78,10.53,10.55,346400,10.012111
2015-04-29,10.50,10.78,10.36,10.76,337000,10.211404
2015-04-28,10.54,10.54,10.27,10.41,135700,9.879248
2015-04-27,10.62,10.62,10.35,10.52,270400,9.98364
2015-04-24,10.45,10.55,10.42,10.51,176200,9.97415
2015-04-23,10.11,10.49,10.10,10.46,331400,9.926699
2015-04-22,10.26,10.30,10.00,10.10,255000,9.585054
2015-04-21,10.11,10.23,10.11,10.18,122700,9.660975
2015-04-20,10.31,10.33,10.12,10.15,191100,9.632504
2015-04-17,10.30,10.30,10.15,10.18,210800,9.660975
2015-04-16,10.30,10.35,10.17,10.28,250000,9.755876
2015-04-15,10.18,10.38,10.18,10.30,203800,9.774857
2015-04-14,10.29,10.33,10.11,10.24,190200,9.717915
2015-04-13,10.35,10.37,10.12,10.22,338300,9.698936
2015-04-10,10.27,10.32,10.17,10.25,147800,9.727406
2015-04-09,10.33,10.42,10.10,10.20,246900,9.679955
2015-04-08,10.40,10.45,10.30,10.33,227500,9.803327
2015-04-07,10.35,10.43,10.26,10.35,205200,9.822308
2015-04-06,10.57,10.57,10.00,10.26,413700,9.736896
2015-04-02,9.51,10.38,9.39,10.34,884300,9.812817
2015-04-01,9.30,9.50,9.30,9.50,206900,9.015644
2015-03-31,9.55,9.59,9.23,9.26,308500,8.787881
2015-03-30,9.60,9.67,9.50,9.55,208600,9.063095
2015-03-27,9.67,9.80,9.56,9.58,105700,9.091566
2015-03-26,9.77,9.82,9.64,9.66,103800,9.167487
2015-03-25,9.70,9.82,9.65,9.77,99300,9.271879
2015-03-24,9.75,9.75,9.57,9.66,119700,9.167487
2015-03-23,9.65,9.74,9.51,9.67,172200,9.176977
2015-03-20,9.63,9.77,9.52,9.65,213100,9.157996
2015-03-19,9.93,9.93,9.55,9.59,254000,9.101056
2015-03-18,10.07,10.12,9.84,9.85,217400,9.3478
2015-03-17,10.00,10.19,9.97,10.11,173400,9.594543
2015-03-16,10.23,10.23,10.00,10.00,136100,9.490152
2015-03-13,10.17,10.18,10.01,10.12,159000,9.604034
2015-03-12,10.23,10.41,10.20,10.38,178100,9.623014
2015-03-11,10.30,10.46,10.15,10.20,131300,9.456141
2015-03-10,10.38,10.38,10.20,10.30,108400,9.548848
2015-03-09,10.34,10.46,10.32,10.37,96800,9.613743
2015-03-06,10.42,10.44,10.31,10.31,62900,9.558119
2015-03-05,10.30,10.45,10.25,10.33,75300,9.57666
2015-03-04,10.42,10.54,10.27,10.30,180900,9.548848
2015-03-03,10.40,10.51,10.29,10.45,98600,9.687909
2015-03-02,10.47,10.47,10.27,10.42,98200,9.660097
2015-02-27,10.18,10.50,10.14,10.45,182600,9.687909
2015-02-26,10.25,10.31,10.10,10.12,89700,9.381975
2015-02-25,10.35,10.51,10.23,10.28,110500,9.530307
2015-02-24,10.50,10.69,10.32,10.39,205800,9.632285
2015-02-23,10.75,10.75,10.36,10.53,218100,9.762075
2015-02-20,10.74,10.85,10.66,10.80,127500,10.012385
2015-02-19,10.56,10.92,10.42,10.79,264600,10.003114
2015-02-18,10.58,10.63,10.03,10.55,408000,9.780617
2015-02-17,10.02,10.80,10.01,10.59,837300,9.817699
2015-02-13,9.76,10.03,9.72,9.92,249900,9.196561
2015-02-12,9.77,9.80,9.70,9.79,137800,9.076041
2015-02-11,9.76,9.81,9.64,9.77,223100,9.0575
2015-02-10,9.80,9.85,9.64,9.76,112300,9.048229
2015-02-09,9.91,9.94,9.70,9.76,132100,9.048229
2015-02-06,9.80,9.95,9.78,9.94,102500,9.215102
2015-02-05,9.77,9.89,9.75,9.81,94000,9.094583
2015-02-04,9.73,9.89,9.68,9.76,104300,9.048229
2015-02-03,9.59,9.83,9.59,9.77,134700,9.0575
2015-02-02,9.55,9.59,9.47,9.57,140900,8.872085
2015-01-30,9.21,9.56,9.16,9.48,258200,8.788648
2015-01-29,9.42,9.53,9.27,9.30,141600,8.621776
2015-01-28,9.50,9.55,9.36,9.39,123800,8.705212
2015-01-27,9.49,9.56,9.45,9.50,71500,8.80719
2015-01-26,9.43,9.55,9.42,9.51,101800,8.816461
2015-01-23,9.40,9.51,9.38,9.48,107300,8.788648
2015-01-22,9.41,9.47,9.31,9.45,124700,8.760836
2015-01-21,9.00,9.43,9.00,9.40,159400,8.714483
2015-01-20,9.43,9.46,9.02,9.06,374800,8.399279
2015-01-16,9.45,9.58,9.43,9.47,253800,8.779378
2015-01-15,9.53,9.73,9.48,9.50,252200,8.80719
2015-01-14,9.72,9.82,9.50,9.53,399600,8.835002
2015-01-13,9.81,9.99,9.72,9.81,250300,9.094583
2015-01-12,9.82,9.94,9.77,9.81,129400,9.094583
2015-01-09,10.08,10.16,9.80,9.83,198700,9.113124
2015-01-08,10.19,10.21,10.04,10.11,132400,9.372704
2015-01-07,9.93,10.13,9.91,10.10,115200,9.363434
2015-01-06,10.04,10.10,9.80,9.89,202900,9.168749
2015-01-05,9.90,10.13,9.83,10.02,165200,9.289268
2015-01-02,10.02,10.15,9.86,9.96,188000,9.233644
