Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,21.370001,21.639999,21.16,21.549999,29700,21.102006
2014-12-30,21.780001,21.940001,21.00,21.200001,92600,20.759283
2014-12-29,21.809999,21.91,21.719999,21.75,33400,21.297849
2014-12-26,21.809999,21.92,21.700001,21.74,9100,21.288057
2014-12-24,21.75,21.799999,21.610001,21.75,8100,21.297849
2014-12-23,21.620001,22.040001,21.469999,21.620001,27000,21.170552
2014-12-22,21.610001,22.030001,21.389999,21.620001,26200,21.170552
2014-12-19,21.74,21.870001,21.42,21.49,67500,21.043254
2014-12-18,22.00,22.25,21.700001,21.84,29100,21.385978
2014-12-17,21.23,21.950001,21.23,21.84,31100,21.385978
2014-12-16,21.049999,21.52,21.00,21.23,16500,20.788659
2014-12-15,21.01,21.24,21.01,21.01,24600,20.573233
2014-12-12,21.299999,21.309999,21.00,21.15,16400,20.710322
2014-12-11,21.360001,21.719999,21.360001,21.469999,10500,21.023669
2014-12-10,21.690001,22.040001,21.299999,21.32,19400,20.876788
2014-12-09,21.40,21.90,21.25,21.74,17000,21.288057
2014-12-08,21.41,21.690001,21.40,21.52,12900,21.072631
2014-12-05,21.16,21.719999,21.16,21.41,24500,20.964917
2014-12-04,21.33,21.34,20.959999,21.27,15700,20.729908
2014-12-03,20.76,21.110001,20.52,21.00,21800,20.466763
2014-12-02,20.799999,21.02,20.76,20.93,18100,20.398541
2014-12-01,20.85,21.059999,20.82,20.83,35000,20.30108
2014-11-28,20.940001,21.120001,20.799999,20.82,8300,20.291333
2014-11-26,21.08,21.49,21.030001,21.120001,23700,20.583717
2014-11-25,20.84,21.120001,20.84,21.01,13200,20.476509
2014-11-24,20.799999,20.969999,20.67,20.93,13400,20.398541
2014-11-21,20.969999,20.969999,20.67,20.75,15500,20.223111
2014-11-20,20.65,20.77,20.549999,20.76,16700,20.232857
2014-11-19,20.75,20.75,20.549999,20.60,16000,20.07692
2014-11-18,20.75,20.82,20.700001,20.75,11300,20.223111
2014-11-17,21.030001,21.030001,20.75,20.75,9400,20.223111
2014-11-14,21.00,21.110001,20.879999,20.969999,9600,20.437524
2014-11-13,21.059999,21.059999,20.92,20.940001,18400,20.408287
2014-11-12,20.959999,21.040001,20.83,20.959999,14100,20.427778
2014-11-11,21.07,21.07,20.92,21.02,18200,20.486256
2014-11-10,20.91,21.07,20.91,21.07,23700,20.534985
2014-11-07,21.15,21.15,21.00,21.10,32100,20.408286
2014-11-06,21.16,21.280001,21.030001,21.10,30400,20.408286
2014-11-05,21.26,22.08,20.950001,21.02,27200,20.330909
2014-11-04,21.049999,21.23,21.01,21.209999,15700,20.514679
2014-11-03,21.84,21.84,21.00,21.17,23400,20.475991
2014-10-31,22.15,22.15,21.280001,21.48,62000,20.775828
2014-10-30,21.85,21.99,21.700001,21.950001,16700,21.230421
2014-10-29,21.42,21.73,21.120001,21.559999,16400,20.853205
2014-10-28,21.08,21.57,21.07,21.450001,18100,20.746812
2014-10-27,20.92,21.23,20.92,21.120001,6500,20.427631
2014-10-24,21.290001,21.35,21.02,21.219999,6800,20.524351
2014-10-23,21.43,21.83,20.92,21.309999,19900,20.611401
