Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.73,24.90,24.639999,24.90,4200,23.720157
2014-12-30,24.610001,24.690001,24.610001,24.690001,9100,23.520108
2014-12-29,24.360001,24.639999,24.360001,24.58,5600,23.41532
2014-12-26,24.35,24.50,24.35,24.50,5700,23.33911
2014-12-24,24.379999,24.379999,24.23,24.34,1700,23.186692
2014-12-23,24.50,24.57,24.18,24.549999,6600,23.386741
2014-12-22,24.129999,24.549999,24.129999,24.440001,8400,23.281954
2014-12-19,24.33,24.33,24.08,24.26,22700,23.110483
2014-12-18,24.540001,24.540001,24.110001,24.110001,12800,22.96759
2014-12-17,24.23,24.389999,24.23,24.32,4800,23.167639
2014-12-16,24.18,24.450001,24.18,24.290001,7800,23.139062
2014-12-15,24.65,24.65,24.26,24.26,8700,23.110483
2014-12-12,24.360001,24.50,24.200001,24.360001,8000,23.205745
2014-12-11,24.469999,24.620001,24.360001,24.450001,5300,23.29148
2014-12-10,24.10,24.450001,24.10,24.370001,10600,23.215271
2014-12-09,24.35,24.49,24.09,24.09,18500,22.948538
2014-12-08,24.290001,24.59,24.280001,24.360001,19500,23.205745
2014-12-05,24.129999,24.59,24.129999,24.50,9900,23.33911
2014-12-04,24.32,24.969999,24.00,24.389999,18700,23.234322
2014-12-03,24.450001,24.49,24.10,24.26,12800,23.110483
2014-12-02,24.50,24.51,24.219999,24.43,10100,23.272428
2014-12-01,24.85,24.85,24.15,24.379999,8900,23.224796
2014-11-28,24.610001,24.889999,24.59,24.780001,3000,23.605844
2014-11-26,24.65,24.90,24.60,24.84,8300,23.663
2014-11-25,25.00,25.00,24.889999,24.969999,5400,23.400077
2014-11-24,24.959999,24.959999,24.719999,24.85,4400,23.287622
2014-11-21,24.799999,25.00,24.719999,24.889999,7900,23.325107
2014-11-20,25.00,25.00,24.790001,24.860001,11900,23.296994
2014-11-19,25.00,25.00,24.85,24.85,10800,23.287622
2014-11-18,24.879999,24.969999,24.860001,24.879999,7400,23.315735
2014-11-17,25.049999,25.049999,24.85,25.00,7200,23.428191
2014-11-14,25.07,25.07,24.91,24.91,10700,23.34385
2014-11-13,25.07,25.07,24.969999,25.049999,9600,23.475047
2014-11-12,25.16,25.16,24.93,25.07,8700,23.49379
2014-11-11,25.00,25.17,24.98,25.17,5000,23.587503
2014-11-10,25.07,25.18,24.879999,24.99,9400,23.41882
2014-11-07,24.969999,25.040001,24.91,25.00,7600,23.428191
2014-11-06,24.99,24.99,24.66,24.889999,4100,23.325107
2014-11-05,24.91,24.93,24.799999,24.93,3600,23.362593
2014-11-04,24.809999,24.879999,24.67,24.74,12800,23.184538
2014-11-03,24.860001,24.879999,24.74,24.879999,12100,23.315735
2014-10-31,24.99,24.99,24.73,24.84,5900,23.278251
2014-10-30,24.84,24.950001,24.75,24.82,13300,23.259508
2014-10-29,24.85,24.85,24.629999,24.799999,14400,23.240765
2014-10-28,24.85,24.85,24.530001,24.77,6300,23.212652
2014-10-27,24.700001,24.85,24.49,24.83,8900,23.268879
2014-10-24,24.690001,24.84,24.690001,24.84,8500,23.278251
2014-10-23,24.780001,24.83,24.77,24.780001,5900,23.222024
2014-10-22,24.83,24.84,24.709999,24.83,12100,23.268879
2014-10-21,24.75,24.83,24.75,24.83,7700,23.268879
2014-10-20,24.790001,24.790001,24.67,24.74,9800,23.184538
2014-10-17,24.83,24.83,24.629999,24.780001,11300,23.222024
2014-10-16,24.530001,24.73,24.50,24.690001,9200,23.137682
2014-10-15,24.379999,24.540001,24.309999,24.41,8000,22.875286
2014-10-14,24.66,24.67,24.459999,24.51,5400,22.968999
2014-10-13,24.690001,24.690001,24.51,24.59,1700,23.043969
2014-10-10,24.26,24.629999,24.26,24.33,3200,22.800316
2014-10-09,24.629999,24.67,24.42,24.450001,16700,22.912772
2014-10-08,24.549999,24.60,24.42,24.59,5200,23.043969
2014-10-07,24.530001,24.58,24.389999,24.549999,13800,23.006483
2014-10-06,24.620001,24.690001,24.50,24.530001,2500,22.987742
2014-10-03,24.370001,24.629999,24.299999,24.629999,6800,23.081453
2014-10-02,24.610001,24.610001,24.49,24.540001,3000,22.997113
2014-10-01,24.67,24.700001,24.42,24.42,7500,22.884657
2014-09-30,24.700001,24.700001,24.50,24.540001,9000,22.997113
2014-09-29,24.440001,24.65,24.35,24.59,14500,23.043969
2014-09-26,24.450001,24.60,24.309999,24.52,14000,22.97837
2014-09-25,24.049999,24.450001,24.049999,24.440001,8000,22.9034
2014-09-24,24.42,24.440001,24.280001,24.43,5800,22.894029
2014-09-23,24.34,24.450001,24.299999,24.440001,6800,22.9034
2014-09-22,24.440001,24.440001,24.139999,24.33,8900,22.800316
2014-09-19,24.17,24.50,24.139999,24.450001,15000,22.912772
2014-09-18,24.26,24.32,24.09,24.25,33100,22.725346
2014-09-17,24.23,24.23,24.00,24.23,33000,22.706603
2014-09-16,24.24,24.41,24.07,24.17,39100,22.650375
2014-09-15,24.309999,24.309999,23.969999,24.209999,7000,22.68786
2014-09-12,24.290001,24.35,24.049999,24.15,9000,22.631632
2014-09-11,24.389999,24.49,24.26,24.309999,7800,22.781573
2014-09-10,24.35,24.51,24.35,24.379999,2700,22.847171
2014-09-09,24.360001,24.620001,24.360001,24.42,29900,22.884657
2014-09-08,24.200001,24.48,24.15,24.370001,19300,22.837802
2014-09-05,24.110001,24.32,24.110001,24.26,9500,22.734717
2014-09-04,24.629999,24.639999,24.200001,24.200001,21600,22.67849
2014-09-03,24.690001,24.719999,24.59,24.59,7300,23.043969
2014-09-02,24.65,24.719999,24.60,24.610001,15200,23.062712
2014-08-29,24.68,24.84,24.65,24.68,32100,23.128311
2014-08-28,24.60,24.700001,24.60,24.620001,8900,23.072084
2014-08-27,24.950001,24.959999,24.92,24.950001,13800,23.000862
2014-08-26,24.889999,25.129999,24.889999,24.91,21200,22.963986
2014-08-25,24.950001,25.18,24.85,24.91,55800,22.963986
2014-08-22,24.709999,24.91,24.709999,24.879999,15000,22.936329
2014-08-21,24.85,24.879999,24.719999,24.76,10400,22.825705
2014-08-20,24.879999,24.889999,24.85,24.870001,7500,22.927112
2014-08-19,24.90,24.90,24.85,24.90,7900,22.954767
2014-08-18,24.85,24.90,24.809999,24.90,11800,22.954767
2014-08-15,24.83,24.83,24.60,24.790001,2400,22.853362
2014-08-14,24.92,24.92,24.84,24.91,2900,22.963986
2014-08-13,24.889999,24.92,24.860001,24.92,8400,22.973205
2014-08-12,24.85,24.889999,24.83,24.84,13300,22.899455
2014-08-11,24.719999,24.879999,24.719999,24.860001,6800,22.917893
2014-08-08,24.90,24.90,24.77,24.77,6200,22.834924
2014-08-07,24.77,24.90,24.77,24.889999,7400,22.945548
2014-08-06,24.450001,24.85,24.450001,24.799999,29800,22.862579
2014-08-05,24.50,24.60,24.27,24.51,9800,22.595235
2014-08-04,24.030001,24.540001,24.030001,24.51,2100,22.595235
2014-08-01,24.65,24.700001,24.450001,24.459999,8700,22.54914
2014-07-31,24.73,24.73,24.50,24.50,10600,22.586016
2014-07-30,24.549999,24.799999,24.549999,24.719999,6600,22.788829
2014-07-29,24.799999,24.85,24.629999,24.66,24100,22.733517
2014-07-28,24.75,24.870001,24.700001,24.83,20100,22.890236
2014-07-25,24.59,24.75,24.59,24.75,7600,22.816486
2014-07-24,24.52,24.74,24.52,24.74,22800,22.807267
