Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.90,17.15,13.90,15.15,3358000,15.15
2014-12-30,13.98,14.20,13.82,13.90,367100,13.90
2014-12-29,14.28,14.28,13.57,13.86,565100,13.86
2014-12-26,14.03,14.32,13.92,14.29,297000,14.29
2014-12-24,13.59,14.02,13.51,13.97,265900,13.97
2014-12-23,13.64,14.63,13.12,13.83,840800,13.83
2014-12-22,13.21,13.56,12.92,13.19,373600,13.19
2014-12-19,13.70,13.84,13.02,13.32,511400,13.32
2014-12-18,14.20,14.30,13.69,13.82,277900,13.82
2014-12-17,13.32,13.95,13.04,13.90,221600,13.90
2014-12-16,13.31,13.77,13.00,13.12,255700,13.12
2014-12-15,14.30,14.43,13.27,13.31,392800,13.31
2014-12-12,14.09,14.70,13.94,14.28,317600,14.28
2014-12-11,14.89,15.10,13.95,14.09,456300,14.09
2014-12-10,14.32,15.92,14.19,14.70,1480400,14.70
2014-12-09,12.69,14.20,12.54,14.15,596700,14.15
2014-12-08,12.72,13.14,12.61,12.90,573900,12.90
2014-12-05,12.91,13.25,12.55,12.83,659800,12.83
2014-12-04,13.60,13.67,12.88,13.01,673900,13.01
2014-12-03,14.08,14.08,13.53,13.57,308400,13.57
2014-12-02,13.58,14.49,13.40,14.09,515900,14.09
2014-12-01,15.02,15.15,13.70,13.77,851100,13.77
2014-11-28,15.53,16.23,15.05,15.18,445500,15.18
2014-11-26,16.309999,16.639999,16.00,16.129999,339500,16.129999
2014-11-25,16.540001,16.799999,16.01,16.309999,652200,16.309999
2014-11-24,16.389999,16.65,16.15,16.459999,463300,16.459999
2014-11-21,16.24,16.299999,15.97,16.00,356500,16.00
2014-11-20,15.99,16.389999,15.91,16.110001,379300,16.110001
2014-11-19,16.379999,16.799999,16.049999,16.120001,680300,16.120001
2014-11-18,17.43,17.48,16.24,16.370001,1078400,16.370001
2014-11-17,17.00,17.440001,16.709999,17.24,888200,17.24
2014-11-14,16.219999,16.469999,16.049999,16.41,377100,16.41
2014-11-13,15.81,16.860001,15.79,16.27,747200,16.27
2014-11-12,15.87,16.299999,15.75,16.10,479800,16.10
2014-11-11,15.75,16.299999,15.53,16.049999,846500,16.049999
2014-11-10,16.700001,17.040001,15.68,16.48,1762700,16.48
2014-11-07,16.91,17.059999,16.219999,16.75,1342600,16.75
2014-11-06,14.83,16.690001,14.66,15.76,1714100,15.76
2014-11-05,16.030001,16.200001,14.90,15.12,1258900,15.12
2014-11-04,15.55,16.379999,15.50,16.25,1008800,16.25
2014-11-03,16.620001,16.870001,15.13,15.99,2213200,15.99
2014-10-31,17.50,17.50,16.50,16.68,993400,16.68
2014-10-30,16.76,17.35,16.50,16.940001,926100,16.940001
2014-10-29,18.200001,18.200001,16.799999,16.870001,1992700,16.870001
2014-10-28,18.030001,18.68,17.799999,18.33,1442500,18.33
2014-10-27,18.24,18.549999,17.700001,18.27,1873900,18.27
2014-10-24,20.50,20.50,18.549999,18.68,1975200,18.68
2014-10-23,19.459999,20.059999,18.50,19.82,2426400,19.82
2014-10-22,19.84,20.10,18.799999,19.27,3031800,19.27
2014-10-21,17.860001,19.25,17.59,17.98,2360000,17.98
2014-10-20,20.50,20.950001,18.290001,18.610001,3744400,18.610001
2014-10-17,23.15,23.27,21.459999,21.76,2427500,21.76
2014-10-16,23.690001,23.780001,22.52,22.809999,2129100,22.809999
2014-10-15,23.950001,24.719999,22.75,23.90,3916400,23.90
2014-10-14,23.65,24.280001,22.75,23.60,2375700,23.60
2014-10-13,24.129999,24.299999,22.90,23.690001,2714800,23.690001
2014-10-10,22.870001,23.75,22.40,22.799999,2219300,22.799999
2014-10-09,23.76,24.75,22.309999,23.82,5992000,23.82
2014-10-08,22.809999,24.48,20.75,23.860001,11953000,23.860001
2014-10-07,25.030001,25.450001,22.40,22.74,6744700,22.74
2014-10-06,27.049999,27.18,23.65,24.00,14173900,24.00
2014-10-03,26.60,29.93,26.07,29.530001,17558800,29.530001
2014-10-02,24.93,26.940001,23.10,25.469999,14471300,25.469999
2014-10-01,26.17,27.450001,24.33,24.99,28561400,24.99
2014-09-30,20.90,21.67,20.74,21.139999,4947000,21.139999
2014-09-29,21.18,21.50,20.60,20.68,1425200,20.68
2014-09-26,21.83,22.50,21.33,21.709999,1606800,21.709999
2014-09-25,22.84,23.290001,21.10,22.049999,2844900,22.049999
2014-09-24,24.860001,24.98,22.16,23.01,4378700,23.01
2014-09-23,25.15,25.799999,23.799999,24.299999,8530900,24.299999
