Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,44.209999,45.299999,43.939999,44.310001,504100,44.310001
2014-12-30,44.700001,45.18,43.860001,43.98,524900,43.98
2014-12-29,46.25,46.360001,44.939999,44.959999,272800,44.959999
2014-12-26,45.959999,46.490002,45.630001,46.259998,200400,46.259998
2014-12-24,46.290001,46.419998,45.709999,45.959999,147000,45.959999
2014-12-23,46.43,46.470001,45.540001,46.119999,391900,46.119999
2014-12-22,46.02,46.419998,45.299999,46.259998,271400,46.259998
2014-12-19,45.259998,46.330002,44.82,45.849998,833200,45.849998
2014-12-18,44.169998,45.150002,43.849998,45.080002,735500,45.080002
2014-12-17,41.049999,43.630001,40.799999,43.400002,717600,43.400002
2014-12-16,42.869999,42.869999,40.98,41.009998,1162100,41.009998
2014-12-15,44.84,45.209999,42.709999,43.09,641600,43.09
2014-12-12,44.299999,45.25,43.919998,44.560001,578300,44.560001
2014-12-11,45.439999,45.889999,44.439999,44.91,616000,44.91
2014-12-10,44.91,45.779999,44.549999,45.25,530800,45.25
2014-12-09,44.240002,45.110001,43.299999,45.049999,1290800,45.049999
2014-12-08,47.259998,47.48,44.689999,44.75,637900,44.75
2014-12-05,49.00,49.00,46.869999,47.549999,1443900,47.549999
2014-12-04,49.16,50.59,48.259998,49.790001,914300,49.790001
2014-12-03,47.77,49.580002,47.419998,49.16,423500,49.16
2014-12-02,47.130001,47.990002,47.029999,47.650002,416000,47.650002
2014-12-01,46.610001,47.240002,46.48,46.98,483500,46.98
2014-11-28,47.50,47.66,46.650002,47.16,203800,47.16
2014-11-26,46.450001,47.75,46.07,47.50,298900,47.50
2014-11-25,46.599998,46.93,46.150002,46.560001,283200,46.560001
2014-11-24,45.970001,46.830002,45.720001,46.529999,244900,46.529999
2014-11-21,46.00,46.66,45.450001,45.900002,278500,45.900002
2014-11-20,44.73,45.709999,44.59,45.259998,271100,45.259998
2014-11-19,45.52,45.549999,44.779999,45.040001,365600,45.040001
2014-11-18,44.380001,45.869999,43.98,45.77,579200,45.77
2014-11-17,45.860001,45.91,44.290001,44.299999,236200,44.299999
2014-11-14,45.419998,46.07,44.970001,45.869999,305800,45.869999
2014-11-13,45.529999,46.900002,45.299999,45.360001,392000,45.360001
2014-11-12,44.709999,45.650002,44.470001,45.360001,298800,45.360001
2014-11-11,45.439999,45.509998,44.380001,45.02,475900,45.02
2014-11-10,44.630001,45.549999,44.43,45.380001,311700,45.380001
2014-11-07,45.57,45.57,44.459999,44.720001,525100,44.720001
2014-11-06,44.00,46.389999,43.810001,45.50,535300,45.50
2014-11-05,45.990002,45.990002,44.869999,45.16,528100,45.16
2014-11-04,47.009998,47.099998,45.419998,45.610001,348400,45.610001
2014-11-03,46.91,47.50,46.16,47.09,572400,47.09
2014-10-31,46.709999,47.549999,46.139999,47.049999,690800,47.049999
2014-10-30,44.240002,45.84,44.240002,45.810001,339700,45.810001
2014-10-29,44.259998,44.720001,43.880001,44.52,273300,44.52
2014-10-28,42.299999,44.290001,41.93,44.279999,393600,44.279999
2014-10-27,43.16,43.509998,42.119999,42.200001,430400,42.200001
2014-10-24,42.540001,43.419998,42.330002,43.32,219600,43.32
2014-10-23,42.080002,43.209999,41.400002,42.360001,374600,42.360001
2014-10-22,42.490002,42.68,40.27,41.549999,285000,41.549999
2014-10-21,41.630001,42.880001,41.630001,42.43,423300,42.43
2014-10-20,41.00,41.740002,40.509998,41.50,249200,41.50
2014-10-17,41.830002,42.110001,41.049999,41.18,336600,41.18
2014-10-16,40.310001,41.560001,39.650002,41.220001,484300,41.220001
2014-10-15,39.119999,41.299999,38.669998,40.98,591600,40.98
2014-10-14,39.439999,40.529999,39.07,39.740002,465900,39.740002
2014-10-13,39.450001,39.889999,38.709999,38.990002,373500,38.990002
2014-10-10,40.880001,41.310001,39.369999,39.380001,404900,39.380001
2014-10-09,42.950001,43.380001,41.139999,41.169998,397200,41.169998
2014-10-08,43.07,43.360001,41.900002,42.98,467900,42.98
2014-10-07,44.040001,44.580002,43.029999,43.060001,426900,43.060001
2014-10-06,45.16,45.630001,44.110001,44.48,575700,44.48
2014-10-03,43.84,45.290001,43.459999,44.91,537600,44.91
2014-10-02,42.720001,43.490002,42.150002,43.349998,249300,43.349998
2014-10-01,43.240002,43.639999,42.200001,42.779999,719900,42.779999
2014-09-30,44.830002,44.830002,43.380001,43.41,494700,43.41
2014-09-29,43.779999,44.75,43.779999,44.720001,317100,44.720001
2014-09-26,45.07,45.619999,44.110001,44.389999,349800,44.389999
2014-09-25,45.34,45.560001,44.00,44.869999,679100,44.869999
2014-09-24,45.080002,45.799999,44.599998,45.389999,444400,45.389999
2014-09-23,44.849998,45.799999,44.799999,44.98,511400,44.98
2014-09-22,45.279999,45.619999,44.50,45.169998,565500,45.169998
2014-09-19,46.700001,46.880001,44.939999,45.630001,893600,45.630001
2014-09-18,45.799999,46.049999,45.439999,46.009998,387300,46.009998
2014-09-17,44.970001,45.75,44.580002,45.59,501400,45.59
2014-09-16,45.150002,45.41,44.639999,45.09,702100,45.09
2014-09-15,46.470001,46.549999,45.110001,45.419998,594700,45.419998
2014-09-12,45.849998,46.950001,45.73,46.549999,807900,46.549999
2014-09-11,44.02,45.950001,44.02,45.700001,690000,45.700001
2014-09-10,43.369999,44.290001,42.860001,44.240002,574000,44.240002
2014-09-09,44.139999,44.639999,43.189999,43.380001,761700,43.380001
2014-09-08,43.040001,44.43,42.880001,44.360001,511900,44.360001
2014-09-05,43.080002,43.650002,42.91,43.209999,445100,43.209999
2014-09-04,43.439999,44.32,43.009998,43.200001,454500,43.200001
2014-09-03,44.41,44.450001,43.18,43.369999,409200,43.369999
2014-09-02,44.759998,44.91,43.709999,44.220001,655800,44.220001
2014-08-29,44.34,45.299999,43.950001,44.759998,554600,44.759998
2014-08-28,43.02,44.380001,42.889999,44.18,571000,44.18
2014-08-27,43.299999,43.599998,42.799999,43.279999,356100,43.279999
2014-08-26,42.380001,43.599998,41.939999,43.330002,427300,43.330002
2014-08-25,42.529999,42.939999,41.91,42.380001,371900,42.380001
2014-08-22,42.959999,43.310001,42.200001,42.290001,386900,42.290001
2014-08-21,43.630001,44.060001,42.349998,43.049999,659400,43.049999
2014-08-20,44.299999,44.759998,43.400002,43.799999,402600,43.799999
2014-08-19,45.25,45.709999,44.189999,44.41,423700,44.41
2014-08-18,45.00,45.52,44.689999,45.110001,428000,45.110001
