Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,17.24,17.639999,17.23,17.52,178400,17.52
2015-09-03,17.530001,17.610001,17.290001,17.459999,199600,17.459999
2015-09-02,17.790001,17.790001,17.139999,17.50,197900,17.50
2015-09-01,17.950001,18.77,17.43,17.57,304300,17.57
2015-08-31,17.690001,18.26,17.48,18.24,240400,18.24
2015-08-28,17.00,17.799999,16.940001,17.77,335600,17.77
2015-08-27,16.84,17.209999,16.57,17.139999,330800,17.139999
2015-08-26,16.690001,16.85,16.190001,16.66,330200,16.66
2015-08-25,17.10,17.10,16.309999,16.34,529200,16.34
2015-08-24,15.57,16.52,15.32,16.50,453900,16.50
2015-08-21,16.27,16.52,16.030001,16.389999,344900,16.389999
2015-08-20,16.690001,16.85,16.43,16.459999,209600,16.459999
2015-08-19,17.129999,17.129999,16.549999,16.82,212800,16.82
2015-08-18,17.209999,17.49,16.90,17.23,299100,17.23
2015-08-17,17.120001,17.41,16.959999,17.110001,205400,17.110001
2015-08-14,17.43,17.629999,17.26,17.290001,165500,17.290001
2015-08-13,17.870001,18.049999,17.469999,17.51,305800,17.51
2015-08-12,17.299999,17.84,17.299999,17.799999,424700,17.799999
2015-08-11,16.91,17.860001,16.91,17.49,526200,17.49
2015-08-10,17.190001,17.459999,17.129999,17.23,509500,17.23
2015-08-07,17.040001,17.24,16.98,17.120001,444000,17.120001
2015-08-06,16.10,17.08,15.97,17.040001,1065600,17.040001
2015-08-05,16.459999,17.969999,15.99,16.030001,3163900,16.030001
2015-08-04,21.77,21.77,18.00,18.60,2262000,18.60
2015-08-03,23.389999,23.389999,22.74,22.76,214000,22.76
2015-07-31,23.219999,23.84,23.219999,23.50,172200,23.50
2015-07-30,23.01,23.26,22.860001,23.139999,129000,23.139999
2015-07-29,22.60,23.190001,22.60,23.120001,115800,23.120001
2015-07-28,22.74,22.84,22.379999,22.629999,197000,22.629999
2015-07-27,23.27,23.27,22.57,22.610001,122700,22.610001
2015-07-24,23.889999,23.889999,23.379999,23.41,278700,23.41
2015-07-23,24.15,24.309999,23.93,23.969999,207800,23.969999
2015-07-22,24.00,24.16,23.76,24.040001,145100,24.040001
2015-07-21,24.040001,24.23,23.92,24.030001,242500,24.030001
2015-07-20,24.299999,24.35,23.99,24.110001,256500,24.110001
2015-07-17,24.51,24.51,24.219999,24.370001,237700,24.370001
2015-07-16,24.360001,24.639999,24.26,24.42,227100,24.42
2015-07-15,24.65,24.74,24.120001,24.139999,262300,24.139999
2015-07-14,24.549999,24.76,24.34,24.719999,255700,24.719999
2015-07-13,24.27,24.610001,24.17,24.549999,366500,24.549999
2015-07-10,24.219999,24.35,24.00,24.16,366300,24.16
2015-07-09,24.530001,24.68,23.91,24.00,498300,24.00
2015-07-08,24.450001,24.790001,24.25,24.43,425300,24.43
2015-07-07,25.02,25.07,24.709999,24.75,442200,24.75
2015-07-06,24.58,25.00,24.379999,24.940001,410900,24.940001
2015-07-02,24.90,25.120001,24.190001,24.98,731500,24.98
2015-07-01,24.99,25.35,23.469999,24.950001,980900,24.950001
2015-06-30,29.499999,29.739999,29.21,29.60,658700,23.585657
2015-06-29,29.819999,30.19,29.38,29.41,864300,23.434263
2015-06-26,30.139999,30.409999,29.87,29.97,1814400,23.880478
2015-06-25,30.570001,30.570001,29.939999,30.12,350000,24.00
2015-06-24,30.81,31.15,30.47,30.52,261300,24.318725
2015-06-23,30.66,30.990001,30.44,30.83,184100,24.565737
2015-06-22,30.66,30.820001,30.409999,30.550001,187000,24.34263
2015-06-19,30.599999,30.779999,30.309999,30.679999,385900,24.446215
2015-06-18,30.32,30.59,29.989999,30.52,245400,24.318725
2015-06-17,30.34,30.500001,30.009999,30.209999,223800,24.071712
2015-06-16,29.499999,30.17,29.270001,30.139999,1885100,24.015936
2015-06-15,29.73,29.860001,29.38,29.490001,150000,23.498009
2015-06-12,29.980001,30.080001,29.760001,30.00,108800,23.904383
2015-06-11,29.860001,29.989999,29.590001,29.97,87700,23.880478
2015-06-10,29.63,29.960001,29.56,29.839999,158900,23.776892
2015-06-09,29.689999,29.689999,29.469999,29.56,137200,23.553785
2015-06-08,29.56,29.65,29.26,29.610001,457700,23.593626
2015-06-05,29.569999,29.73,29.120001,29.70,140100,23.665338
2015-06-04,29.549999,29.739999,29.200001,29.569999,308600,23.561752
2015-06-03,29.540001,29.83,29.399999,29.73,146700,23.689243
2015-06-02,29.200001,29.78,28.979999,29.419999,160000,23.44223
2015-06-01,29.030002,29.450002,28.60,29.399999,237700,23.426294
2015-05-29,28.909999,29.100001,28.62,28.899999,246700,23.027887
2015-05-28,29.000001,29.04,28.50,28.859999,172300,22.996015
2015-05-27,28.969998,29.11,28.580001,29.06,270500,23.155378
2015-05-26,29.16,29.299999,28.549998,28.99,257400,23.099602
2015-05-22,30.010001,30.22,29.299999,29.349999,244200,23.386454
2015-05-21,29.660001,30.24,29.660001,30.089999,221400,23.976095
2015-05-20,29.41,29.80,29.28,29.610001,177100,23.593626
2015-05-19,29.31,29.459998,28.909999,29.349999,166500,23.386454
2015-05-18,28.979999,29.48,28.829999,29.43,179700,23.450199
2015-05-15,29.290001,29.290001,28.67,28.96,165200,23.075697
2015-05-14,29.06,29.48,28.969998,29.26,137400,23.314741
2015-05-13,28.94,29.149999,28.510001,28.92,110400,23.043825
2015-05-12,28.28,28.74,27.740001,28.74,230300,22.900398
2015-05-11,28.209998,28.629999,28.209998,28.339999,200800,22.581673
2015-05-08,28.219999,28.269999,28.010001,28.18,318600,22.454183
2015-05-07,28.160001,28.190001,27.83,28.040001,230200,22.34263
2015-05-06,28.260001,28.32,27.78,28.290001,177000,22.541834
2015-05-05,28.20,28.479998,28.05,28.139999,338200,22.42231
2015-05-04,28.059998,28.459999,27.889998,28.239999,491300,22.501991
2015-05-01,28.209998,28.430001,27.870001,28.090001,422200,22.382471
2015-04-30,28.32,28.50,27.86,28.169999,548200,22.446215
2015-04-29,30.22,31.090001,28.309999,28.549998,597600,22.749002
2015-04-28,32.000001,32.000001,30.360002,30.530001,504600,24.326694
2015-04-27,31.11,31.89,31.049999,31.739999,432700,25.290836
2015-04-24,31.40,31.50,30.649999,31.11,291300,24.788845
2015-04-23,31.190001,31.290001,30.950002,31.25,130400,24.900398
2015-04-22,31.099999,31.440001,30.91,31.209998,97000,24.868524
2015-04-21,31.239999,31.33,30.870001,30.990001,135800,24.693228
2015-04-20,30.66,31.530001,30.59,31.160001,298100,24.828686
2015-04-17,31.03,31.360001,30.350001,30.570001,402600,24.358566
2015-04-16,32.29,32.299999,31.269999,31.290001,205100,24.932272
2015-04-15,32.04,32.540001,31.799998,32.41,132700,25.824701
2015-04-14,31.729999,31.92,31.06,31.89,245600,25.410358
2015-04-13,30.91,31.92,30.899999,31.580001,231800,25.163347
2015-04-10,31.360001,31.360001,30.849999,30.88,132700,24.605577
2015-04-09,31.319999,31.459999,30.64,31.099999,137500,24.780876
2015-04-08,31.08,31.319999,30.670001,31.23,242300,24.884462
2015-04-07,30.29,31.290001,30.29,31.13,380500,24.804781
2015-04-06,30.059999,30.350001,30.05,30.299998,605000,24.143425
2015-04-02,30.49,31.03,30.10,30.17,551700,24.039841
2015-04-01,30.670001,30.679999,30.19,30.54,189400,24.334661
2015-03-31,30.899999,31.020001,30.399998,30.79,171300,24.533865
2015-03-30,30.49,31.219999,30.250001,31.099999,298100,24.780876
2015-03-27,29.43,30.469998,29.270001,30.37,366200,24.199203
2015-03-26,29.540001,30.15,29.469999,29.499999,153400,23.505976
2015-03-25,30.05,30.93,29.520001,29.53,165300,23.52988
2015-03-24,29.51,30.209999,29.51,29.979998,123000,23.888445
2015-03-23,29.56,29.839999,29.33,29.58,184700,23.569721
2015-03-20,29.660001,30.159999,27.009999,29.56,400500,23.553785
2015-03-19,29.68,30.27,28.969998,29.48,148600,23.49004
2015-03-18,28.87,30.040002,28.659999,29.870002,262400,23.800798
2015-03-17,28.950001,29.129999,28.290001,29.049999,364000,23.147409
2015-03-16,30.080001,30.280001,29.249999,29.499999,211100,23.505976
2015-03-13,30.010001,30.280001,29.58,29.989999,229200,23.896414
2015-03-12,29.129999,30.059999,28.82,29.989999,415200,23.896414
2015-03-11,29.590001,29.739999,28.23,28.84,380900,22.98008
2015-03-10,29.809998,30.24,29.639999,29.65,1397400,23.625498
2015-03-09,30.10,30.350001,29.989999,30.129998,202600,24.007967
2015-03-06,29.97,30.39,29.959999,30.10,345900,23.984064
2015-03-05,30.080001,30.54,29.549999,30.159999,265700,24.031872
2015-03-04,29.989999,30.19,29.389998,30.129998,650600,24.007967
2015-03-03,30.409999,30.500001,30.10,30.12,271600,24.00
2015-03-02,29.889999,30.64,29.48,30.61,358900,24.390438
2015-02-27,29.909999,30.24,29.68,29.959999,414800,23.872509
2015-02-26,30.61,31.84,29.41,30.05,579800,23.944223
2015-02-25,29.499999,31.850001,29.349999,30.770001,539000,24.517929
2015-02-24,29.349999,29.660001,29.01,29.419999,461300,23.44223
2015-02-23,29.85,29.979998,29.33,29.349999,341500,23.386454
2015-02-20,29.959999,30.17,29.270001,30.00,439500,23.904383
2015-02-19,30.139999,30.56,29.839999,29.97,145800,23.880478
2015-02-18,30.080001,30.54,30.080001,30.309999,116500,24.151394
2015-02-17,30.12,30.469998,29.90,30.229999,173700,24.087648
2015-02-13,30.080001,30.81,29.65,30.110001,222000,23.992033
2015-02-12,29.909999,30.089999,29.620002,29.979998,220400,23.888445
2015-02-11,29.959999,30.00,29.349999,29.65,139300,23.625498
2015-02-10,30.209999,30.399998,29.70,30.07,181000,23.960159
2015-02-09,29.760001,30.54,29.43,29.940002,422200,23.856575
2015-02-06,29.53,30.030001,29.19,29.83,242000,23.768925
2015-02-05,29.100001,29.73,28.94,29.520001,295300,23.521913
2015-02-04,30.010001,30.010001,28.850001,28.929999,305000,23.051792
2015-02-03,28.339999,29.660001,28.160001,29.43,529500,23.450199
2015-02-02,27.110002,28.25,27.110002,28.190001,386500,22.462152
2015-01-30,27.27,28.330001,26.87,26.989999,314800,21.505976
2015-01-29,27.14,27.64,26.830001,27.51,320400,21.920319
2015-01-28,27.37,27.629999,26.989999,27.049998,213000,21.553783
2015-01-27,26.839999,27.36,26.590001,27.24,442500,21.705179
2015-01-26,27.259999,27.399999,26.92,27.29,691300,21.74502
2015-01-23,27.91,28.530001,27.37,27.46,522600,21.880478
2015-01-22,28.219999,28.60,27.840001,27.950002,613600,22.270918
2015-01-21,27.840001,28.680001,27.790001,27.969999,445900,22.286852
2015-01-20,28.82,30.180001,27.840001,27.959998,426800,22.278883
2015-01-16,29.16,29.97,28.709999,28.74,615000,22.900398
2015-01-15,30.61,30.779999,29.11,29.24,539700,23.298805
2015-01-14,30.479999,30.840001,29.83,30.649999,175600,24.42231
2015-01-13,30.959998,31.790002,30.530001,30.969999,274100,24.67729
2015-01-12,30.93,31.099999,30.15,30.579999,281500,24.366533
2015-01-09,30.770001,31.069999,30.27,31.03,531500,24.725099
2015-01-08,30.940001,31.410001,30.86,31.40,180000,25.01992
2015-01-07,30.950002,30.950002,30.399998,30.749999,178200,24.501991
2015-01-06,30.749999,31.08,30.259999,30.649999,259900,24.42231
2015-01-05,30.700001,30.990001,30.180001,30.649999,308900,24.42231
2015-01-02,31.40,31.459999,30.729999,31.01,344600,24.709164
