Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,5.60,5.75,5.60,5.73,323700,5.73
2015-09-03,5.68,5.76,5.64,5.68,297000,5.68
2015-09-02,5.70,5.74,5.61,5.65,456900,5.65
2015-09-01,5.87,5.87,5.70,5.72,294400,5.654
2015-08-31,5.86,5.93,5.84,5.92,154100,5.851692
2015-08-28,5.84,5.92,5.82,5.89,189900,5.822038
2015-08-27,5.90,5.94,5.83,5.88,411300,5.812154
2015-08-26,5.83,5.90,5.74,5.89,254800,5.822038
2015-08-25,5.97,6.03,5.70,5.70,362400,5.634231
2015-08-24,5.79,6.00,5.59,5.80,526400,5.733077
2015-08-21,5.96,6.16,5.95,6.04,1017700,5.970308
2015-08-20,6.09,6.13,6.05,6.05,377700,5.980193
2015-08-19,6.14,6.19,6.10,6.10,181100,6.029615
2015-08-18,6.16,6.22,6.14,6.15,268400,6.079039
2015-08-17,6.13,6.24,6.12,6.20,389900,6.128461
2015-08-14,6.08,6.18,6.08,6.18,335500,6.108692
2015-08-13,6.08,6.17,6.08,6.11,345900,6.0395
2015-08-12,6.11,6.17,6.05,6.11,453600,6.0395
2015-08-11,6.10,6.14,6.05,6.13,308700,6.059269
2015-08-10,6.16,6.23,6.13,6.15,547000,6.079039
2015-08-07,6.17,6.22,6.12,6.17,745900,6.098808
2015-08-06,6.23,6.25,6.17,6.21,281000,6.138346
2015-08-05,6.26,6.26,6.19,6.22,309500,6.148231
2015-08-04,6.22,6.27,6.19,6.23,418900,6.158116
2015-08-03,6.21,6.27,6.16,6.19,521100,6.118577
2015-07-31,6.28,6.32,6.19,6.23,414700,6.158116
2015-07-30,6.19,6.27,6.18,6.27,437400,6.197654
2015-07-29,6.18,6.25,6.15,6.24,333600,6.168
2015-07-28,6.23,6.23,6.16,6.18,595600,6.108692
2015-07-27,6.18,6.24,6.15,6.18,350200,6.108692
2015-07-24,6.38,6.39,6.15,6.19,913000,6.118577
2015-07-23,6.67,6.67,6.38,6.41,1448600,6.336038
2015-07-22,7.00,7.08,6.79,6.81,436000,6.731423
2015-07-21,7.03,7.11,7.00,7.02,136100,6.939
2015-07-20,7.09,7.10,7.01,7.04,159600,6.958769
2015-07-17,7.12,7.12,7.01,7.06,119800,6.978539
2015-07-16,7.08,7.13,7.06,7.10,448400,7.018077
2015-07-15,7.11,7.13,7.03,7.06,385600,6.978539
2015-07-14,7.04,7.14,7.03,7.09,143300,7.008193
2015-07-13,7.03,7.11,7.03,7.09,113800,7.008193
2015-07-10,6.99,7.05,6.99,7.04,213100,6.958769
2015-07-09,6.98,7.00,6.88,6.93,350200,6.850038
2015-07-08,6.88,6.96,6.86,6.92,186400,6.840154
2015-07-07,7.00,7.00,6.87,6.92,193600,6.840154
2015-07-06,6.90,7.02,6.90,7.01,200900,6.929116
2015-07-02,7.20,7.20,6.96,7.00,174700,6.919231
2015-07-01,7.15,7.17,7.08,7.17,191300,7.087269
2015-06-30,7.08,7.13,7.00,7.03,186300,6.948885
2015-06-29,7.09,7.16,7.01,7.03,308900,6.948885
2015-06-26,7.17,7.19,7.10,7.18,705600,7.097154
2015-06-25,7.16,7.16,7.03,7.13,157700,7.047731
2015-06-24,7.07,7.16,7.03,7.10,130000,7.018077
2015-06-23,7.04,7.17,7.04,7.12,190400,7.037846
2015-06-22,7.04,7.10,7.00,7.05,182600,6.968654
2015-06-19,6.93,7.04,6.93,7.02,476500,6.939
2015-06-18,6.86,6.98,6.84,6.96,210500,6.879692
2015-06-17,6.93,6.95,6.85,6.86,103900,6.780846
2015-06-16,6.84,6.96,6.84,6.93,118100,6.850038
2015-06-15,6.87,6.94,6.80,6.87,163700,6.790731
2015-06-12,6.95,6.95,6.87,6.92,100200,6.840154
2015-06-11,6.98,6.99,6.90,6.96,111800,6.879692
2015-06-10,6.84,7.00,6.84,6.97,391300,6.889577
2015-06-09,6.78,6.85,6.75,6.82,102700,6.741308
2015-06-08,6.82,6.85,6.75,6.80,239500,6.721539
2015-06-05,6.80,6.86,6.74,6.86,215300,6.780846
2015-06-04,6.83,6.88,6.77,6.78,106600,6.70177
2015-06-03,6.72,6.88,6.72,6.88,248200,6.800616
2015-06-02,6.73,6.82,6.73,6.80,150100,6.6563
2015-06-01,6.77,6.78,6.69,6.74,171600,6.597568
2015-05-29,6.76,6.81,6.70,6.76,180700,6.617146
2015-05-28,6.76,6.82,6.76,6.80,124300,6.6563
2015-05-27,6.76,6.80,6.70,6.80,191400,6.6563
2015-05-26,6.76,6.77,6.70,6.72,247300,6.57799
2015-05-22,6.78,6.85,6.73,6.74,164000,6.597568
2015-05-21,6.83,6.87,6.79,6.81,99900,6.666089
2015-05-20,6.86,6.90,6.81,6.83,145200,6.685666
2015-05-19,6.82,6.86,6.82,6.84,81400,6.695455
2015-05-18,6.76,6.87,6.75,6.84,221700,6.695455
2015-05-15,6.86,6.86,6.74,6.78,395600,6.636723
2015-05-14,6.80,6.86,6.76,6.86,207800,6.715032
2015-05-13,6.78,6.81,6.71,6.79,220800,6.646511
2015-05-12,6.75,6.83,6.68,6.83,256700,6.685666
2015-05-11,6.71,6.80,6.67,6.78,199500,6.636723
2015-05-08,6.76,6.76,6.66,6.70,180600,6.558413
2015-05-07,6.65,6.72,6.64,6.69,114900,6.548625
2015-05-06,6.68,6.74,6.64,6.69,218000,6.548625
2015-05-05,6.70,6.80,6.65,6.67,187200,6.529047
2015-05-04,6.67,6.75,6.67,6.74,213900,6.597568
2015-05-01,6.67,6.72,6.61,6.66,371700,6.519258
2015-04-30,6.79,6.82,6.65,6.67,335100,6.529047
2015-04-29,6.86,6.92,6.78,6.80,147300,6.6563
2015-04-28,6.63,6.90,6.63,6.90,329600,6.754187
2015-04-27,6.70,6.72,6.60,6.66,340400,6.519258
2015-04-24,6.71,6.74,6.69,6.70,195800,6.558413
2015-04-23,6.75,6.78,6.71,6.73,138300,6.587779
2015-04-22,6.77,6.86,6.75,6.76,243000,6.617146
2015-04-21,6.90,6.92,6.81,6.82,84300,6.675878
2015-04-20,6.81,6.91,6.77,6.90,178500,6.754187
2015-04-17,6.85,6.90,6.77,6.78,250600,6.636723
2015-04-16,6.85,6.93,6.83,6.90,115900,6.754187
2015-04-15,6.85,6.95,6.80,6.88,204800,6.73461
2015-04-14,6.91,6.91,6.84,6.86,139200,6.715032
2015-04-13,6.84,6.90,6.84,6.88,90000,6.73461
2015-04-10,6.91,6.91,6.85,6.88,61000,6.73461
2015-04-09,6.88,6.93,6.79,6.87,123300,6.724821
2015-04-08,6.94,6.95,6.88,6.91,242300,6.763975
2015-04-07,6.85,6.95,6.85,6.91,257600,6.763975
2015-04-06,6.84,6.91,6.82,6.88,115800,6.73461
2015-04-02,6.91,6.92,6.79,6.92,226700,6.773764
2015-04-01,6.85,6.90,6.78,6.87,180700,6.724821
2015-03-31,6.80,6.89,6.80,6.88,137000,6.73461
2015-03-30,6.79,6.92,6.72,6.86,231300,6.715032
2015-03-27,6.79,6.80,6.69,6.79,189100,6.646511
2015-03-26,6.68,6.79,6.66,6.77,199700,6.626934
2015-03-25,6.87,6.92,6.67,6.70,503300,6.558413
2015-03-24,6.86,6.92,6.80,6.89,356200,6.744398
2015-03-23,6.90,6.95,6.86,6.90,179900,6.754187
2015-03-20,6.79,6.95,6.79,6.94,510900,6.793342
2015-03-19,6.77,6.81,6.72,6.78,115500,6.636723
2015-03-18,6.81,6.86,6.74,6.81,211600,6.666089
2015-03-17,6.74,6.85,6.68,6.85,263200,6.705243
2015-03-16,6.81,6.85,6.76,6.78,119500,6.636723
2015-03-13,6.85,6.85,6.69,6.81,194900,6.666089
2015-03-12,6.73,6.85,6.63,6.85,274500,6.705243
2015-03-11,6.66,6.68,6.60,6.67,158600,6.529047
2015-03-10,6.69,6.72,6.65,6.65,165800,6.50947
2015-03-09,6.73,6.75,6.70,6.74,90800,6.597568
2015-03-06,6.74,6.84,6.70,6.70,190600,6.558413
2015-03-05,6.77,6.80,6.68,6.80,227700,6.6563
2015-03-04,6.76,6.81,6.74,6.74,174000,6.597568
2015-03-03,6.81,6.88,6.81,6.85,410000,6.640638
2015-03-02,6.76,6.86,6.76,6.85,304600,6.640638
2015-02-27,6.76,6.82,6.75,6.76,164100,6.553389
2015-02-26,6.72,6.81,6.72,6.80,125500,6.592167
2015-02-25,6.76,6.77,6.71,6.75,89900,6.543695
2015-02-24,6.68,6.77,6.68,6.76,176200,6.553389
2015-02-23,6.66,6.71,6.66,6.69,143400,6.485528
2015-02-20,6.77,6.77,6.68,6.70,657500,6.495223
2015-02-19,6.74,6.78,6.70,6.75,456300,6.543695
2015-02-18,6.82,6.85,6.71,6.74,257900,6.534
2015-02-17,6.84,6.85,6.77,6.85,250500,6.640638
2015-02-13,6.85,6.87,6.78,6.82,168500,6.611555
2015-02-12,6.74,6.87,6.74,6.87,205300,6.660027
2015-02-11,6.76,6.88,6.70,6.72,236500,6.514611
2015-02-10,6.93,6.99,6.75,6.80,195000,6.592167
2015-02-09,6.96,7.04,6.85,6.86,383800,6.650333
2015-02-06,6.79,7.02,6.77,6.96,1336800,6.747276
2015-02-05,6.66,6.80,6.66,6.76,989900,6.553389
2015-02-04,6.60,6.67,6.59,6.61,389900,6.407974
2015-02-03,6.64,6.70,6.59,6.67,454800,6.46614
2015-02-02,6.43,6.59,6.42,6.59,415700,6.388585
2015-01-30,6.50,6.56,6.42,6.43,426600,6.233475
