Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,16.34,17.780001,15.60,16.98,20621200,16.98
2015-09-03,14.11,15.79,12.88,14.93,23360600,14.93
2015-09-02,16.92,18.42,15.06,15.07,19011300,15.07
2015-09-01,17.48,19.90,16.60,19.389999,27599500,19.389999
2015-08-31,14.08,14.98,13.75,14.78,21025500,14.78
2015-08-28,13.31,15.03,12.96,13.80,22646700,13.80
2015-08-27,10.94,14.07,10.88,12.42,25645700,12.42
2015-08-26,12.16,15.24,11.62,11.94,40848700,11.94
2015-08-25,9.46,14.62,9.35,14.61,35533900,14.61
2015-08-24,14.99,15.99,10.00,12.56,48579500,12.56
2015-08-21,7.58,9.22,7.13,9.17,36279900,9.17
2015-08-20,6.34,6.95,6.19,6.85,19698400,6.85
2015-08-19,5.80,6.12,5.52,5.86,10088500,5.86
2015-08-18,5.58,5.70,5.46,5.64,4966400,5.64
2015-08-17,5.76,5.87,5.49,5.50,5072400,5.50
2015-08-14,5.64,5.81,5.56,5.66,4903800,5.66
2015-08-13,5.66,5.93,5.51,5.66,7623700,5.66
2015-08-12,6.45,6.65,5.71,5.81,14507100,5.81
2015-08-11,5.75,6.02,5.59,5.79,13773100,5.79
2015-08-10,5.47,5.49,5.31,5.33,7685100,5.33
2015-08-07,5.85,6.11,5.70,5.75,10022800,5.75
2015-08-06,5.50,6.09,5.48,5.89,9521500,5.89
2015-08-05,5.51,5.63,5.31,5.48,7796000,5.48
2015-08-04,5.61,5.77,5.48,5.54,10212400,5.54
2015-08-03,5.70,6.01,5.51,5.54,10396300,5.54
2015-07-31,5.67,5.87,5.57,5.70,5930600,5.70
2015-07-30,5.85,6.09,5.69,5.72,8027400,5.72
2015-07-29,5.93,6.00,5.70,5.82,7179800,5.82
2015-07-28,6.61,6.98,5.90,6.01,11815600,6.01
2015-07-27,6.89,7.32,6.71,7.03,15433300,7.03
2015-07-24,6.00,6.54,5.88,6.36,12104200,6.36
2015-07-23,5.74,6.16,5.67,5.97,8533500,5.97
2015-07-22,6.23,6.23,5.73,5.83,7080100,5.83
2015-07-21,5.95,6.12,5.88,5.89,6624600,5.89
2015-07-20,6.03,6.12,5.74,6.00,8369100,6.00
2015-07-17,6.07,6.23,6.04,6.05,4865700,6.05
2015-07-16,6.64,6.69,6.14,6.18,10276600,6.18
2015-07-15,7.07,7.43,6.88,7.08,10307700,7.08
2015-07-14,7.28,7.35,6.85,7.13,6955300,7.13
2015-07-13,8.03,8.12,7.20,7.26,11025500,7.26
2015-07-10,9.56,10.22,8.94,9.01,15317200,9.01
2015-07-09,9.36,10.83,9.31,10.71,11777000,10.71
2015-07-08,9.52,10.55,9.34,10.51,16405100,10.51
2015-07-07,9.75,10.83,8.78,8.79,17799600,8.79
2015-07-06,10.21,10.38,9.37,9.78,14453600,9.78
2015-07-02,8.29,9.65,8.20,9.30,12223500,9.30
