Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,19.469999,19.83,19.40,19.83,3100,19.393216
2014-12-30,19.65,19.809999,19.50,19.50,4500,19.070485
2014-12-29,19.60,19.85,19.549999,19.65,6700,19.21718
2014-12-26,19.700001,19.700001,19.450001,19.549999,2200,19.119383
2014-12-24,19.799999,19.799999,19.75,19.75,1000,19.314978
2014-12-23,19.10,19.889999,19.08,19.860001,7500,19.422556
2014-12-22,20.09,20.09,19.50,19.50,11000,19.070485
2014-12-19,19.75,20.09,19.75,20.09,6300,19.647489
2014-12-18,19.93,19.93,19.709999,19.74,1100,19.305198
2014-12-17,19.709999,19.93,19.66,19.700001,3300,19.26608
2014-12-16,19.09,19.700001,19.09,19.700001,3600,19.26608
2014-12-15,18.76,19.200001,18.76,19.200001,5000,18.777093
2014-12-12,19.049999,19.18,18.799999,19.18,7500,18.757534
2014-12-11,19.50,19.549999,19.01,19.059999,14000,18.640176
2014-12-10,19.50,19.50,19.18,19.35,6800,18.923789
2014-12-09,19.75,19.75,19.35,19.60,9300,19.168283
2014-12-08,20.049999,20.32,19.75,19.82,7500,19.383436
2014-12-05,20.360001,20.360001,19.959999,20.34,3400,19.891983
2014-12-04,19.82,20.360001,19.82,20.290001,3000,19.843085
2014-12-03,20.040001,20.10,20.040001,20.07,1400,19.314978
2014-12-02,20.08,20.24,19.799999,20.24,3200,19.478583
2014-12-01,20.32,20.32,19.75,19.75,5800,19.007017
2014-11-28,20.200001,20.549999,20.200001,20.549999,2000,19.77692
2014-11-26,20.16,20.950001,20.10,20.950001,8600,20.161874
2014-11-25,20.309999,20.309999,20.02,20.049999,1600,19.29573
2014-11-24,20.719999,20.719999,20.08,20.530001,5100,19.757674
2014-11-21,20.629999,20.629999,19.82,20.02,6000,19.26686
2014-11-20,20.40,20.75,19.969999,20.15,3900,19.391968
2014-11-19,20.43,20.60,20.40,20.40,1300,19.632564
2014-11-18,19.809999,20.83,19.809999,20.549999,3800,19.77692
2014-11-17,19.450001,21.00,19.450001,20.219999,2300,19.459335
2014-11-14,20.110001,20.90,20.110001,20.90,5900,20.113754
2014-11-13,19.440001,20.40,19.32,19.860001,6300,19.112879
2014-11-12,19.10,19.49,19.10,19.25,3100,18.525826
2014-11-11,19.50,19.50,19.00,19.01,4700,18.294855
2014-11-10,20.00,20.50,19.00,19.00,28500,18.285231
2014-11-07,20.50,20.549999,20.01,20.09,8000,19.334226
2014-11-06,20.360001,21.00,20.360001,20.75,3200,19.969397
2014-11-05,20.370001,21.00,20.370001,20.83,2600,20.046388
2014-11-04,20.35,20.35,20.35,20.35,400,19.584445
2014-11-03,20.99,21.25,20.299999,20.700001,4600,19.921279
2014-10-31,20.440001,21.200001,20.40,20.860001,4000,20.07526
2014-10-30,20.940001,20.940001,20.35,20.940001,1300,20.15225
2014-10-29,20.51,21.200001,20.25,20.940001,9400,20.15225
2014-10-28,20.50,20.93,20.26,20.48,10700,19.709554
2014-10-27,20.950001,20.950001,20.190001,20.49,5500,19.719178
2014-10-24,21.129999,21.27,20.77,21.049999,4700,20.258111
2014-10-23,21.299999,21.60,21.110001,21.110001,1000,20.315855
2014-10-22,21.280001,21.700001,21.00,21.08,7000,20.286983
2014-10-21,21.75,21.75,21.41,21.74,1400,20.922154
2014-10-20,21.73,21.73,21.450001,21.700001,2400,20.883659
2014-10-17,21.360001,21.74,21.110001,21.74,2000,20.922154
2014-10-16,21.75,21.75,21.25,21.32,9300,20.517954
2014-10-15,22.620001,22.940001,21.73,22.459999,16900,21.615067
2014-10-14,21.860001,23.00,21.58,22.889999,3300,22.028891
2014-10-13,21.35,21.780001,21.32,21.690001,2800,20.874035
2014-10-10,21.84,21.84,21.50,21.790001,900,20.970274
2014-10-09,21.26,22.08,21.26,22.08,4600,21.249363
2014-10-08,21.40,21.959999,21.40,21.959999,1500,21.133877
2014-10-07,21.690001,21.690001,21.27,21.32,4600,20.517954
2014-10-06,21.83,22.049999,21.379999,21.77,3900,20.951026
2014-10-03,22.16,22.35,21.280001,22.35,2400,21.509207
2014-10-02,22.15,22.309999,22.15,22.200001,1200,21.36485
2014-10-01,22.07,22.32,22.07,22.209999,3100,21.374472
2014-09-30,22.280001,22.34,22.049999,22.33,1600,21.489958
2014-09-29,21.799999,22.309999,21.639999,22.00,9800,21.172373
2014-09-26,21.889999,22.99,21.379999,21.450001,13100,20.643064
2014-09-25,21.98,22.23,21.200001,22.219999,5700,21.384096
2014-09-24,21.719999,23.049999,21.049999,21.99,4700,21.162749
2014-09-23,22.00,22.99,21.709999,21.709999,7900,20.893282
2014-09-22,22.120001,22.77,22.049999,22.219999,1700,21.384096
2014-09-19,22.24,23.01,22.00,22.309999,5800,21.47071
