Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,16.190001,16.379999,16.16,16.280001,938500,16.280001
2015-09-03,16.23,16.51,16.15,16.379999,1662900,16.379999
2015-09-02,16.18,16.32,15.95,16.280001,1187500,16.280001
2015-09-01,16.35,16.459999,15.92,15.98,1734300,15.98
2015-08-31,16.33,16.74,16.26,16.709999,1766700,16.709999
2015-08-28,16.27,16.58,16.27,16.459999,1610100,16.459999
2015-08-27,16.68,16.709999,16.25,16.40,2936400,16.40
2015-08-26,15.91,16.200001,15.68,16.18,2565900,16.18
2015-08-25,16.77,16.91,15.63,15.63,2949900,15.63
2015-08-24,15.74,16.209999,15.53,15.67,2373600,15.67
2015-08-21,16.299999,16.700001,16.280001,16.49,1807800,16.49
2015-08-20,16.959999,17.00,16.67,16.67,1617800,16.67
2015-08-19,17.25,17.309999,17.049999,17.10,1216600,17.10
2015-08-18,17.43,17.540001,17.299999,17.34,1022500,17.34
2015-08-17,17.33,17.559999,17.17,17.41,1387500,17.41
2015-08-14,17.24,17.459999,17.129999,17.459999,871200,17.459999
2015-08-13,17.27,17.40,17.139999,17.26,1016400,17.26
2015-08-12,17.43,17.620001,16.90,17.27,1637000,17.27
2015-08-11,17.549999,17.690001,17.370001,17.57,1283200,17.57
2015-08-10,17.540001,17.77,17.459999,17.77,1622000,17.77
2015-08-07,17.51,17.639999,17.23,17.40,1569400,17.40
2015-08-06,17.790001,17.90,17.450001,17.549999,1711700,17.549999
2015-08-05,17.83,18.01,17.709999,17.76,1732300,17.76
2015-08-04,17.73,17.879999,17.68,17.74,1432400,17.74
2015-08-03,17.799999,17.84,17.48,17.719999,1529600,17.719999
2015-07-31,17.91,17.93,17.700001,17.74,2062400,17.74
2015-07-30,17.870001,17.940001,17.780001,17.879999,1441300,17.879999
2015-07-29,17.870001,17.98,17.780001,17.870001,1560900,17.870001
2015-07-28,18.07,18.129999,17.860001,17.91,1499700,17.91
2015-07-27,18.129999,18.290001,17.92,18.00,1215000,18.00
2015-07-24,18.370001,18.59,18.18,18.190001,1509900,18.190001
2015-07-23,18.799999,18.879999,18.40,18.43,1110600,18.43
2015-07-22,18.450001,18.82,18.450001,18.719999,1114100,18.719999
2015-07-21,18.57,18.879999,18.48,18.50,1511100,18.50
2015-07-20,18.549999,18.709999,18.389999,18.66,1929100,18.66
2015-07-17,18.66,18.66,18.309999,18.469999,1962300,18.469999
2015-07-16,18.889999,18.889999,18.34,18.469999,2015600,18.469999
2015-07-15,18.35,18.450001,18.26,18.309999,1646200,18.309999
2015-07-14,18.18,18.440001,18.120001,18.32,1485700,18.32
2015-07-13,18.23,18.42,18.200001,18.280001,1871900,18.280001
2015-07-10,18.09,18.17,17.879999,18.120001,1713100,18.120001
2015-07-09,17.83,17.98,17.719999,17.82,1296700,17.82
2015-07-08,17.58,17.809999,17.50,17.639999,1993200,17.639999
2015-07-07,17.860001,17.99,17.43,17.719999,1848600,17.719999
2015-07-06,17.65,17.93,17.52,17.93,1760600,17.93
2015-07-02,18.09,18.16,17.73,17.809999,1692400,17.809999
2015-07-01,18.34,18.34,17.99,18.08,2374900,18.08
2015-06-30,18.059999,18.24,17.82,17.99,1878700,17.99
2015-06-29,18.26,18.34,17.879999,17.889999,2080900,17.889999
2015-06-26,18.700001,18.860001,18.35,18.40,8582500,18.40
2015-06-25,18.77,18.860001,18.610001,18.719999,1400600,18.569999
2015-06-24,18.76,18.860001,18.639999,18.690001,1402900,18.540241
2015-06-23,18.50,18.790001,18.360001,18.75,2104700,18.599759
2015-06-22,18.40,18.540001,18.33,18.49,1906100,18.341843
2015-06-19,18.50,18.540001,18.309999,18.32,2675500,18.173205
2015-06-18,18.309999,18.52,18.23,18.49,1609300,18.341843
2015-06-17,18.90,18.92,18.34,18.35,1796100,18.202965
2015-06-16,18.629999,18.90,18.450001,18.790001,1541000,18.63944
2015-06-15,18.559999,18.690001,18.32,18.540001,1302300,18.391443
2015-06-12,18.690001,18.73,18.530001,18.639999,905000,18.49064
2015-06-11,18.60,18.690001,18.459999,18.68,987800,18.530321
2015-06-10,18.50,18.719999,18.370001,18.60,2119000,18.450962
2015-06-09,18.18,18.530001,18.07,18.360001,2034300,18.212885
2015-06-08,18.10,18.309999,18.00,18.17,1515100,18.024407
2015-06-05,18.01,18.18,17.93,18.18,1785400,18.034327
2015-06-04,17.99,18.040001,17.77,17.879999,1348200,17.73673
2015-06-03,17.799999,18.139999,17.77,18.049999,1428900,17.905368
2015-06-02,17.57,17.860001,17.33,17.75,1194800,17.607772
2015-06-01,17.65,17.74,17.389999,17.610001,1568300,17.468895
2015-05-29,17.610001,17.639999,17.370001,17.59,1167300,17.449054
2015-05-28,17.66,17.73,17.51,17.639999,942400,17.498653
2015-05-27,17.43,17.719999,17.35,17.68,1327100,17.538333
2015-05-26,17.379999,17.42,17.26,17.41,857100,17.270496
2015-05-22,17.59,17.66,17.459999,17.49,956900,17.349855
2015-05-21,17.58,17.700001,17.48,17.629999,760300,17.488733
2015-05-20,17.75,17.75,17.57,17.629999,947600,17.488733
2015-05-19,17.57,17.76,17.540001,17.76,1083400,17.617692
2015-05-18,17.23,17.559999,17.219999,17.530001,1750600,17.389536
2015-05-15,17.35,17.40,17.09,17.219999,2322300,17.082018
2015-05-14,17.360001,17.440001,17.299999,17.40,1419900,17.260576
2015-05-13,17.18,17.360001,17.07,17.309999,821800,17.171297
2015-05-12,17.08,17.25,16.90,17.190001,796000,17.05226
2015-05-11,17.040001,17.24,16.99,17.110001,1058600,16.972901
2015-05-08,17.059999,17.139999,16.85,17.07,1168400,16.933221
2015-05-07,17.01,17.10,16.84,16.91,1532200,16.774503
2015-05-06,16.99,17.07,16.860001,17.049999,1054500,16.91338
2015-05-05,16.98,17.15,16.860001,16.92,1208400,16.784423
2015-05-04,16.870001,17.09,16.83,17.049999,837000,16.91338
2015-05-01,17.120001,17.209999,16.82,16.84,1128000,16.705064
2015-04-30,17.25,17.32,16.969999,17.01,1660800,16.873702
2015-04-29,17.280001,17.459999,17.24,17.290001,1218500,17.151459
2015-04-28,17.129999,17.379999,16.950001,17.34,1327800,17.201058
2015-04-27,17.209999,17.370001,16.91,17.059999,1046400,16.923301
2015-04-24,17.280001,17.32,17.049999,17.18,974900,17.04234
2015-04-23,17.25,17.360001,17.16,17.26,1488400,17.121699
2015-04-22,17.26,17.35,17.059999,17.24,1478800,17.101859
2015-04-21,17.309999,17.41,17.190001,17.200001,1468800,17.06218
2015-04-20,17.190001,17.35,17.09,17.27,1631000,17.131619
2015-04-17,17.559999,17.639999,17.120001,17.129999,2441700,16.992739
2015-04-16,17.40,17.780001,17.15,17.67,3782000,17.528413
2015-04-15,17.360001,17.620001,17.26,17.50,2155900,17.359775
2015-04-14,17.379999,17.41,17.139999,17.35,1423300,17.210978
2015-04-13,17.209999,17.459999,17.16,17.450001,1294500,17.310177
2015-04-10,17.25,17.33,17.139999,17.24,702900,17.101859
2015-04-09,17.290001,17.360001,17.110001,17.200001,2050900,17.06218
