Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,5.50,6.04,5.11,5.85,9596500,5.85
2015-09-03,6.78,6.84,6.45,6.53,1988100,6.53
2015-09-02,6.89,6.97,6.67,6.81,750900,6.81
2015-09-01,6.89,7.15,6.76,6.80,1192900,6.80
2015-08-31,6.84,7.13,6.78,7.12,1158300,7.12
2015-08-28,6.81,7.08,6.74,6.89,961900,6.89
2015-08-27,6.79,6.89,6.64,6.86,1704900,6.86
2015-08-26,6.84,7.29,6.54,6.73,1348300,6.73
2015-08-25,7.03,7.03,6.67,6.71,1119500,6.71
2015-08-24,7.15,7.36,6.86,6.86,1430700,6.86
2015-08-21,7.53,7.68,7.41,7.50,963400,7.50
2015-08-20,7.83,7.84,7.68,7.69,839400,7.69
2015-08-19,7.93,7.93,7.81,7.87,402200,7.87
2015-08-18,7.96,8.20,7.93,7.99,925800,7.99
2015-08-17,7.91,8.02,7.81,7.96,1636500,7.96
2015-08-14,7.88,7.98,7.81,7.91,1059100,7.91
2015-08-13,7.92,8.08,7.88,7.91,629700,7.91
2015-08-12,7.96,8.04,7.82,7.95,534800,7.95
2015-08-11,8.10,8.20,8.02,8.04,593900,8.04
2015-08-10,8.00,8.22,7.96,8.15,752600,8.15
2015-08-07,8.20,8.20,7.95,7.97,687900,7.97
2015-08-06,8.40,8.43,8.19,8.24,840100,8.24
2015-08-05,8.42,8.52,8.35,8.36,1230000,8.36
2015-08-04,8.34,8.45,8.32,8.40,1052200,8.40
2015-08-03,8.40,8.49,8.27,8.32,845500,8.32
2015-07-31,8.37,8.52,8.35,8.40,1733700,8.40
2015-07-30,8.45,8.64,8.30,8.34,1112700,8.34
2015-07-29,8.20,8.75,8.20,8.50,1178800,8.50
2015-07-28,8.20,8.21,8.06,8.19,1991000,8.19
2015-07-27,8.20,8.29,8.11,8.17,929700,8.17
2015-07-24,8.44,8.53,8.24,8.25,488200,8.25
2015-07-23,8.65,8.71,8.47,8.47,733600,8.47
2015-07-22,8.69,8.75,8.60,8.61,363400,8.61
2015-07-21,8.57,8.79,8.57,8.73,971800,8.73
2015-07-20,8.84,8.87,8.59,8.60,877600,8.60
2015-07-17,8.88,9.00,8.79,8.82,625800,8.82
2015-07-16,8.96,9.00,8.83,8.84,492800,8.84
2015-07-15,9.19,9.19,8.90,8.90,724100,8.90
2015-07-14,9.32,9.32,9.17,9.18,695600,9.18
2015-07-13,9.10,9.45,9.06,9.30,1080500,9.30
2015-07-10,9.08,9.16,8.99,9.05,761400,9.05
2015-07-09,9.00,9.11,8.84,8.99,1158000,8.99
2015-07-08,9.14,9.22,8.88,8.90,922200,8.90
2015-07-07,9.27,9.29,9.05,9.24,1126300,9.24
2015-07-06,9.33,9.50,9.14,9.24,1231600,9.24
2015-07-02,9.58,9.60,9.34,9.39,872200,9.39
2015-07-01,10.06,10.08,9.54,9.55,1255200,9.55
2015-06-30,9.53,10.17,9.52,9.99,1203000,9.99
2015-06-29,9.73,9.80,9.44,9.48,1660200,9.48
2015-06-26,9.99,10.13,9.78,9.82,1020200,9.82
2015-06-25,9.91,10.06,9.77,9.98,680200,9.98
2015-06-24,10.22,10.25,9.81,9.86,746400,9.86
2015-06-23,10.22,10.30,10.20,10.22,619100,10.22
2015-06-22,10.27,10.31,10.12,10.24,611500,10.24
2015-06-19,10.35,10.35,10.14,10.22,1337500,10.22
2015-06-18,9.89,10.38,9.89,10.32,696500,10.32
2015-06-17,9.82,9.93,9.73,9.87,843200,9.87
2015-06-16,10.08,10.08,9.78,9.86,935700,9.86
2015-06-15,9.85,10.18,9.69,10.09,782700,10.09
2015-06-12,10.00,10.00,9.78,9.90,1011000,9.90
2015-06-11,10.05,10.20,10.00,10.03,817100,10.03
2015-06-10,10.06,10.20,10.03,10.06,753100,10.06
2015-06-09,10.13,10.23,9.99,10.04,960200,10.04
2015-06-08,10.31,10.34,10.05,10.16,882100,10.16
2015-06-05,9.97,10.71,9.77,10.38,2382600,10.38
2015-06-04,10.33,10.38,9.87,9.98,1009700,9.98
2015-06-03,9.75,10.34,9.75,10.32,949000,10.32
2015-06-02,9.84,10.05,9.70,9.72,925300,9.72
2015-06-01,9.69,9.89,9.60,9.89,1187400,9.89
2015-05-29,9.65,9.79,9.59,9.62,2991200,9.62
2015-05-28,9.66,9.70,9.60,9.66,733700,9.66
2015-05-27,9.50,9.74,9.47,9.65,960600,9.65
2015-05-26,9.62,9.63,9.45,9.49,892000,9.49
2015-05-22,9.68,9.78,9.57,9.60,427200,9.60
2015-05-21,9.59,9.78,9.53,9.67,1193000,9.67
2015-05-20,9.61,9.71,9.52,9.60,483900,9.60
2015-05-19,9.68,9.72,9.59,9.61,350800,9.61
2015-05-18,9.60,9.71,9.47,9.67,919900,9.67
2015-05-15,9.72,9.81,9.54,9.61,1064400,9.61
2015-05-14,9.56,9.72,9.56,9.70,824100,9.70
2015-05-13,9.37,9.52,9.35,9.51,1893300,9.51
2015-05-12,9.41,9.49,9.27,9.36,635400,9.36
2015-05-11,9.42,9.54,9.39,9.41,428800,9.41
2015-05-08,9.50,9.66,9.41,9.44,526000,9.44
2015-05-07,9.43,9.54,9.40,9.43,873500,9.43
2015-05-06,9.20,9.48,9.17,9.47,1473500,9.47
2015-05-05,9.16,9.25,9.05,9.14,2039100,9.14
2015-05-04,8.91,9.27,8.91,9.16,1323600,9.16
2015-05-01,9.03,9.09,8.74,8.92,1601300,8.92
2015-04-30,8.95,9.07,8.82,9.03,1745400,9.03
2015-04-29,9.09,9.11,8.94,9.01,1929800,9.01
2015-04-28,9.07,9.18,8.95,9.12,895700,9.12
2015-04-27,9.27,9.39,9.05,9.08,761600,9.08
2015-04-24,9.45,9.46,9.23,9.27,801600,9.27
2015-04-23,9.34,9.45,9.30,9.41,667400,9.41
2015-04-22,9.36,9.40,9.19,9.39,826400,9.39
2015-04-21,9.19,9.33,9.14,9.32,1082500,9.32
2015-04-20,9.23,9.31,9.16,9.17,533300,9.17
2015-04-17,9.33,9.41,9.11,9.21,1648000,9.21
2015-04-16,9.41,9.51,9.30,9.41,1318600,9.41
2015-04-15,9.47,9.51,9.29,9.45,1329000,9.45
2015-04-14,9.38,9.41,9.16,9.41,1971600,9.41
2015-04-13,9.54,9.60,9.36,9.41,1315700,9.41
2015-04-10,9.96,10.03,9.54,9.57,2100300,9.57
2015-04-09,9.61,10.01,9.53,9.98,2237300,9.98
2015-04-08,9.43,9.63,9.40,9.61,2506500,9.61
2015-04-07,9.47,9.68,9.42,9.44,2707100,9.44
2015-04-06,9.56,9.66,9.29,9.45,3817400,9.45
2015-04-02,10.00,10.03,9.50,9.65,3999800,9.65
2015-04-01,10.24,10.47,9.97,9.98,8191600,9.98
2015-03-31,12.53,12.57,12.10,12.30,1401600,12.30
2015-03-30,12.61,12.86,12.37,12.54,1068000,12.54
2015-03-27,12.73,12.86,12.50,12.51,912200,12.51
2015-03-26,12.84,12.93,12.66,12.70,734400,12.70
2015-03-25,13.49,13.54,12.82,12.85,701000,12.85
2015-03-24,13.53,13.61,13.28,13.46,1552200,13.46
2015-03-23,13.50,13.73,13.50,13.56,1350600,13.56
2015-03-20,13.73,13.74,13.47,13.49,1960200,13.49
2015-03-19,13.32,13.72,13.32,13.63,838300,13.63
2015-03-18,13.25,13.35,13.13,13.31,453300,13.31
2015-03-17,13.18,13.37,13.07,13.31,937100,13.31
2015-03-16,13.46,13.52,13.18,13.24,634000,13.24
2015-03-13,13.33,13.65,13.24,13.38,906700,13.38
2015-03-12,13.20,13.38,13.16,13.34,729400,13.34
2015-03-11,13.25,13.39,13.03,13.09,1198600,13.09
2015-03-10,13.82,13.98,13.11,13.19,1288100,13.19
2015-03-09,14.12,14.18,13.25,13.92,2300500,13.92
2015-03-06,12.64,12.85,12.59,12.59,694000,12.59
2015-03-05,12.78,12.96,12.64,12.74,595100,12.74
2015-03-04,13.21,13.26,12.78,12.78,854200,12.78
2015-03-03,13.02,13.36,12.80,13.24,741800,13.24
2015-03-02,13.10,13.46,12.99,12.99,1417600,12.99
2015-02-27,12.90,13.29,12.88,13.08,908300,13.08
2015-02-26,12.75,12.94,12.64,12.93,614800,12.93
2015-02-25,12.54,12.91,12.52,12.75,572100,12.75
2015-02-24,12.49,12.70,12.38,12.57,674800,12.57
2015-02-23,12.44,12.50,12.38,12.49,382800,12.49
2015-02-20,12.51,12.57,12.34,12.48,480400,12.48
2015-02-19,12.33,12.69,12.33,12.50,694100,12.50
2015-02-18,12.10,12.39,12.03,12.39,425500,12.39
2015-02-17,12.12,12.39,12.08,12.10,263800,12.10
2015-02-13,11.89,12.12,11.85,12.10,458500,12.10
2015-02-12,11.69,11.97,11.69,11.85,349000,11.85
2015-02-11,11.81,11.99,11.78,11.83,569500,11.83
2015-02-10,12.15,12.15,11.83,11.84,959200,11.84
2015-02-09,12.11,12.24,12.04,12.07,516000,12.07
2015-02-06,12.12,12.35,12.04,12.21,426500,12.21
2015-02-05,12.02,12.18,11.91,12.10,471000,12.10
