Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.60,9.85,9.47,9.66,183000,9.66
2014-12-30,9.11,9.69,9.11,9.52,240800,9.52
2014-12-29,9.31,9.48,8.72,9.17,103600,9.17
2014-12-26,8.34,9.29,8.27,9.27,114900,9.27
2014-12-24,7.81,8.47,7.81,8.24,48800,8.24
2014-12-23,8.11,8.27,7.84,8.17,106600,8.17
2014-12-22,8.35,8.53,8.00,8.08,32700,8.08
2014-12-19,7.79,8.45,7.79,8.34,96400,8.34
2014-12-18,7.80,7.89,7.45,7.75,100500,7.75
2014-12-17,7.26,7.79,7.25,7.67,59800,7.67
2014-12-16,7.56,7.60,7.15,7.28,72900,7.28
2014-12-15,7.49,7.67,7.28,7.53,83900,7.53
2014-12-12,7.21,7.52,7.18,7.45,184300,7.45
2014-12-11,7.54,7.70,7.25,7.31,115400,7.31
2014-12-10,7.29,7.79,7.29,7.55,65000,7.55
2014-12-09,7.16,7.40,6.93,7.32,116900,7.32
2014-12-08,6.67,7.47,6.67,7.23,99300,7.23
2014-12-05,6.48,6.75,6.44,6.71,82600,6.71
2014-12-04,6.38,6.50,6.31,6.48,119400,6.48
2014-12-03,6.36,6.42,6.27,6.34,62000,6.34
2014-12-02,6.36,6.77,6.25,6.33,225300,6.33
2014-12-01,6.50,6.54,6.30,6.37,66000,6.37
2014-11-28,6.69,6.71,6.49,6.52,40100,6.52
2014-11-26,6.60,6.73,6.60,6.64,79300,6.64
2014-11-25,6.82,6.84,6.60,6.61,21400,6.61
2014-11-24,6.59,7.07,6.59,6.78,155600,6.78
2014-11-21,6.70,6.75,6.50,6.60,66400,6.60
2014-11-20,6.51,6.67,6.35,6.61,79400,6.61
2014-11-19,6.76,6.76,6.52,6.54,35300,6.54
2014-11-18,6.86,7.04,6.67,6.74,45200,6.74
2014-11-17,6.75,6.98,6.66,6.82,106800,6.82
2014-11-14,6.22,6.99,6.01,6.77,260200,6.77
2014-11-13,7.88,8.10,7.38,7.46,56900,7.46
2014-11-12,7.95,7.99,7.49,7.90,50100,7.90
2014-11-11,7.62,7.90,7.62,7.80,28900,7.80
2014-11-10,7.72,8.03,7.63,7.68,36700,7.68
2014-11-07,7.82,7.88,7.54,7.73,70100,7.73
2014-11-06,8.25,8.29,7.93,8.08,54500,8.08
2014-11-05,8.47,8.47,8.13,8.23,32400,8.23
2014-11-04,7.98,8.46,7.98,8.38,45700,8.38
2014-11-03,8.13,8.13,7.84,8.01,57100,8.01
2014-10-31,8.00,8.18,7.55,8.07,154000,8.07
2014-10-30,7.83,8.01,7.81,7.96,45100,7.96
2014-10-29,7.91,7.96,7.78,7.89,107100,7.89
2014-10-28,7.94,8.16,7.84,7.92,60500,7.92
2014-10-27,8.04,8.16,7.88,7.92,40400,7.92
2014-10-24,8.15,8.18,7.80,8.06,25600,8.06
2014-10-23,7.99,8.39,7.99,8.12,32700,8.12
2014-10-22,7.82,8.17,7.82,7.88,30400,7.88
2014-10-21,7.71,7.89,7.64,7.76,47400,7.76
2014-10-20,7.23,7.78,7.21,7.72,53600,7.72
2014-10-17,7.61,7.75,7.09,7.31,151100,7.31
2014-10-16,7.46,7.86,7.22,7.48,124000,7.48
2014-10-15,8.05,8.05,7.45,7.655,103800,7.655
2014-10-14,8.60,8.72,8.17,8.23,68200,8.23
2014-10-13,8.61,8.69,8.35,8.55,38100,8.55
2014-10-10,8.67,8.80,8.57,8.65,58100,8.65
2014-10-09,9.05,9.05,8.559,8.66,106600,8.66
2014-10-08,9.13,9.38,9.01,9.08,83800,9.08
2014-10-07,9.40,9.57,9.11,9.16,121300,9.16
2014-10-06,9.62,9.75,9.27,9.37,77300,9.37
2014-10-03,9.61,9.85,9.47,9.60,90800,9.60
