Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,0.60,0.61,0.58,0.60,136200,0.60
2015-09-03,0.62,0.62,0.58,0.61,149700,0.61
2015-09-02,0.60,0.62,0.57,0.60,139000,0.60
2015-09-01,0.59,0.61,0.56,0.61,222900,0.61
2015-08-31,0.58,0.60,0.57,0.59,158500,0.59
2015-08-28,0.56,0.59,0.56,0.59,197800,0.59
2015-08-27,0.56,0.58,0.55,0.56,79800,0.56
2015-08-26,0.58,0.58,0.54,0.56,146900,0.56
2015-08-25,0.58,0.58,0.56,0.57,132000,0.57
2015-08-24,0.56,0.58,0.53,0.58,232400,0.58
2015-08-21,0.60,0.61,0.57,0.58,602600,0.58
2015-08-20,0.62,0.63,0.61,0.62,182100,0.62
2015-08-19,0.68,0.68,0.62,0.62,620400,0.62
2015-08-18,0.63,0.65,0.62,0.63,110900,0.63
2015-08-17,0.62,0.64,0.62,0.64,159800,0.64
2015-08-14,0.63,0.64,0.61,0.63,125700,0.63
2015-08-13,0.62,0.64,0.61,0.62,105600,0.62
2015-08-12,0.62,0.64,0.61,0.61,92200,0.61
2015-08-11,0.62,0.64,0.61,0.63,160500,0.63
2015-08-10,0.61,0.64,0.61,0.63,90900,0.63
2015-08-07,0.64,0.64,0.60,0.62,148700,0.62
2015-08-06,0.62,0.64,0.61,0.64,333000,0.64
2015-08-05,0.63,0.65,0.62,0.62,76400,0.62
2015-08-04,0.62,0.65,0.62,0.65,201800,0.65
2015-08-03,0.64,0.65,0.63,0.63,120400,0.63
2015-07-31,0.63,0.65,0.61,0.64,160300,0.64
2015-07-30,0.64,0.64,0.61,0.63,288400,0.63
2015-07-29,0.63,0.64,0.62,0.64,175600,0.64
2015-07-28,0.63,0.64,0.61,0.64,104500,0.64
2015-07-27,0.61,0.64,0.60,0.61,318600,0.61
2015-07-24,0.62,0.64,0.60,0.63,472800,0.63
2015-07-23,0.62,0.64,0.62,0.63,148500,0.63
2015-07-22,0.62,0.64,0.60,0.63,711300,0.63
2015-07-21,0.65,0.66,0.61,0.64,760200,0.64
2015-07-20,0.68,0.69,0.65,0.67,622000,0.67
2015-07-17,0.70,0.71,0.67,0.69,179300,0.69
2015-07-16,0.70,0.72,0.68,0.69,732000,0.69
2015-07-15,0.69,0.72,0.69,0.70,692900,0.70
2015-07-14,0.71,0.71,0.69,0.70,230100,0.70
2015-07-13,0.69,0.71,0.69,0.70,532500,0.70
