Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.50,4.63,4.47,4.52,1750800,4.52
2015-09-03,4.70,4.86,4.55,4.65,1478500,4.65
2015-09-02,4.55,4.59,4.40,4.59,1811300,4.59
2015-09-01,4.56,4.82,4.46,4.47,2821400,4.47
2015-08-31,4.61,4.84,4.52,4.67,2111800,4.67
2015-08-28,4.59,4.73,4.56,4.64,3043600,4.64
2015-08-27,4.47,4.84,4.41,4.73,3785700,4.73
2015-08-26,4.39,4.62,4.29,4.55,4404000,4.55
2015-08-25,4.30,4.59,4.27,4.30,6395200,4.30
2015-08-24,4.10,4.47,4.10,4.24,5910800,4.24
2015-08-21,4.94,4.97,4.50,4.51,3598900,4.51
2015-08-20,5.13,5.24,5.01,5.03,2392400,5.03
2015-08-19,5.45,5.48,5.14,5.23,2528500,5.23
2015-08-18,5.43,5.50,5.30,5.49,733500,5.49
2015-08-17,5.44,5.44,5.33,5.41,844800,5.41
2015-08-14,5.48,5.52,5.31,5.43,1605000,5.43
2015-08-13,5.61,5.64,5.51,5.56,888700,5.56
2015-08-12,5.75,5.76,5.51,5.67,2979200,5.67
2015-08-11,5.94,5.94,5.72,5.83,1841800,5.83
2015-08-10,5.80,5.97,5.62,5.97,2368800,5.97
2015-08-07,5.43,5.78,5.40,5.74,2399700,5.74
2015-08-06,6.19,6.20,5.34,5.43,4520200,5.43
2015-08-05,5.86,5.90,5.77,5.84,1260900,5.84
2015-08-04,5.68,5.95,5.67,5.71,2145100,5.71
2015-08-03,5.76,5.82,5.55,5.60,2309200,5.60
2015-07-31,5.75,5.81,5.73,5.78,1569500,5.78
2015-07-30,5.86,5.90,5.67,5.75,1866100,5.75
2015-07-29,5.06,6.00,5.06,5.94,5584000,5.94
2015-07-28,5.11,5.15,4.97,5.13,1678900,5.13
2015-07-27,5.25,5.25,5.05,5.08,1479400,5.08
2015-07-24,5.25,5.29,5.08,5.29,1290500,5.29
2015-07-23,5.19,5.27,5.13,5.26,1454600,5.26
2015-07-22,5.22,5.22,5.05,5.18,1188300,5.18
2015-07-21,5.08,5.20,5.02,5.20,1111600,5.20
2015-07-20,5.03,5.10,4.93,5.04,1387400,5.04
2015-07-17,5.15,5.19,5.08,5.15,2134000,5.15
2015-07-16,4.99,5.18,4.92,5.17,1358700,5.17
2015-07-15,5.03,5.15,4.90,4.93,1249100,4.93
2015-07-14,5.06,5.21,5.02,5.10,1974900,5.10
2015-07-13,4.90,5.07,4.88,5.07,1715100,5.07
2015-07-10,4.84,4.96,4.83,4.86,1275700,4.86
2015-07-09,4.75,4.91,4.75,4.79,1570500,4.79
2015-07-08,4.83,4.90,4.55,4.62,2357800,4.62
2015-07-07,4.82,4.96,4.50,4.92,3133700,4.92
2015-07-06,5.00,5.06,4.78,4.86,2820700,4.86
2015-07-02,5.03,5.15,5.03,5.06,1587700,5.06
2015-07-01,5.19,5.20,5.00,5.06,2049600,5.06
2015-06-30,4.94,5.00,4.85,4.97,1938800,4.97
2015-06-29,5.15,5.15,4.92,4.95,2393400,4.95
2015-06-26,5.25,5.25,5.09,5.10,1379100,5.10
2015-06-25,5.29,5.34,5.14,5.16,1101600,5.16
2015-06-24,5.37,5.42,5.22,5.24,1638000,5.24
2015-06-23,5.45,5.54,5.39,5.40,1271900,5.40
2015-06-22,5.58,5.65,5.46,5.53,2035200,5.53
2015-06-19,5.58,5.60,5.35,5.40,3095900,5.40
2015-06-18,5.22,5.56,5.21,5.54,2339500,5.54
2015-06-17,5.23,5.32,5.18,5.19,1642700,5.19
2015-06-16,5.28,5.34,5.24,5.26,515500,5.26
2015-06-15,5.17,5.35,5.09,5.31,2214100,5.31
2015-06-12,5.24,5.33,5.21,5.24,1111200,5.24
2015-06-11,5.29,5.36,5.25,5.29,1182600,5.29
2015-06-10,5.29,5.42,5.29,5.36,2281100,5.36
2015-06-09,5.36,5.38,5.22,5.24,1651500,5.24
2015-06-08,5.56,5.66,5.30,5.33,2399600,5.33
2015-06-05,5.83,5.94,5.50,5.58,3939800,5.58
2015-06-04,6.32,6.36,5.91,5.97,2746000,5.97
2015-06-03,6.29,6.50,6.22,6.37,2879900,6.37
2015-06-02,6.14,6.34,6.12,6.29,2601900,6.29
2015-06-01,6.27,6.27,6.05,6.13,1775100,6.13
2015-05-29,6.09,6.22,5.99,6.21,2711700,6.21
2015-05-28,6.29,6.30,6.13,6.14,1692900,6.14
2015-05-27,6.13,6.36,6.03,6.29,2290600,6.29
2015-05-26,6.23,6.23,6.03,6.15,2119100,6.15
2015-05-22,6.13,6.33,6.13,6.24,1194800,6.24
2015-05-21,6.15,6.32,6.11,6.31,1216600,6.31
2015-05-20,6.20,6.20,5.96,6.13,2566500,6.13
2015-05-19,6.10,6.26,5.91,6.12,2113800,6.12
