Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.10,0.10,0.06,0.06,5800,0.06
2014-12-30,0.06,0.10,0.06,0.10,6400,0.10
2014-12-29,0.06,0.06,0.06,0.06,000,0.06
2014-12-26,0.10,0.10,0.06,0.06,1000,0.06
2014-12-24,0.06,0.06,0.06,0.06,000,0.06
2014-12-23,0.05,0.05,0.05,0.05,000,0.05
2014-12-22,0.05,0.05,0.05,0.05,2500,0.05
2014-12-19,0.05,0.05,0.05,0.05,000,0.05
2014-12-18,0.05,0.05,0.05,0.05,000,0.05
2014-12-17,0.05,0.05,0.05,0.05,000,0.05
2014-12-16,0.05,0.05,0.05,0.05,600,0.05
2014-12-15,0.11,0.11,0.11,0.11,900,0.11
2014-12-12,0.11,0.11,0.11,0.11,400,0.11
2014-12-11,0.11,0.11,0.11,0.11,000,0.11
2014-12-10,0.11,0.11,0.11,0.11,900,0.11
2014-12-09,0.12,0.12,0.10,0.11,5900,0.11
2014-12-08,0.09,0.14,0.09,0.14,1100,0.14
2014-12-05,0.15,0.17,0.07,0.16,11300,0.16
2014-12-04,0.13,0.15,0.13,0.15,3200,0.15
2014-12-03,0.06,0.13,0.06,0.13,14900,0.13
2014-12-02,0.08,0.08,0.08,0.08,000,0.08
2014-12-01,0.08,0.08,0.08,0.08,200,0.08
2014-11-28,0.08,0.16,0.08,0.11,2600,0.11
2014-11-26,0.08,0.08,0.08,0.08,000,0.08
2014-11-25,0.08,0.08,0.08,0.08,000,0.08
2014-11-24,0.08,0.08,0.08,0.08,1300,0.08
2014-11-21,0.10,0.20,0.10,0.20,1800,0.20
2014-11-20,0.10,0.10,0.10,0.10,000,0.10
2014-11-19,0.10,0.10,0.10,0.10,000,0.10
2014-11-18,0.10,0.10,0.10,0.10,000,0.10
2014-11-17,0.10,0.10,0.10,0.10,000,0.10
2014-11-14,0.10,0.10,0.10,0.10,300,0.10
2014-11-13,0.08,0.08,0.08,0.08,000,0.08
2014-11-12,0.08,0.08,0.08,0.08,1100,0.08
2014-11-11,0.20,0.20,0.20,0.20,000,0.20
2014-11-10,0.19,0.20,0.19,0.20,3100,0.20
2014-11-07,0.08,0.18,0.07,0.18,10100,0.18
2014-11-06,0.10,0.10,0.10,0.10,000,0.10
2014-11-05,0.09,0.10,0.09,0.10,200,0.10
2014-11-04,0.19,0.19,0.13,0.13,900,0.13
2014-11-03,0.20,0.20,0.20,0.20,2500,0.20
2014-10-31,0.19,0.20,0.19,0.20,1700,0.20
2014-10-30,0.19,0.19,0.19,0.19,000,0.19
2014-10-29,0.19,0.19,0.19,0.19,000,0.19
2014-10-28,0.19,0.19,0.19,0.19,100,0.19
2014-10-27,0.22,0.30,0.10,0.20,15400,0.20
2014-10-24,0.20,0.20,0.15,0.15,4800,0.15
2014-10-23,0.16,0.16,0.14,0.15,8100,0.15
2014-10-22,0.02,0.16,0.02,0.16,1700,0.16
2014-10-21,0.15,0.15,0.15,0.15,000,0.15
2014-10-20,0.15,0.15,0.15,0.15,000,0.15
2014-10-17,0.15,0.17,0.15,0.15,3000,0.15
2014-10-16,0.07,0.22,0.06,0.16,38800,0.16
2014-10-15,0.03,0.03,0.01,0.01,600,0.01
2014-10-14,0.05,0.05,0.03,0.03,300,0.03
2014-10-13,0.12,0.15,0.04,0.04,5900,0.04
2014-10-10,0.04,0.04,0.04,0.04,000,0.04
2014-10-09,0.04,0.04,0.04,0.04,000,0.04
2014-10-08,0.06,0.06,0.04,0.04,6000,0.04
2014-10-07,0.06,0.07,0.06,0.07,1200,0.07
2014-10-06,0.08,0.08,0.06,0.06,6000,0.06
2014-10-03,0.08,0.08,0.08,0.08,000,0.08
2014-10-02,0.08,0.08,0.08,0.08,000,0.08
2014-10-01,0.08,0.08,0.08,0.08,000,0.08
2014-09-30,0.08,0.08,0.08,0.08,000,0.08
2014-09-29,0.08,0.08,0.08,0.08,000,0.08
2014-09-26,0.08,0.08,0.08,0.08,000,0.08
2014-09-25,0.08,0.08,0.08,0.08,000,0.08
2014-09-24,0.08,0.08,0.08,0.08,000,0.08
2014-09-23,0.11,0.11,0.08,0.08,600,0.08
2014-09-22,0.11,0.11,0.11,0.11,000,0.11
2014-09-19,0.11,0.11,0.11,0.11,000,0.11
2014-09-18,0.11,0.11,0.11,0.11,000,0.11
2014-09-17,0.11,0.18,0.11,0.11,11600,0.11
2014-09-16,0.11,0.11,0.11,0.11,000,0.11
2014-09-15,0.11,0.11,0.11,0.11,000,0.11
2014-09-12,0.11,0.11,0.11,0.11,000,0.11
2014-09-11,0.11,0.11,0.11,0.11,000,0.11
2014-09-10,0.11,0.11,0.11,0.11,000,0.11
2014-09-09,0.11,0.11,0.11,0.11,000,0.11
2014-09-08,0.11,0.11,0.11,0.11,000,0.11
2014-09-05,0.11,0.11,0.11,0.11,000,0.11
2014-09-04,0.11,0.11,0.11,0.11,000,0.11
2014-09-03,0.11,0.11,0.11,0.11,000,0.11
2014-09-02,0.11,0.11,0.11,0.11,000,0.11
2014-08-29,0.11,0.11,0.11,0.11,000,0.11
2014-08-28,0.11,0.11,0.11,0.11,2900,0.11
