Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,11.88,12.24,11.80,12.11,561000,12.11
2015-09-03,12.42,12.83,11.92,11.93,1007100,11.93
2015-09-02,11.73,12.44,11.69,12.18,1479900,12.18
2015-09-01,11.52,12.07,11.50,11.60,843800,11.60
2015-08-31,11.80,12.30,11.73,11.79,816900,11.79
2015-08-28,11.86,12.13,11.80,11.93,778200,11.93
2015-08-27,11.66,12.22,11.66,11.99,907400,11.99
2015-08-26,11.40,11.70,10.99,11.62,740300,11.62
2015-08-25,11.32,11.53,10.92,11.07,829900,11.07
2015-08-24,10.93,11.18,10.57,10.88,862500,10.88
2015-08-21,11.28,11.76,11.10,11.46,599700,11.46
2015-08-20,11.75,11.84,11.49,11.51,599100,11.51
2015-08-19,11.91,11.99,11.59,11.79,404500,11.79
2015-08-18,12.32,12.39,11.91,11.98,507800,11.98
2015-08-17,12.05,12.41,11.81,12.30,488000,12.30
2015-08-14,11.95,12.21,11.73,12.03,724000,12.03
2015-08-13,12.11,12.33,11.96,12.01,573100,12.01
2015-08-12,11.95,12.30,11.59,12.15,599200,12.15
2015-08-11,12.13,12.40,11.78,11.90,530600,11.90
2015-08-10,11.79,12.34,11.77,12.21,517400,12.21
2015-08-07,12.17,12.40,11.65,11.87,706100,11.87
2015-08-06,12.37,12.67,12.16,12.20,941900,12.20
2015-08-05,12.32,12.74,12.27,12.41,717800,12.41
2015-08-04,12.75,12.88,12.41,12.55,741700,12.55
2015-08-03,12.30,12.82,12.25,12.70,908000,12.70
2015-07-31,12.07,12.50,12.02,12.24,1237000,12.24
2015-07-30,11.40,12.60,11.40,12.07,1767000,12.07
2015-07-29,11.25,11.46,10.91,11.14,908300,11.14
2015-07-28,11.04,11.25,10.85,11.14,578200,11.14
2015-07-27,10.81,11.06,10.61,11.03,703400,11.03
2015-07-24,11.71,11.81,10.97,11.05,802300,11.05
2015-07-23,11.97,12.08,11.73,11.78,424200,11.78
2015-07-22,12.07,12.15,11.85,11.91,467200,11.91
2015-07-21,12.25,12.42,12.08,12.09,412900,12.09
2015-07-20,12.09,12.30,11.99,12.28,343800,12.28
2015-07-17,12.34,12.34,11.99,12.12,462700,12.12
2015-07-16,12.19,12.44,12.15,12.30,335600,12.30
2015-07-15,12.53,12.53,12.10,12.13,625800,12.13
2015-07-14,12.41,12.54,12.30,12.44,516700,12.44
2015-07-13,12.52,12.63,12.34,12.40,467700,12.40
2015-07-10,12.23,12.45,11.98,12.41,551100,12.41
2015-07-09,11.74,12.11,11.69,12.08,742500,12.08
2015-07-08,12.42,12.42,11.61,11.65,1041000,11.65
2015-07-07,12.47,12.73,12.05,12.32,643700,12.32
2015-07-06,12.55,12.80,12.36,12.56,521400,12.56
2015-07-02,12.58,12.79,12.42,12.63,439400,12.63
2015-07-01,12.77,12.92,12.32,12.55,922400,12.55
2015-06-30,12.55,12.90,12.48,12.69,719900,12.69
2015-06-29,12.44,12.81,12.25,12.40,777000,12.40
2015-06-26,12.85,12.96,12.54,12.57,1231600,12.57
2015-06-25,13.45,13.60,12.67,12.82,1262200,12.82
2015-06-24,13.25,13.92,13.09,13.42,2614000,13.42
2015-06-23,12.98,13.08,12.81,12.91,1090100,12.91
2015-06-22,12.93,13.20,12.76,12.98,1155600,12.98
2015-06-19,13.06,13.18,12.72,12.86,1483200,12.86
2015-06-18,13.02,13.31,12.96,13.03,595400,13.03
2015-06-17,13.16,13.39,12.91,12.96,394000,12.96
