Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.43,3.43,3.43,3.43,100,3.43
2014-12-30,3.43,3.48,3.43,3.47,1600,3.47
2014-12-29,3.43,3.43,3.43,3.43,100,3.43
2014-12-26,3.75,3.75,3.43,3.64,5400,3.64
2014-12-24,3.75,3.75,3.75,3.75,200,3.75
2014-12-23,3.75,3.81,3.75,3.81,1500,3.81
2014-12-22,3.78,3.78,3.75,3.75,1100,3.75
2014-12-19,4.11,4.11,3.88,3.88,900,3.88
2014-12-18,4.33,4.38,3.93,4.38,1200,4.38
2014-12-17,4.37,4.39,4.37,4.39,700,4.39
2014-12-16,4.64,4.64,3.95,3.96,300,3.96
2014-12-15,4.36,4.36,3.62,3.64,3100,3.64
2014-12-12,4.75,4.75,4.50,4.72,800,4.72
2014-12-11,5.17,5.69,4.54,4.90,4100,4.90
2014-12-10,6.00,6.00,6.00,6.00,600,6.00
2014-12-09,5.92,5.92,5.92,5.92,000,5.92
2014-12-08,5.03,6.45,5.03,5.92,6100,5.92
2014-12-05,1.35,1.52,1.35,1.52,2400,6.08
2014-12-04,1.43,1.60,1.43,1.46,8300,5.84
2014-12-03,1.40,1.41,1.36,1.41,300,5.64
2014-12-02,1.38,1.47,1.35,1.39,4500,5.56
2014-12-01,1.50,1.52,1.15,1.28,3900,5.12
2014-11-28,1.50,1.55,1.48,1.50,1300,6.00
2014-11-26,1.30,1.67,1.22,1.57,17600,6.28
2014-11-25,1.37,1.39,1.35,1.39,5700,5.56
2014-11-24,1.30,1.38,1.30,1.36,1700,5.44
2014-11-21,1.40,1.53,1.28,1.33,1400,5.32
2014-11-20,1.52,1.57,1.45,1.45,6600,5.80
2014-11-19,1.26,1.68,1.25,1.48,16100,5.92
2014-11-18,1.27,1.39,1.26,1.29,2800,5.16
2014-11-17,1.27,1.27,1.26,1.26,200,5.04
2014-11-14,1.34,1.48,1.28,1.28,1600,5.12
2014-11-13,1.35,1.35,1.35,1.35,000,5.40
2014-11-12,1.35,1.35,1.35,1.35,100,5.40
2014-11-11,1.28,1.32,1.28,1.30,1000,5.20
2014-11-10,1.27,1.27,1.27,1.27,000,5.08
2014-11-07,1.27,1.27,1.27,1.27,000,5.08
2014-11-06,1.27,1.27,1.27,1.27,200,5.08
2014-11-05,1.28,1.28,1.22,1.27,500,5.08
2014-11-04,1.30,1.30,1.28,1.28,100,5.12
2014-11-03,1.31,1.31,1.31,1.31,000,5.24
2014-10-31,1.31,1.31,1.31,1.31,000,5.24
2014-10-30,1.31,1.31,1.31,1.31,000,5.24
2014-10-29,1.31,1.31,1.31,1.31,000,5.24
2014-10-28,1.31,1.31,1.31,1.31,000,5.24
2014-10-27,1.31,1.31,1.31,1.31,000,5.24
2014-10-24,1.32,1.32,1.26,1.31,2100,5.24
2014-10-23,1.33,1.33,1.31,1.31,2100,5.24
2014-10-22,1.34,1.34,1.32,1.32,200,5.28
2014-10-21,1.31,1.31,1.31,1.31,100,5.24
2014-10-20,1.32,1.33,1.31,1.31,1100,5.24
2014-10-17,1.31,1.36,1.31,1.32,300,5.28
2014-10-16,1.29,1.29,1.29,1.29,300,5.16
2014-10-15,1.29,1.29,1.29,1.29,000,5.16
2014-10-14,1.29,1.29,1.29,1.29,100,5.16
2014-10-13,1.30,1.30,1.27,1.27,4400,5.08
2014-10-10,1.28,1.28,1.28,1.28,100,5.12
2014-10-09,1.42,1.42,1.26,1.40,1600,5.60
2014-10-08,1.55,1.55,1.41,1.41,14800,5.64
2014-10-07,1.55,1.55,1.55,1.55,000,6.20
2014-10-06,1.52,1.59,1.52,1.55,200,6.20
2014-10-03,1.64,1.64,1.50,1.50,900,6.00
2014-10-02,1.63,1.63,1.63,1.63,000,6.52
2014-10-01,1.63,1.63,1.63,1.63,000,6.52
2014-09-30,1.63,1.63,1.63,1.63,000,6.52
2014-09-29,1.60,1.60,1.60,1.60,000,6.40
2014-09-26,1.62,1.63,1.60,1.60,1600,6.40
2014-09-25,1.77,1.79,1.63,1.63,1000,6.52
2014-09-24,1.70,1.70,1.70,1.70,000,6.80
2014-09-23,1.75,1.75,1.70,1.70,700,6.80
2014-09-22,1.86,1.86,1.70,1.75,500,7.00
2014-09-19,1.90,1.90,1.89,1.89,100,7.56
2014-09-18,1.90,1.90,1.79,1.88,300,7.52
2014-09-17,1.96,1.96,1.92,1.93,700,7.72
2014-09-16,1.88,1.88,1.84,1.84,800,7.36
2014-09-15,2.26,2.26,1.82,1.83,1000,7.32
2014-09-12,1.88,1.92,1.88,1.92,100,7.68
2014-09-11,2.06,2.06,1.91,1.97,500,7.88
2014-09-10,1.92,2.24,1.92,1.92,1700,7.68
2014-09-09,2.33,2.46,1.72,1.91,17800,7.64
2014-09-08,2.61,2.61,2.21,2.32,800,9.28
2014-09-05,2.30,2.55,2.30,2.55,3000,10.20
2014-09-04,2.39,2.40,2.07,2.30,3500,9.20
2014-09-03,1.80,2.45,1.80,2.45,5600,9.80
2014-09-02,1.80,2.00,1.80,1.95,9100,7.80
2014-08-29,1.65,1.81,1.65,1.80,1800,7.20
2014-08-28,1.57,1.72,1.57,1.72,12000,6.88
2014-08-27,1.52,1.58,1.52,1.57,2000,6.28
2014-08-26,1.50,1.58,1.50,1.52,2200,6.08
2014-08-25,1.50,1.52,1.49,1.49,100,5.96
2014-08-22,1.55,1.55,1.55,1.55,000,6.20
2014-08-21,1.55,1.55,1.55,1.55,000,6.20
2014-08-20,1.55,1.55,1.55,1.55,000,6.20
2014-08-19,1.52,1.59,1.50,1.55,800,6.20
2014-08-18,1.50,1.63,1.49,1.59,5800,6.36
2014-08-15,1.50,1.52,1.48,1.48,1400,5.92
2014-08-14,1.51,1.51,1.51,1.51,000,6.04
2014-08-13,1.51,1.51,1.51,1.51,000,6.04
2014-08-12,1.47,1.53,1.47,1.51,800,6.04
2014-08-11,1.58,1.58,1.50,1.54,6200,6.16
2014-08-08,1.53,1.55,1.50,1.53,100,6.12
2014-08-07,1.58,1.58,1.58,1.58,500,6.32
2014-08-06,1.55,1.55,1.55,1.55,100,6.20
2014-08-05,1.57,1.57,1.53,1.53,300,6.12
2014-08-04,1.55,1.57,1.50,1.53,2300,6.12
2014-08-01,1.54,1.56,1.52,1.53,900,6.12
2014-07-31,1.50,1.50,1.50,1.50,000,6.00
2014-07-30,1.54,1.54,1.50,1.50,400,6.00
2014-07-29,1.50,1.54,1.50,1.53,200,6.12
2014-07-28,1.50,1.59,1.50,1.55,10700,6.20
2014-07-25,1.50,1.56,1.50,1.55,6900,6.20
2014-07-24,1.55,1.56,1.47,1.52,7200,6.08
2014-07-23,1.50,1.58,1.50,1.50,900,6.00
2014-07-22,1.50,1.54,1.47,1.54,30500,6.16
2014-07-21,1.45,1.50,1.45,1.50,11500,6.00
2014-07-18,1.48,1.50,1.45,1.46,9400,5.84
2014-07-17,1.45,1.50,1.45,1.47,4200,5.88
2014-07-16,1.45,1.50,1.45,1.46,900,5.84
2014-07-15,1.46,1.50,1.45,1.48,3500,5.92
2014-07-14,1.50,1.50,1.45,1.45,700,5.80
2014-07-11,1.55,1.55,1.45,1.50,3000,6.00
2014-07-10,1.49,1.49,1.49,1.49,600,5.96
2014-07-09,1.49,1.50,1.49,1.50,200,6.00
2014-07-08,1.50,1.50,1.50,1.50,600,6.00
2014-07-07,1.47,1.50,1.47,1.50,1700,6.00
2014-07-03,1.49,1.49,1.43,1.46,16400,5.84
2014-07-02,1.49,1.50,1.48,1.49,9700,5.96
2014-07-01,1.46,1.46,1.46,1.46,000,5.84
2014-06-30,1.48,1.48,1.44,1.46,900,5.84
2014-06-27,1.46,1.49,1.46,1.46,1000,5.84
2014-06-26,1.45,1.46,1.42,1.46,500,5.84
2014-06-25,1.47,1.47,1.44,1.47,700,5.88
2014-06-24,1.44,1.58,1.44,1.58,700,6.32
2014-06-23,1.45,1.45,1.45,1.45,100,5.80
2014-06-20,1.43,1.43,1.43,1.43,100,5.72
2014-06-19,1.51,1.51,1.50,1.50,200,6.00
2014-06-18,1.59,1.59,1.59,1.59,100,6.36
2014-06-17,1.40,1.40,1.35,1.39,7200,5.56
2014-06-16,1.42,1.42,1.37,1.40,800,5.60
2014-06-13,1.41,1.44,1.41,1.42,900,5.68
2014-06-12,1.48,1.48,1.41,1.42,2000,5.68
2014-06-11,1.49,1.49,1.48,1.48,300,5.92
2014-06-10,1.53,1.53,1.53,1.53,300,6.12
2014-06-09,1.48,1.48,1.48,1.48,000,5.92
2014-06-06,1.48,1.48,1.48,1.48,000,5.92
2014-06-05,1.41,1.48,1.41,1.48,100,5.92
2014-06-04,1.37,1.58,1.36,1.42,300,5.68
2014-06-03,1.50,1.51,1.42,1.42,3100,5.68
2014-06-02,1.46,1.52,1.46,1.46,100,5.84
2014-05-30,1.47,1.47,1.45,1.45,1000,5.80
2014-05-29,1.46,1.59,1.46,1.46,900,5.84
2014-05-28,1.48,1.48,1.48,1.48,000,5.92
2014-05-27,1.48,1.48,1.43,1.48,3300,5.92
2014-05-23,1.48,1.48,1.48,1.48,000,5.92
2014-05-22,1.48,1.48,1.48,1.48,000,5.92
2014-05-21,1.47,1.51,1.47,1.48,1300,5.92
2014-05-20,1.50,1.50,1.50,1.50,000,6.00
