Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.95,3.00,2.95,2.99,71500,2.891121
2014-12-30,2.97,2.98,2.95,2.95,40700,2.852444
2014-12-29,3.00,3.02,2.93,3.02,140400,2.920129
2014-12-26,2.99,3.14,2.96,3.09,36300,2.987814
2014-12-24,2.95,2.96,2.93,2.96,145700,2.862113
2014-12-23,2.99,2.99,2.94,2.95,136700,2.852444
2014-12-22,2.99,3.00,2.94,2.99,176600,2.891121
2014-12-19,3.06,3.06,2.97,2.99,44800,2.891121
2014-12-18,3.00,3.06,3.00,3.06,30600,2.958806
2014-12-17,2.95,3.03,2.95,2.97,42900,2.871782
2014-12-16,2.91,3.00,2.91,2.97,55800,2.871782
2014-12-15,2.94,2.98,2.93,2.94,176000,2.842775
2014-12-12,3.03,3.06,2.93,2.96,82800,2.862113
2014-12-11,3.12,3.14,3.02,3.04,79100,2.939467
2014-12-10,3.17,3.20,3.12,3.12,83900,3.016822
2014-12-09,3.24,3.30,3.21,3.26,36300,3.109647
2014-12-08,3.18,3.30,3.14,3.24,46600,3.09057
2014-12-05,3.11,3.19,3.10,3.18,36700,3.033337
2014-12-04,3.06,3.13,3.06,3.11,46700,2.966565
2014-12-03,3.15,3.20,3.10,3.11,72300,2.966565
2014-12-02,3.11,3.20,3.11,3.14,20700,2.995182
2014-12-01,3.14,3.21,3.13,3.15,49100,3.004721
2014-11-28,3.25,3.25,3.16,3.17,40800,3.023798
2014-11-26,3.29,3.33,3.29,3.31,37900,3.157341
2014-11-25,3.33,3.33,3.29,3.32,21800,3.16688
2014-11-24,3.31,3.33,3.28,3.31,31900,3.157341
2014-11-21,3.33,3.35,3.29,3.31,14700,3.157341
2014-11-20,3.27,3.31,3.27,3.30,20200,3.147802
2014-11-19,3.32,3.33,3.25,3.25,23800,3.100108
2014-11-18,3.35,3.39,3.31,3.34,40800,3.185958
2014-11-17,3.37,3.41,3.37,3.40,25000,3.243191
2014-11-14,3.37,3.45,3.35,3.42,50400,3.262268
2014-11-13,3.42,3.42,3.35,3.37,14200,3.214574
