Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,12.76,12.96,12.73,12.90,112100,12.90
2015-09-03,12.99,12.99,12.84,12.84,128600,12.84
2015-09-02,12.94,12.99,12.81,12.96,129000,12.96
2015-09-01,12.80,12.94,12.80,12.84,112900,12.84
2015-08-31,12.72,12.92,12.65,12.88,416200,12.88
2015-08-28,12.54,12.80,12.48,12.77,126200,12.77
2015-08-27,12.68,12.68,12.50,12.55,102200,12.55
2015-08-26,12.62,12.69,12.46,12.62,155700,12.62
2015-08-25,12.80,12.80,12.38,12.43,161600,12.43
2015-08-24,12.85,12.90,12.51,12.51,192800,12.51
2015-08-21,12.90,13.05,12.90,12.90,134900,12.90
2015-08-20,12.97,13.02,12.94,12.95,69800,12.95
2015-08-19,13.22,13.22,13.00,13.05,57400,13.05
2015-08-18,13.16,13.23,13.08,13.16,39400,13.16
2015-08-17,13.17,13.30,13.01,13.19,49900,13.19
2015-08-14,12.90,13.18,12.90,13.15,49600,13.15
2015-08-13,12.90,13.10,12.90,12.95,79200,12.95
2015-08-12,12.90,12.96,12.90,12.90,115200,12.90
2015-08-11,12.90,12.99,12.90,12.95,55400,12.95
2015-08-10,12.99,13.10,12.93,12.96,82500,12.96
2015-08-07,13.07,13.15,12.90,12.97,81200,12.97
2015-08-06,13.17,13.30,13.12,13.14,50700,13.14
2015-08-05,12.95,13.24,12.95,13.16,60300,13.16
2015-08-04,12.98,13.08,12.95,12.96,73900,12.96
2015-08-03,12.93,12.96,12.90,12.92,78700,12.92
2015-07-31,13.02,13.08,12.90,12.91,70900,12.91
2015-07-30,12.98,13.08,12.98,13.05,71600,13.05
2015-07-29,12.97,13.10,12.90,13.05,44700,13.05
2015-07-28,13.03,13.05,12.86,12.98,85700,12.98
2015-07-27,12.95,13.04,12.94,12.98,74100,12.98
2015-07-24,13.06,13.10,12.95,12.96,108100,12.96
2015-07-23,13.24,13.28,13.05,13.10,96700,13.10
2015-07-22,13.12,13.30,13.10,13.18,28800,13.18
2015-07-21,13.25,13.30,13.15,13.15,36000,13.15
2015-07-20,13.30,13.34,13.21,13.24,24800,13.24
2015-07-17,13.22,13.30,13.12,13.28,210200,13.28
2015-07-16,13.28,13.30,13.22,13.24,33300,13.24
2015-07-15,13.26,13.29,13.19,13.22,52400,13.22
2015-07-14,13.30,13.30,13.26,13.29,42500,13.29
2015-07-13,13.25,13.30,13.22,13.29,78100,13.29
2015-07-10,13.22,13.25,13.18,13.23,56400,13.23
2015-07-09,13.25,13.25,13.12,13.15,78400,13.15
2015-07-08,13.04,13.23,13.04,13.14,111000,13.14
2015-07-07,13.24,13.25,13.15,13.19,57700,13.14
2015-07-06,13.05,13.26,13.05,13.24,354400,13.18981
2015-07-02,13.09,13.12,13.03,13.08,87100,13.030417
2015-07-01,13.24,13.25,13.06,13.08,166600,13.030417
2015-06-30,13.20,13.24,13.12,13.20,194800,13.149962
2015-06-29,13.22,13.27,13.11,13.13,111100,13.080228
