Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.49,15.98,15.46,15.83,630600,15.83
2014-12-30,15.52,15.80,15.41,15.55,423800,15.55
2014-12-29,15.61,15.90,15.45,15.61,346100,15.61
2014-12-26,15.21,15.70,15.13,15.66,318800,15.66
2014-12-24,14.98,15.29,14.81,15.17,305100,15.17
2014-12-23,14.39,14.88,14.27,14.88,356500,14.88
2014-12-22,15.10,15.16,14.25,14.32,591300,14.32
2014-12-19,15.18,15.34,15.03,15.10,636400,15.10
2014-12-18,15.07,15.21,14.85,15.15,468100,15.15
2014-12-17,14.21,14.86,14.10,14.81,407500,14.81
2014-12-16,14.12,14.64,14.06,14.21,398300,14.21
2014-12-15,14.51,14.60,14.07,14.13,656100,14.13
2014-12-12,14.65,14.79,14.47,14.49,696000,14.49
2014-12-11,14.96,15.18,14.78,14.90,320300,14.90
2014-12-10,15.48,15.60,14.83,14.91,490600,14.91
2014-12-09,14.79,15.70,14.79,15.61,377300,15.61
2014-12-08,15.24,15.31,14.82,15.03,794700,15.03
2014-12-05,15.80,15.99,15.12,15.24,1081000,15.24
2014-12-04,15.82,15.99,15.65,15.77,367300,15.77
2014-12-03,15.17,16.01,15.14,15.94,531700,15.94
2014-12-02,14.99,15.50,14.87,15.18,345500,15.18
2014-12-01,15.56,15.62,14.87,15.03,660700,15.03
2014-11-28,16.52,16.530001,15.58,15.62,297100,15.62
2014-11-26,16.60,16.77,16.50,16.540001,221100,16.540001
2014-11-25,16.309999,16.610001,16.27,16.469999,682800,16.469999
2014-11-24,16.200001,16.42,16.030001,16.32,496500,16.32
2014-11-21,15.91,16.379999,15.82,16.139999,545600,16.139999
2014-11-20,15.25,15.58,15.05,15.56,510700,15.56
2014-11-19,15.85,15.85,15.25,15.29,362800,15.29
2014-11-18,16.049999,16.24,15.85,15.91,537900,15.91
2014-11-17,15.71,16.09,15.60,16.01,534700,16.01
2014-11-14,15.56,15.86,15.26,15.72,481400,15.72
2014-11-13,15.73,16.10,15.49,15.54,540900,15.54
2014-11-12,15.58,15.81,15.34,15.74,566600,15.74
2014-11-11,15.84,15.85,15.57,15.72,724300,15.72
2014-11-10,15.64,16.209999,15.50,15.90,1105300,15.90
2014-11-07,15.30,15.64,15.10,15.56,628700,15.56
2014-11-06,14.99,15.27,14.95,15.12,450700,15.12
2014-11-05,14.95,15.10,14.58,14.96,377500,14.96
2014-11-04,15.23,15.24,14.81,14.86,310500,14.86
2014-11-03,15.67,15.70,15.22,15.32,447500,15.32
2014-10-31,15.59,15.81,15.01,15.71,397600,15.71
2014-10-30,15.18,15.40,15.00,15.22,353400,15.22
2014-10-29,15.60,15.82,15.27,15.29,194000,15.29
2014-10-28,15.05,15.60,14.96,15.57,622400,15.57
2014-10-27,15.64,15.79,14.91,14.93,535000,14.93
2014-10-24,16.190001,16.370001,15.80,15.81,398000,15.81
2014-10-23,15.85,16.309999,15.51,16.23,707700,16.23
2014-10-22,15.99,16.09,15.54,15.68,370700,15.68
2014-10-21,15.63,16.00,15.41,15.93,414300,15.93
2014-10-20,15.37,15.59,15.31,15.46,380100,15.46
2014-10-17,16.209999,16.40,15.41,15.42,399100,15.42
2014-10-16,15.16,16.059999,15.16,15.96,797800,15.96
2014-10-15,14.46,15.51,14.25,15.45,848800,15.45
2014-10-14,14.70,14.98,14.45,14.75,481100,14.75
2014-10-13,14.57,15.00,14.41,14.51,631200,14.51
2014-10-10,14.83,15.20,14.46,14.51,785600,14.51
2014-10-09,15.57,15.69,14.83,15.00,897100,15.00
2014-10-08,15.20,15.57,14.84,15.56,851500,15.56
2014-10-07,15.63,15.69,15.22,15.26,953900,15.26
2014-10-06,15.51,15.57,15.15,15.30,670500,15.30
2014-10-03,15.41,15.63,15.09,15.38,928500,15.38
2014-10-02,16.00,16.00,13.88,14.98,3623000,14.98
2014-10-01,16.549999,16.67,15.94,16.049999,760100,16.049999
2014-09-30,16.90,17.17,16.52,16.530001,858600,16.530001
2014-09-29,17.17,17.27,16.91,16.969999,338200,16.969999
2014-09-26,16.799999,17.43,16.799999,17.309999,647200,17.309999
2014-09-25,17.09,17.10,16.42,16.799999,553400,16.799999
2014-09-24,17.25,17.530001,17.120001,17.23,670500,17.23
2014-09-23,17.00,17.299999,16.969999,17.120001,826000,17.120001
2014-09-22,18.01,18.01,16.959999,16.99,1056500,16.99
2014-09-19,18.719999,18.719999,17.82,18.139999,1063900,18.139999
2014-09-18,18.860001,18.91,18.540001,18.68,327900,18.68
2014-09-17,19.23,19.389999,18.90,18.92,224400,18.92
2014-09-16,18.870001,19.26,18.709999,19.16,310400,19.16
2014-09-15,19.25,19.290001,18.860001,18.98,368300,18.98
2014-09-12,19.60,19.700001,19.15,19.299999,206800,19.299999
2014-09-11,19.540001,19.75,19.280001,19.66,229700,19.66
2014-09-10,19.57,19.92,19.15,19.59,476200,19.59
2014-09-09,19.33,19.870001,19.32,19.57,421600,19.57
2014-09-08,19.73,19.889999,19.299999,19.309999,360400,19.309999
2014-09-05,19.83,20.00,19.43,19.719999,406300,19.719999
2014-09-04,20.459999,20.629999,19.90,19.93,465900,19.93
2014-09-03,20.450001,20.65,20.24,20.469999,363800,20.469999
2014-09-02,20.17,20.469999,20.10,20.299999,375300,20.299999
2014-08-29,20.129999,20.379999,19.940001,20.190001,281800,20.190001
2014-08-28,20.02,20.129999,19.709999,20.09,438700,20.09
2014-08-27,20.540001,20.629999,20.040001,20.049999,390000,20.049999
2014-08-26,20.24,20.74,20.219999,20.43,409000,20.43
2014-08-25,20.040001,20.34,20.00,20.209999,247500,20.209999
2014-08-22,19.940001,20.02,19.709999,19.950001,229100,19.950001
2014-08-21,20.00,20.01,19.50,19.959999,258500,19.959999
2014-08-20,20.299999,20.32,19.959999,20.00,244700,20.00
2014-08-19,20.110001,20.42,20.00,20.309999,494800,20.309999
2014-08-18,20.379999,20.379999,19.870001,20.139999,360600,20.139999
2014-08-15,19.75,20.139999,19.59,19.870001,570700,19.870001
2014-08-14,19.41,19.559999,19.26,19.52,445700,19.52
2014-08-13,19.32,19.469999,19.17,19.41,541800,19.41
2014-08-12,19.360001,19.49,19.00,19.18,351300,19.18
2014-08-11,19.42,19.639999,19.290001,19.389999,363100,19.389999
2014-08-08,19.15,19.440001,18.889999,19.35,557000,19.35
2014-08-07,19.559999,19.879999,18.889999,19.15,578100,19.15
2014-08-06,18.040001,19.610001,18.040001,19.50,883200,19.50
2014-08-05,18.690001,19.01,18.66,18.83,357800,18.83
2014-08-04,18.98,19.219999,18.620001,18.879999,375500,18.879999
2014-08-01,18.74,19.040001,18.58,18.90,479700,18.90
2014-07-31,19.059999,19.32,18.709999,18.73,525500,18.73
2014-07-30,19.379999,19.52,19.120001,19.35,272400,19.35
2014-07-29,19.450001,19.52,19.110001,19.290001,440700,19.290001
2014-07-28,19.690001,19.77,19.02,19.450001,608200,19.450001
2014-07-25,19.629999,19.719999,19.360001,19.549999,422300,19.549999
2014-07-24,20.85,20.889999,19.75,19.76,763100,19.76
2014-07-23,20.08,21.02,19.77,20.700001,1052300,20.700001
2014-07-22,19.889999,20.27,19.530001,19.959999,908100,19.959999
2014-07-21,19.190001,19.57,18.690001,19.540001,1223600,19.540001
2014-07-18,17.77,18.08,17.77,18.01,193600,18.01
2014-07-17,17.799999,18.120001,17.790001,17.83,305600,17.83
2014-07-16,18.139999,18.190001,17.93,18.00,282000,18.00
2014-07-15,18.42,18.549999,17.84,18.01,618700,18.01
2014-07-14,18.200001,18.43,17.959999,18.360001,265600,18.360001
2014-07-11,17.65,18.049999,17.60,17.959999,332600,17.959999
2014-07-10,17.639999,17.969999,17.49,17.60,539500,17.60
2014-07-09,18.110001,18.26,17.82,18.10,299500,18.10
2014-07-08,17.73,18.25,17.459999,17.99,720100,17.99
2014-07-07,18.85,18.85,18.15,18.370001,366900,18.370001
2014-07-03,18.67,19.00,18.59,18.91,205700,18.91
2014-07-02,18.790001,18.90,18.40,18.540001,277600,18.540001
2014-07-01,18.360001,19.10,18.360001,18.75,693900,18.75
2014-06-30,18.110001,18.370001,18.049999,18.26,333700,18.26
2014-06-27,17.50,18.18,17.50,18.15,550700,18.15
2014-06-26,17.639999,17.65,17.450001,17.57,152400,17.57
2014-06-25,17.200001,17.620001,17.200001,17.57,205400,17.57
2014-06-24,17.75,18.059999,17.40,17.49,201900,17.49
2014-06-23,17.620001,18.07,17.59,17.90,291400,17.90
2014-06-20,17.639999,17.639999,17.459999,17.51,506700,17.51
2014-06-19,17.459999,17.68,17.32,17.58,198900,17.58
2014-06-18,17.049999,17.389999,16.84,17.32,202400,17.32
2014-06-17,16.99,17.15,16.700001,17.10,335300,17.10
2014-06-16,17.24,17.34,16.780001,17.02,293600,17.02
2014-06-13,17.26,17.290001,16.950001,17.200001,184200,17.200001
2014-06-12,17.35,17.35,17.049999,17.16,160100,17.16
2014-06-11,17.33,17.50,17.17,17.440001,198400,17.440001
2014-06-10,17.549999,17.68,17.190001,17.43,289200,17.43
2014-06-09,17.299999,17.60,17.219999,17.530001,311800,17.530001
2014-06-06,17.280001,17.360001,16.93,17.25,183000,17.25
2014-06-05,16.879999,17.18,16.719999,17.139999,265900,17.139999
2014-06-04,16.68,16.90,16.59,16.860001,153500,16.860001
2014-06-03,16.57,16.870001,16.33,16.719999,681400,16.719999
2014-06-02,16.68,16.90,16.58,16.709999,233000,16.709999
2014-05-30,17.00,17.00,16.370001,16.58,334300,16.58
2014-05-29,17.059999,17.15,16.77,17.08,475400,17.08
2014-05-28,17.059999,17.16,16.780001,16.940001,297500,16.940001
2014-05-27,17.16,17.17,16.889999,17.15,303600,17.15
2014-05-23,16.969999,17.25,16.65,16.98,421800,16.98
2014-05-22,16.530001,17.33,16.440001,17.02,654800,17.02
2014-05-21,16.360001,16.68,16.24,16.530001,272100,16.530001
2014-05-20,16.360001,16.41,16.08,16.32,504300,16.32
2014-05-19,15.89,16.43,15.86,16.42,202700,16.42
2014-05-16,15.68,15.90,15.50,15.90,206200,15.90
2014-05-15,16.040001,16.18,15.51,15.71,547100,15.71
2014-05-14,16.25,16.75,16.16,16.17,222800,16.17
2014-05-13,16.84,16.940001,16.52,16.530001,281500,16.530001
2014-05-12,15.83,17.139999,15.40,16.940001,638600,16.940001
2014-05-09,15.09,15.57,14.96,15.52,353200,15.52
2014-05-08,15.43,15.57,15.13,15.16,290200,15.16
2014-05-07,15.22,15.46,15.05,15.43,406900,15.43
2014-05-06,15.51,15.61,15.21,15.25,247900,15.25
2014-05-05,15.31,15.64,15.16,15.52,212300,15.52
2014-05-02,15.51,15.89,15.51,15.62,162200,15.62
2014-05-01,15.51,15.65,15.30,15.51,237900,15.51
2014-04-30,15.47,15.68,15.34,15.59,215700,15.59
2014-04-29,15.65,15.80,15.53,15.57,198800,15.57
2014-04-28,15.88,15.96,15.38,15.56,265100,15.56
