Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,35.150002,35.610001,34.599998,35.349998,68400,35.349998
2015-09-03,36.919998,37.619999,35.700001,36.150002,96800,36.150002
2015-09-02,36.060001,36.50,35.16,36.50,188600,36.50
2015-09-01,36.560001,36.91,34.330002,34.540001,383600,34.540001
2015-08-31,39.330002,39.630001,38.34,38.580002,164500,38.580002
2015-08-28,41.259998,41.259998,38.709999,39.57,258900,39.57
2015-08-27,43.380001,43.610001,40.689999,41.810001,306700,41.810001
2015-08-26,41.599998,42.299999,39.869999,42.200001,209000,42.200001
2015-08-25,43.200001,43.57,39.950001,40.00,247700,40.00
2015-08-24,40.580002,44.950001,38.619999,42.200001,510900,42.200001
2015-08-21,46.98,47.849998,46.330002,46.389999,222200,46.389999
2015-08-20,48.310001,48.68,47.830002,48.049999,139300,48.049999
2015-08-19,49.23,49.950001,48.950001,49.50,48700,49.50
2015-08-18,49.900002,50.00,49.450001,49.720001,31700,49.720001
2015-08-17,49.73,50.240002,49.73,50.16,106200,50.16
2015-08-14,49.91,50.25,49.799999,50.240002,58700,50.240002
2015-08-13,49.669998,50.00,49.169998,49.630001,70900,49.630001
2015-08-12,48.220001,49.50,47.869999,49.310001,99400,49.310001
2015-08-11,49.599998,49.810001,48.950001,49.580002,56400,49.580002
2015-08-10,50.50,50.880001,50.240002,50.279999,55600,50.279999
2015-08-07,49.189999,49.939999,48.98,49.939999,67000,49.939999
2015-08-06,49.810001,49.959999,48.689999,49.400002,66900,49.400002
2015-08-05,50.009998,50.57,49.810001,49.939999,30600,49.939999
2015-08-04,50.07,50.25,49.75,50.029999,23200,50.029999
2015-08-03,49.290001,50.080002,48.810001,49.990002,135100,49.990002
2015-07-31,49.080002,49.560001,48.919998,49.419998,64300,49.419998
2015-07-30,49.080002,49.330002,48.82,49.080002,21900,49.080002
2015-07-29,49.349998,49.720001,49.200001,49.299999,75400,49.299999
2015-07-28,48.52,49.450001,48.080002,49.18,100800,49.18
2015-07-27,47.889999,48.389999,47.509998,48.02,96500,48.02
2015-07-24,49.169998,49.400002,48.34,48.73,59000,48.73
2015-07-23,49.540001,49.540001,48.50,49.189999,61500,49.189999
2015-07-22,49.299999,49.59,48.720001,49.450001,95300,49.450001
2015-07-21,49.939999,49.959999,49.279999,49.669998,76700,49.669998
2015-07-20,49.630001,50.169998,49.490002,49.630001,93200,49.630001
2015-07-17,49.360001,49.740002,49.279999,49.610001,75700,49.610001
2015-07-16,48.830002,49.450001,48.830002,49.380001,93900,49.380001
2015-07-15,48.099998,48.540001,47.610001,48.119999,64900,48.119999
2015-07-14,48.040001,48.650002,47.849998,47.990002,80100,47.990002
2015-07-13,47.57,48.18,47.360001,48.09,94300,48.09
2015-07-10,46.009998,46.400002,45.23,46.380001,62900,46.380001
2015-07-09,46.41,46.580002,44.860001,45.009998,28000,45.009998
2015-07-08,46.200001,46.419998,44.900002,45.119999,65900,45.119999
2015-07-07,46.029999,46.860001,44.830002,46.799999,135100,46.799999
2015-07-06,45.959999,46.490002,45.509998,45.849998,99400,45.849998
2015-07-02,48.139999,48.23,46.50,46.93,64200,46.93
2015-07-01,47.75,48.049999,46.709999,47.98,105400,47.98
2015-06-30,47.150002,47.209999,45.349998,46.470001,145200,46.470001
2015-06-29,47.57,48.049999,45.57,46.07,167300,46.07
2015-06-26,48.630001,49.049999,48.360001,48.91,47000,48.91
2015-06-25,48.400002,49.00,48.279999,48.400002,39200,48.400002
2015-06-24,48.419998,48.93,48.349998,48.380001,111000,48.380001
2015-06-23,48.48,48.73,48.389999,48.529999,26400,48.529999
2015-06-22,47.75,48.369999,47.73,48.349998,52800,48.349998
2015-06-19,47.50,47.50,47.099998,47.290001,21900,47.290001
2015-06-18,47.23,47.73,47.139999,47.200001,52800,47.200001
2015-06-17,47.080002,47.099998,46.209999,46.93,52700,46.93
2015-06-16,46.310001,47.009998,45.959999,46.889999,53600,46.889999
2015-06-15,46.66,47.110001,46.41,46.639999,41400,46.639999
2015-06-12,47.009998,47.439999,46.860001,47.25,78500,47.25
2015-06-11,47.16,47.700001,47.130001,47.439999,51300,47.439999
2015-06-10,46.259998,46.950001,46.209999,46.869999,24600,46.869999
2015-06-09,45.849998,46.23,45.669998,46.09,41200,46.09
2015-06-08,46.25,46.330002,45.790001,45.939999,50600,45.939999
2015-06-05,46.189999,46.580002,46.009998,46.310001,42300,46.310001
2015-06-04,46.599998,46.610001,45.919998,46.130001,96900,46.130001
2015-06-03,46.830002,47.040001,46.650002,46.779999,25900,46.779999
2015-06-02,46.59,47.060001,46.459999,46.580002,42900,46.580002
2015-06-01,47.119999,47.16,46.610001,47.07,141300,47.07
2015-05-29,46.790001,47.080002,46.470001,46.810001,70900,46.810001
2015-05-28,47.139999,47.200001,46.73,46.880001,47800,46.880001
2015-05-27,46.830002,47.459999,46.619999,47.240002,46100,47.240002
2015-05-26,46.779999,46.889999,46.16,46.540001,79700,46.540001
2015-05-22,47.209999,47.50,46.919998,47.169998,43400,47.169998
2015-05-21,46.59,47.450001,46.57,47.139999,65000,47.139999
2015-05-20,47.029999,47.099998,46.57,46.919998,15200,46.919998
2015-05-19,46.560001,47.099998,46.41,46.759998,64000,46.759998
2015-05-18,45.75,46.700001,45.610001,46.549999,92900,46.549999
2015-05-15,45.299999,45.630001,45.169998,45.490002,74800,45.490002
2015-05-14,45.25,45.400002,45.169998,45.209999,21600,45.209999
2015-05-13,45.080002,45.09,44.709999,44.91,17100,44.91
2015-05-12,44.049999,44.73,43.970001,44.73,26400,44.73
2015-05-11,45.029999,45.25,44.50,44.50,35300,44.50
2015-05-08,45.130001,45.549999,44.860001,45.25,48800,45.25
2015-05-07,44.009998,44.599998,43.959999,44.459999,18100,44.459999
2015-05-06,44.799999,44.810001,43.439999,44.240002,49200,44.240002
2015-05-05,44.66,44.720001,44.25,44.48,27900,44.48
2015-05-04,45.189999,45.259998,44.650002,44.91,50800,44.91
2015-05-01,44.439999,45.040001,44.259998,45.040001,104000,45.040001
2015-04-30,44.25,44.48,43.509998,43.950001,67500,43.950001
2015-04-29,44.50,44.709999,44.200001,44.57,13400,44.57
2015-04-28,44.43,44.990002,43.560001,44.939999,28200,44.939999
2015-04-27,44.900002,45.049999,44.18,44.23,26400,44.23
2015-04-24,44.66,44.91,44.59,44.830002,22000,44.830002
2015-04-23,44.380001,44.810001,44.380001,44.700001,51900,44.700001
2015-04-22,44.34,44.630001,44.080002,44.349998,13100,44.349998
2015-04-21,44.689999,44.689999,44.00,44.189999,37400,44.189999
2015-04-20,43.939999,44.240002,43.91,44.18,41300,44.18
2015-04-17,43.709999,43.720001,42.959999,43.48,52900,43.48
2015-04-16,43.900002,44.50,43.740002,44.139999,70400,44.139999
2015-04-15,43.900002,44.360001,43.900002,43.950001,35700,43.950001
2015-04-14,43.68,44.049999,43.450001,43.599998,23800,43.599998
2015-04-13,44.700001,45.169998,43.84,44.009998,50800,44.009998
2015-04-10,43.450001,44.619999,43.450001,44.459999,47200,44.459999
2015-04-09,42.919998,43.389999,42.48,43.389999,27800,43.389999
2015-04-08,43.00,43.130001,42.759998,42.889999,25900,42.889999
2015-04-07,42.77,42.990002,42.599998,42.599998,6500,42.599998
2015-04-06,41.57,42.82,41.57,42.599998,43100,42.599998
2015-04-02,41.720001,42.119999,41.669998,41.880001,46900,41.880001
2015-04-01,42.00,42.029999,41.349998,41.799999,77600,41.799999
2015-03-31,42.34,42.459999,41.959999,42.080002,20100,42.080002
2015-03-30,42.66,42.84,42.450001,42.490002,38800,42.490002
2015-03-27,41.91,42.419998,41.91,42.139999,14200,42.139999
2015-03-26,41.369999,42.169998,41.299999,41.93,35100,41.93
2015-03-25,42.650002,42.869999,41.619999,41.68,17900,41.68
2015-03-24,42.75,43.25,42.549999,42.599998,20500,42.599998
2015-03-23,42.529999,43.16,42.529999,42.82,23600,42.82
2015-03-20,42.84,43.349998,42.369999,42.369999,24600,42.369999
2015-03-19,42.349998,43.00,42.310001,42.619999,17600,42.619999
2015-03-18,42.25,43.34,41.82,43.200001,28900,43.200001
2015-03-17,42.360001,42.509998,41.950001,42.32,29200,42.32
2015-03-16,42.290001,42.860001,42.200001,42.470001,37300,42.470001
2015-03-13,42.450001,42.450001,41.259998,41.91,24700,41.91
2015-03-12,42.00,42.560001,41.75,42.470001,24700,42.470001
2015-03-11,41.669998,41.970001,41.139999,41.43,30900,41.43
2015-03-10,42.169998,42.189999,41.50,41.84,89100,41.84
2015-03-09,43.18,43.18,42.720001,43.07,31300,43.07
2015-03-06,43.189999,43.50,42.349998,42.639999,47600,42.639999
2015-03-05,43.080002,43.50,43.00,43.50,219700,43.50
2015-03-04,42.560001,43.080002,42.200001,42.98,34400,42.98
2015-03-03,43.27,43.27,42.470001,43.029999,34800,43.029999
2015-03-02,42.599998,43.25,42.41,43.25,71400,43.25
2015-02-27,42.290001,42.830002,42.259998,42.560001,60200,42.560001
2015-02-26,41.990002,42.610001,41.709999,42.18,28300,42.18
2015-02-25,41.990002,42.950001,41.84,42.060001,40200,42.060001
2015-02-24,40.990002,42.27,40.990002,42.18,34800,42.18
2015-02-23,40.84,41.200001,40.779999,40.959999,34600,40.959999
2015-02-20,40.130001,41.380001,39.93,41.099998,37100,41.099998
2015-02-19,40.25,40.599998,40.099998,40.310001,10600,40.310001
2015-02-18,40.279999,40.599998,40.049999,40.529999,18700,40.529999
2015-02-17,40.75,40.93,40.200001,40.389999,128700,40.389999
2015-02-13,40.599998,40.779999,39.98,40.779999,34200,40.779999
2015-02-12,39.349998,40.450001,39.349998,40.41,33900,40.41
2015-02-11,38.82,39.119999,38.639999,39.060001,16400,39.060001
2015-02-10,38.990002,39.099998,38.52,38.98,18900,38.98
2015-02-09,38.220001,38.619999,38.02,38.459999,38900,38.459999
2015-02-06,39.990002,39.990002,38.330002,38.610001,29500,38.610001
2015-02-05,39.00,39.700001,39.00,39.669998,16400,39.669998
2015-02-04,39.32,39.810001,38.759998,38.77,84100,38.77
2015-02-03,39.189999,39.709999,38.919998,39.669998,49200,39.669998
2015-02-02,38.529999,39.049999,37.650002,38.990002,59400,38.990002
2015-01-30,39.16,39.41,37.790001,37.84,61100,37.84
2015-01-29,38.77,39.849998,38.34,39.779999,49400,39.779999
2015-01-28,41.200001,41.200001,38.700001,38.849998,44700,38.849998
2015-01-27,40.849998,41.450001,40.509998,40.610001,38200,40.610001
2015-01-26,40.93,41.639999,40.560001,41.610001,24500,41.610001
2015-01-23,41.380001,41.799999,40.779999,40.779999,50700,40.779999
2015-01-22,40.849998,41.549999,39.849998,41.450001,64600,41.450001
2015-01-21,38.720001,39.98,38.599998,39.98,25600,39.98
2015-01-20,39.549999,39.66,38.470001,39.23,57300,39.23
2015-01-16,38.740002,39.48,38.360001,39.290001,122400,39.290001
2015-01-15,39.720001,40.240002,39.00,39.09,56400,39.09
2015-01-14,39.189999,39.720001,38.82,39.560001,60300,39.560001
2015-01-13,40.959999,41.119999,39.299999,39.700001,50200,39.700001
2015-01-12,40.950001,40.970001,39.75,40.110001,60600,40.110001
2015-01-09,42.560001,42.669998,41.00,41.040001,109100,41.040001
2015-01-08,41.490002,42.509998,41.490002,42.419998,103000,42.419998
2015-01-07,40.380001,40.799999,40.00,40.720001,49400,40.720001
2015-01-06,40.119999,40.52,38.919998,39.700001,82200,39.700001
2015-01-05,41.330002,41.470001,39.689999,40.00,128500,40.00
2015-01-02,42.560001,42.650002,40.75,41.990002,78600,41.990002
